sampleID	year	pop
+filtcutI11-TAG-7+	1976	PE01455
+filtcutI11-TAG-8+	1976	PE01455
+filtcutI11-TAG-9+	1976	PE01455
+filtcutI11-TAG-10+	1976	PE01455
+filtcutI11-TAG-11+	1976	PE01455
+filtcutI11-TAG-12+	1976	PE01455
+filtcutI11-TAG-13+	1976	PE01455
+filtcutI11-TAG-14+	1976	PE01455
+filtcutI11-TAG-15+	1976	PE01455
+filtcutI11-TAG-16+	1976	PE01455
+filtcutI11-TAG-17+	1976	PE01455
+filtcutI11-TAG-18+	1976	PE01455
+filtcutI11-TAG-19+	1976	PE01455
+filtcutI11-TAG-20+	1976	PE01455
+filtcutI11-TAG-21+	1976	PE01455
+filtcutI11-TAG-22+	1976	PE01455
+filtcutI11-TAG-23+	1976	PE01455
+filtcutI11-TAG-24+	1976	PE01455
+filtcutI11-TAG-25+	1976	PE01455
+filtcutI11-TAG-26+	1976	PE01455
+filtcutI11-TAG-27+	1976	PE01455
+filtcutI11-TAG-28+	1976	PE01455
+filtcutI11-TAG-29+	1976	PE01455
+filtcutI11-TAG-30+	1976	PE01455
+filtcutI11-TAG-31+	1976	PE01455
+filtcutI11-TAG-32+	1976	PE01455
+filtcutI11-TAG-33+	1976	PE01455
+filtcutI11-TAG-34+	1976	PE01455
+filtcutI11-TAG-35+	1976	PE01455
+filtcutI11-TAG-36+	1976	PE01455
+filtcutI11-TAG-37+	1976	PE01455
+filtcutI11-TAG-38+	1976	PE01455
+filtcutI11-TAG-39+	1976	PE01455
+filtcutI11-TAG-40+	1976	PE01455
+filtcutI11-TAG-41+	1976	PE01455
+filtcutI11-TAG-42+	1976	PE01455
+filtcutI11-TAG-43+	1976	PE01455
+filtcutI11-TAG-44+	1976	PE01455
+filtcutI11-TAG-45+	1976	PE01455
+filtcutI11-TAG-46+	1976	PE01455
+filtcutI11-TAG-47+	1976	PE01455
+filtcutI11-TAG-48+	1976	PE01455
+filtcutI11-TAG-49+	1976	PE01455
+filtcutI11-TAG-50+	1976	PE01455
+filtcutI11-TAG-51+	1976	PE01455
+filtcutI11-TAG-52+	1976	PE01455
+filtcutI11-TAG-53+	1976	PE01455
+filtcutI11-TAG-54+	1976	PE01455
+filtcutI11-TAG-55+	1976	PE01455
+filtcutI11-TAG-56+	1976	PE01455
+filtcutI11-TAG-57+	1976	PE01455
+filtcutI11-TAG-58+	1976	PE01455
+filtcutI11-TAG-59+	1976	PE01455
+filtcutI11-TAG-60+	1976	PE01455
+filtcutI11-TAG-61+	1976	PE01455
+filtcutI11-TAG-62+	1976	PE01455
+filtcutI11-TAG-63+	1976	PE01455
+filtcutI11-TAG-64+	1976	PE01455
+filtcutI11-TAG-65+	1976	PE01455
+filtcutI11-TAG-66+	1976	PE01455
+filtcutI11-TAG-67+	1976	PE01455
+filtcutI11-TAG-68+	1976	PE01455
+filtcutI11-TAG-69+	1976	PE01455
+filtcutI11-TAG-70+	1976	PE01455
+filtcutI11-TAG-71+	1976	PE01455
+filtcutI11-TAG-72+	1976	PE01455
+filtcutI11-TAG-73+	1976	PE01455
+filtcutI11-TAG-74+	1976	PE01455
+filtcutI11-TAG-75+	1976	PE01455
+filtcutI11-TAG-76+	1976	PE01455
+filtcutI11-TAG-77+	1976	PE01455
+filtcutI11-TAG-78+	1976	PE01455
+filtcutI11-TAG-79+	1976	PE01455
+filtcutI11-TAG-80+	1976	PE01455
+filtcutI11-TAG-81+	1976	PE01455
+filtcutI11-TAG-82+	1976	PE01455
+filtcutI11-TAG-83+	1976	PE01455
+filtcutI11-TAG-84+	1976	PE01455
+filtcutI11-TAG-85+	1976	PE01455
+filtcutI11-TAG-86+	1976	PE01455
+filtcutI11-TAG-87+	1976	PE01455
+filtcutI11-TAG-88+	1976	PE01455
+filtcutI11-TAG-89+	1976	PE01455
+filtcutI11-TAG-90+	1976	PE01455
+filtcutI11-TAG-91+	1976	PE01455
+filtcutI11-TAG-92+	1976	PE01455
+filtcutI11-TAG-93+	1976	PE01455
+filtcutI11-TAG-94+	1976	PE01455
+filtcutI11-TAG-95+	1976	PE01455
+filtcutI11-TAG-96+	1976	PE01455
+filtcutI11-TAG-97+	1976	PE01455
+filtcutI11-TAG-98+	1976	PE01455
+filtcutI11-TAG-99+	1976	PE01455
+filtcutI11-TAG-100+	1976	PE01455
+filtcutI11-TAG-101+	1976	PE01455
+filtcutI11-TAG-102+	1976	PE01455
+filtcutI10-TAG-7+	2016	PE01455
+filtcutI10-TAG-8+	2016	PE01455
+filtcutI10-TAG-9+	2016	PE01455
+filtcutI10-TAG-10+	2016	PE01455
+filtcutI10-TAG-11+	2016	PE01455
+filtcutI10-TAG-12+	2016	PE01455
+filtcutI10-TAG-13+	2016	PE01455
+filtcutI10-TAG-14+	2016	PE01455
+filtcutI10-TAG-15+	2016	PE01455
+filtcutI10-TAG-16+	2016	PE01455
+filtcutI10-TAG-17+	2016	PE01455
+filtcutI10-TAG-18+	2016	PE01455
+filtcutI10-TAG-19+	2016	PE01455
+filtcutI10-TAG-20+	2016	PE01455
+filtcutI10-TAG-21+	2016	PE01455
+filtcutI10-TAG-22+	2016	PE01455
+filtcutI10-TAG-23+	2016	PE01455
+filtcutI10-TAG-24+	2016	PE01455
+filtcutI10-TAG-25+	2016	PE01455
+filtcutI10-TAG-26+	2016	PE01455
+filtcutI10-TAG-27+	2016	PE01455
+filtcutI10-TAG-28+	2016	PE01455
+filtcutI10-TAG-29+	2016	PE01455
+filtcutI10-TAG-30+	2016	PE01455
+filtcutI10-TAG-31+	2016	PE01455
+filtcutI10-TAG-32+	2016	PE01455
+filtcutI10-TAG-33+	2016	PE01455
+filtcutI10-TAG-34+	2016	PE01455
+filtcutI10-TAG-35+	2016	PE01455
+filtcutI10-TAG-36+	2016	PE01455
+filtcutI10-TAG-37+	2016	PE01455
+filtcutI10-TAG-38+	2016	PE01455
+filtcutI10-TAG-39+	2016	PE01455
+filtcutI10-TAG-40+	2016	PE01455
+filtcutI10-TAG-41+	2016	PE01455
+filtcutI10-TAG-42+	2016	PE01455
+filtcutI10-TAG-43+	2016	PE01455
+filtcutI10-TAG-44+	2016	PE01455
+filtcutI10-TAG-45+	2016	PE01455
+filtcutI10-TAG-46+	2016	PE01455
+filtcutI10-TAG-47+	2016	PE01455
+filtcutI10-TAG-48+	2016	PE01455
+filtcutI10-TAG-49+	2016	PE01455
+filtcutI10-TAG-50+	2016	PE01455
+filtcutI10-TAG-51+	2016	PE01455
+filtcutI10-TAG-52+	2016	PE01455
+filtcutI10-TAG-53+	2016	PE01455
+filtcutI10-TAG-54+	2016	PE01455
+filtcutI10-TAG-55+	2016	PE01455
+filtcutI10-TAG-56+	2016	PE01455
+filtcutI10-TAG-57+	2016	PE01455
+filtcutI10-TAG-58+	2016	PE01455
+filtcutI10-TAG-59+	2016	PE01455
+filtcutI10-TAG-60+	2016	PE01455
+filtcutI10-TAG-61+	2016	PE01455
+filtcutI10-TAG-62+	2016	PE01455
+filtcutI10-TAG-63+	2016	PE01455
+filtcutI10-TAG-64+	2016	PE01455
+filtcutI10-TAG-65+	2016	PE01455
+filtcutI10-TAG-66+	2016	PE01455
+filtcutI10-TAG-67+	2016	PE01455
+filtcutI10-TAG-68+	2016	PE01455
+filtcutI10-TAG-69+	2016	PE01455
+filtcutI10-TAG-70+	2016	PE01455
+filtcutI10-TAG-71+	2016	PE01455
+filtcutI10-TAG-72+	2016	PE01455
+filtcutI10-TAG-73+	2016	PE01455
+filtcutI10-TAG-74+	2016	PE01455
+filtcutI10-TAG-75+	2016	PE01455
+filtcutI10-TAG-76+	2016	PE01455
+filtcutI10-TAG-77+	2016	PE01455
+filtcutI10-TAG-78+	2016	PE01455
+filtcutI10-TAG-79+	2016	PE01455
+filtcutI10-TAG-80+	2016	PE01455
+filtcutI10-TAG-81+	2016	PE01455
+filtcutI10-TAG-82+	2016	PE01455
+filtcutI10-TAG-83+	2016	PE01455
+filtcutI10-TAG-84+	2016	PE01455
+filtcutI10-TAG-85+	2016	PE01455
+filtcutI10-TAG-86+	2016	PE01455
+filtcutI10-TAG-87+	2016	PE01455
+filtcutI10-TAG-88+	2016	PE01455
+filtcutI10-TAG-89+	2016	PE01455
+filtcutI10-TAG-90+	2016	PE01455
+filtcutI10-TAG-91+	2016	PE01455
+filtcutI10-TAG-92+	2016	PE01455
+filtcutI10-TAG-93+	2016	PE01455
+filtcutI10-TAG-94+	2016	PE01455
+filtcutI10-TAG-95+	2016	PE01455
+filtcutI10-TAG-96+	2016	PE01455
+filtcutI10-TAG-97+	2016	PE01455
+filtcutI10-TAG-98+	2016	PE01455
+filtcutI10-TAG-99+	2016	PE01455
+filtcutI10-TAG-100+	2016	PE01455
+filtcutI10-TAG-101+	2016	PE01455
+filtcutI10-TAG-102+	2016	PE01455
+filtcutI8-TAG-7+	1976	PE01533
+filtcutI8-TAG-8+	1976	PE01533
+filtcutI8-TAG-9+	1976	PE01533
+filtcutI8-TAG-10+	1976	PE01533
+filtcutI8-TAG-11+	1976	PE01533
+filtcutI8-TAG-12+	1976	PE01533
+filtcutI8-TAG-13+	1976	PE01533
+filtcutI8-TAG-14+	1976	PE01533
+filtcutI8-TAG-15+	1976	PE01533
+filtcutI8-TAG-16+	1976	PE01533
+filtcutI8-TAG-17+	1976	PE01533
+filtcutI8-TAG-18+	1976	PE01533
+filtcutI8-TAG-19+	1976	PE01533
+filtcutI8-TAG-20+	1976	PE01533
+filtcutI8-TAG-21+	1976	PE01533
+filtcutI8-TAG-22+	1976	PE01533
+filtcutI8-TAG-23+	1976	PE01533
+filtcutI8-TAG-24+	1976	PE01533
+filtcutI8-TAG-25+	1976	PE01533
+filtcutI8-TAG-26+	1976	PE01533
+filtcutI8-TAG-27+	1976	PE01533
+filtcutI8-TAG-28+	1976	PE01533
+filtcutI8-TAG-29+	1976	PE01533
+filtcutI8-TAG-30+	1976	PE01533
+filtcutI8-TAG-31+	1976	PE01533
+filtcutI8-TAG-32+	1976	PE01533
+filtcutI8-TAG-33+	1976	PE01533
+filtcutI8-TAG-34+	1976	PE01533
+filtcutI8-TAG-35+	1976	PE01533
+filtcutI8-TAG-36+	1976	PE01533
+filtcutI8-TAG-37+	1976	PE01533
+filtcutI8-TAG-38+	1976	PE01533
+filtcutI8-TAG-39+	1976	PE01533
+filtcutI8-TAG-40+	1976	PE01533
+filtcutI8-TAG-41+	1976	PE01533
+filtcutI8-TAG-42+	1976	PE01533
+filtcutI8-TAG-43+	1976	PE01533
+filtcutI8-TAG-44+	1976	PE01533
+filtcutI8-TAG-45+	1976	PE01533
+filtcutI8-TAG-46+	1976	PE01533
+filtcutI8-TAG-47+	1976	PE01533
+filtcutI8-TAG-48+	1976	PE01533
+filtcutI8-TAG-49+	1976	PE01533
+filtcutI8-TAG-50+	1976	PE01533
+filtcutI8-TAG-51+	1976	PE01533
+filtcutI8-TAG-52+	1976	PE01533
+filtcutI8-TAG-53+	1976	PE01533
+filtcutI8-TAG-54+	1976	PE01533
+filtcutI8-TAG-55+	1976	PE01533
+filtcutI8-TAG-56+	1976	PE01533
+filtcutI8-TAG-57+	1976	PE01533
+filtcutI8-TAG-58+	1976	PE01533
+filtcutI8-TAG-59+	1976	PE01533
+filtcutI8-TAG-60+	1976	PE01533
+filtcutI8-TAG-61+	1976	PE01533
+filtcutI8-TAG-62+	1976	PE01533
+filtcutI8-TAG-63+	1976	PE01533
+filtcutI8-TAG-64+	1976	PE01533
+filtcutI8-TAG-65+	1976	PE01533
+filtcutI8-TAG-66+	1976	PE01533
+filtcutI8-TAG-67+	1976	PE01533
+filtcutI8-TAG-68+	1976	PE01533
+filtcutI8-TAG-69+	1976	PE01533
+filtcutI8-TAG-70+	1976	PE01533
+filtcutI8-TAG-71+	1976	PE01533
+filtcutI8-TAG-72+	1976	PE01533
+filtcutI8-TAG-73+	1976	PE01533
+filtcutI8-TAG-74+	1976	PE01533
+filtcutI8-TAG-75+	1976	PE01533
+filtcutI8-TAG-76+	1976	PE01533
+filtcutI8-TAG-77+	1976	PE01533
+filtcutI8-TAG-78+	1976	PE01533
+filtcutI8-TAG-79+	1976	PE01533
+filtcutI8-TAG-80+	1976	PE01533
+filtcutI8-TAG-81+	1976	PE01533
+filtcutI8-TAG-82+	1976	PE01533
+filtcutI8-TAG-83+	1976	PE01533
+filtcutI8-TAG-84+	1976	PE01533
+filtcutI8-TAG-85+	1976	PE01533
+filtcutI8-TAG-86+	1976	PE01533
+filtcutI8-TAG-87+	1976	PE01533
+filtcutI8-TAG-88+	1976	PE01533
+filtcutI8-TAG-89+	1976	PE01533
+filtcutI8-TAG-90+	1976	PE01533
+filtcutI8-TAG-91+	1976	PE01533
+filtcutI8-TAG-92+	1976	PE01533
+filtcutI8-TAG-93+	1976	PE01533
+filtcutI8-TAG-94+	1976	PE01533
+filtcutI8-TAG-95+	1976	PE01533
+filtcutI8-TAG-96+	1976	PE01533
+filtcutI8-TAG-97+	1976	PE01533
+filtcutI8-TAG-98+	1976	PE01533
+filtcutI8-TAG-99+	1976	PE01533
+filtcutI8-TAG-100+	1976	PE01533
+filtcutI8-TAG-101+	1976	PE01533
+filtcutI8-TAG-102+	1976	PE01533
+filtcutI1-TAG-7+	2016	PE01533
+filtcutI1-TAG-8+	2016	PE01533
+filtcutI1-TAG-9+	2016	PE01533
+filtcutI1-TAG-10+	2016	PE01533
+filtcutI1-TAG-11+	2016	PE01533
+filtcutI1-TAG-12+	2016	PE01533
+filtcutI1-TAG-13+	2016	PE01533
+filtcutI1-TAG-14+	2016	PE01533
+filtcutI1-TAG-15+	2016	PE01533
+filtcutI1-TAG-16+	2016	PE01533
+filtcutI1-TAG-17+	2016	PE01533
+filtcutI1-TAG-18+	2016	PE01533
+filtcutI1-TAG-19+	2016	PE01533
+filtcutI1-TAG-20+	2016	PE01533
+filtcutI1-TAG-21+	2016	PE01533
+filtcutI1-TAG-22+	2016	PE01533
+filtcutI1-TAG-23+	2016	PE01533
+filtcutI1-TAG-24+	2016	PE01533
+filtcutI1-TAG-25+	2016	PE01533
+filtcutI1-TAG-26+	2016	PE01533
+filtcutI1-TAG-27+	2016	PE01533
+filtcutI1-TAG-28+	2016	PE01533
+filtcutI1-TAG-29+	2016	PE01533
+filtcutI1-TAG-30+	2016	PE01533
+filtcutI1-TAG-31+	2016	PE01533
+filtcutI1-TAG-32+	2016	PE01533
+filtcutI1-TAG-33+	2016	PE01533
+filtcutI1-TAG-34+	2016	PE01533
+filtcutI1-TAG-35+	2016	PE01533
+filtcutI1-TAG-36+	2016	PE01533
+filtcutI1-TAG-37+	2016	PE01533
+filtcutI1-TAG-38+	2016	PE01533
+filtcutI1-TAG-39+	2016	PE01533
+filtcutI1-TAG-40+	2016	PE01533
+filtcutI1-TAG-41+	2016	PE01533
+filtcutI1-TAG-42+	2016	PE01533
+filtcutI1-TAG-43+	2016	PE01533
+filtcutI1-TAG-44+	2016	PE01533
+filtcutI1-TAG-45+	2016	PE01533
+filtcutI1-TAG-46+	2016	PE01533
+filtcutI1-TAG-47+	2016	PE01533
+filtcutI1-TAG-48+	2016	PE01533
+filtcutI1-TAG-49+	2016	PE01533
+filtcutI1-TAG-50+	2016	PE01533
+filtcutI1-TAG-51+	2016	PE01533
+filtcutI1-TAG-52+	2016	PE01533
+filtcutI1-TAG-53+	2016	PE01533
+filtcutI1-TAG-54+	2016	PE01533
+filtcutI1-TAG-55+	2016	PE01533
+filtcutI1-TAG-56+	2016	PE01533
+filtcutI1-TAG-57+	2016	PE01533
+filtcutI1-TAG-58+	2016	PE01533
+filtcutI1-TAG-59+	2016	PE01533
+filtcutI1-TAG-60+	2016	PE01533
+filtcutI1-TAG-61+	2016	PE01533
+filtcutI1-TAG-62+	2016	PE01533
+filtcutI1-TAG-63+	2016	PE01533
+filtcutI1-TAG-64+	2016	PE01533
+filtcutI1-TAG-65+	2016	PE01533
+filtcutI1-TAG-66+	2016	PE01533
+filtcutI1-TAG-67+	2016	PE01533
+filtcutI1-TAG-68+	2016	PE01533
+filtcutI1-TAG-69+	2016	PE01533
+filtcutI1-TAG-70+	2016	PE01533
+filtcutI1-TAG-71+	2016	PE01533
+filtcutI1-TAG-72+	2016	PE01533
+filtcutI1-TAG-73+	2016	PE01533
+filtcutI1-TAG-74+	2016	PE01533
+filtcutI1-TAG-75+	2016	PE01533
+filtcutI1-TAG-76+	2016	PE01533
+filtcutI1-TAG-77+	2016	PE01533
+filtcutI1-TAG-78+	2016	PE01533
+filtcutI1-TAG-79+	2016	PE01533
+filtcutI1-TAG-80+	2016	PE01533
+filtcutI1-TAG-81+	2016	PE01533
+filtcutI1-TAG-82+	2016	PE01533
+filtcutI1-TAG-83+	2016	PE01533
+filtcutI1-TAG-84+	2016	PE01533
+filtcutI1-TAG-85+	2016	PE01533
+filtcutI1-TAG-86+	2016	PE01533
+filtcutI1-TAG-87+	2016	PE01533
+filtcutI1-TAG-88+	2016	PE01533
+filtcutI1-TAG-89+	2016	PE01533
+filtcutI1-TAG-90+	2016	PE01533
+filtcutI1-TAG-91+	2016	PE01533
+filtcutI1-TAG-92+	2016	PE01533
+filtcutI1-TAG-93+	2016	PE01533
