Code Pheno	sampleID	Type2	Type3	measures_per_repeats	Flowering_time	Epiaison	Main_stem_length	Main_stem_diameter	Main_panicle_length	Main_panicle_diameter	Main_panicle_weight	1000_seed_weight_of_the_main_panicle	total_seed_weight	total_number_of_productive_tillers	total number_of_non_productive_tillers	total_number_of_tillers
Ma_2	Sa-21-28423-02	Late_flowering	Late_flowering	6.67	80.56	80.74	278.37	1.88	52.20	2.44	61.66	6.81	32.96	5.93	4.95	11.08
Ma_3	Sa-21-28423-03	Late_flowering	Late_flowering	6.11	84.56	84.35	305.39	1.97	52.62	2.41	65.66	7.22	42.33	5.88	5.80	11.75
Ma_5	Sa-21-28425-02	Late_flowering	Late_flowering	6.33	85.39	85.21	302.16	1.87	61.29	2.53	71.81	7.50	42.16	4.20	5.55	9.91
Ma_7	Sa-21-30147-01	Late_flowering	Late_flowering	6.78	83.83	83.63	273.64	1.92	54.24	2.76	76.52	6.96	41.39	5.02	5.23	10.30
Ma_8	Sa-21-30147-02	Late_flowering	Late_flowering	6.22	82.17	81.77	299.42	1.90	52.73	2.58	69.92	7.14	42.27	5.14	6.28	11.43
Ma_9	Sa-21-30147-03	Late_flowering	Late_flowering	6.56	83.89	83.99	280.02	2.01	53.38	2.79	74.01	6.97	43.82	4.06	6.03	10.15
Ma_10	Sa-21-30147-04	Late_flowering	Late_flowering	6.78	79.11	79.25	251.72	1.69	50.74	2.56	60.30	6.40	34.38	5.25	5.37	10.84
Ma_11	Sa-21-30218-01	Late_flowering	Late_flowering	5.56	75.22	76.27	284.32	1.79	55.05	2.41	59.26	6.92	31.53	5.25	4.71	9.96
Ma_12	Sa-21-30218-02	Late_flowering	Late_flowering	6.67	83.67	83.94	282.83	1.77	61.17	2.50	68.49	6.60	37.55	6.45	7.08	13.60
Ma_13	Sa-21-30218-03	Late_flowering	Late_flowering	5.11	85.93	85.94	309.74	1.79	61.33	2.69	67.76	6.79	37.74	5.22	5.76	11.12
Ma_14	Sa-21-30507-01	Late_flowering	Late_flowering	6.78	84.78	84.64	291.41	1.82	54.72	2.52	69.36	5.86	36.22	6.83	6.51	13.76
Ma_15	Sa-21-30507-02	Late_flowering	Late_flowering	7.11	81.78	81.77	264.25	1.96	50.20	2.22	52.32	6.71	35.05	5.31	5.78	11.26
Ma_17	Sa-21-30515-01	Late_flowering	Late_flowering	5.67	85.78	85.36	298.63	1.82	58.45	2.49	69.76	6.57	40.02	4.88	6.21	11.18
Ma_18	Sa-21-30515-02	Late_flowering	Late_flowering	5.22	84.56	85.01	267.52	1.94	52.33	2.54	71.69	6.65	42.39	4.96	7.60	12.73
Ma_20	Sa-21-30529-02	Late_flowering	Late_flowering	6.67	80.83	80.72	292.66	1.91	54.40	2.47	74.68	7.05	45.03	5.64	5.15	10.95
Ma_21	Sa-21-30529-03	Late_flowering	Late_flowering	6.67	81.56	81.51	285.24	1.83	49.68	2.49	65.66	6.60	40.84	5.00	6.17	11.43
Ma_22	Sa-21-82410-01	Late_flowering	Late_flowering	6.56	82.44	81.89	299.65	1.85	64.06	2.61	71.21	8.02	41.41	5.69	6.49	12.20
Ma_23	Sa-21-82410-02	Late_flowering	Late_flowering	5.44	79.61	79.99	280.83	1.64	60.69	2.31	60.75	6.00	31.12	5.89	4.45	10.49
Ma_24	Sa-21-82410-03	Late_flowering	Late_flowering	6.00	83.17	82.71	262.48	1.75	50.54	2.47	57.07	6.38	32.38	4.23	4.41	8.89
Ma_25	Sa-21-82410-04	Late_flowering	Late_flowering	5.89	77.89	78.04	239.05	1.69	49.50	2.19	52.25	5.83	28.06	4.99	6.81	11.83
Ma_26	Sa-24-60424-01	Late_flowering	Late_flowering	3.56	81.17	80.43	260.58	1.88	52.56	2.44	65.64	6.09	35.68	4.60	4.85	9.69
Ma_28	Sa-24-60424-03	Late_flowering	Late_flowering	6.44	86.11	85.86	316.61	2.04	62.26	2.81	78.95	7.51	44.48	4.85	6.58	11.60
Ma_30	Sa-6-3189-01	Late_flowering	Late_flowering	5.44	82.25	82.48	236.96	1.76	54.82	2.48	62.06	6.57	37.27	5.20	6.98	12.42
Ma_31	Sa-6-3189-02	Late_flowering	Late_flowering	6.33	85.61	85.79	268.22	1.84	54.11	2.70	62.30	6.14	32.34	6.08	7.29	13.37
Ma_32	Sa-6-3189-03	Late_flowering	Late_flowering	7.00	81.17	81.26	287.19	1.87	56.21	2.44	68.36	6.90	42.07	5.48	6.04	11.63
Ma_33	Sa-6-3189-04	Late_flowering	Late_flowering	3.67	52.25	52.98	225.62	1.49	52.37	2.18	58.74	6.33	35.38	3.86	6.28	10.63
Ma_34	Sa-6-3385-01	Late_flowering	Late_flowering	6.56	80.17	79.92	281.83	1.80	51.42	2.35	59.22	6.94	33.95	6.30	6.86	13.28
Ma_35	Sa-6-4253-01	Late_flowering	Late_flowering	6.33	79.28	79.40	268.80	1.75	48.68	2.34	62.52	6.63	36.01	6.06	6.56	12.69
Ma_36	Sa-6-4253-02	Late_flowering	Late_flowering	6.89	83.72	83.51	257.01	1.77	49.92	2.44	63.55	6.76	38.95	5.81	5.89	11.84
Ma_37	Sa-6-51263-01	Late_flowering	Late_flowering	6.89	83.78	83.55	274.15	1.91	49.67	2.48	66.26	6.45	40.03	5.41	6.76	12.30
Ma_38	Sa-6-51263-02	Late_flowering	Late_flowering	6.33	79.78	79.46	265.33	1.75	47.09	2.46	66.12	7.73	40.94	6.22	6.87	13.14
Ma_39	Sa-8-11559-01	Late_flowering	Late_flowering	6.78	77.06	76.88	272.76	1.70	50.78	2.41	56.99	6.65	32.38	6.09	5.99	12.07
Ma_41	Sa-8-11559-03	Late_flowering	Late_flowering	4.44	82.22	82.34	254.87	1.85	51.04	2.69	68.33	7.21	37.61	3.60	5.34	8.92
Ma_125	Sa-8-12129-01	Late_flowering	Late_flowering	5.67	86.33	86.38	271.10	1.85	58.67	2.60	66.67	7.38	39.29	5.08	7.58	12.61
