"","Code_ADN","Code","Nind","X50.floraison","Nbtalles","Epiaison","Longbrin","Diambrin","LongEpi","DiamEpi","PEpi","P1000","Pgrains","Tutiles","Tsteriles","essai","repetition","ID"
"1","Sa-21-30147-04","Ma_10",7,74,12,74.1666666666667,266.714285714286,1.68714285714286,47.7142857142857,2.47,55.7142857142857,6.265,38.2116666666667,6.28571428571429,5.42857142857143,"A","1",1
"2","Sa-21-30218-01","Ma_11",5,71,7.6,72.2,275.2,1.75,60.1,2.478,51.2,6.778,26.432,4.8,2.8,"A","1",2
"3","Sa-21-30218-02","Ma_12",8,78.5,14.875,78.375,340.875,1.93125,58.625,2.60125,61.125,6.21714285714286,33.9442857142857,9,6.125,"A","1",3
"4","Sa-8-12129-01","Ma_125",3,80,12.6666666666667,80.3333333333333,336.666666666667,2.03666666666667,62,2.55666666666667,70.6666666666667,8.88,39.1066666666667,7,6.33333333333333,"A","1",4
"5","Sa-8-12129-02","Ma_126",8,83,12.5,82.375,329.875,1.9875,60.625,2.73375,68,6.95714285714286,40.6657142857143,6.75,5.625,"A","1",5
"6","Sa-8-12129-03","Ma_127",6,78,12.6666666666667,79,323.833333333333,2.055,66.6666666666667,2.48166666666667,67.3333333333333,7.05,25.12,5.5,7.5,"A","1",6
"7","Sa-8-12129-04","Ma_128",8,83,10.625,83.375,281.875,2.1375,57.25,2.215,37.5,6.84666666666667,30.5933333333333,4.75,5.875,"A","1",7
"8","Sa-21-30218-03","Ma_13",8,81,10.625,81.125,338,2.04375,62.625,2.80375,70.25,6.92125,33.40375,6.125,4.375,"A","1",8
"9","Sa-21-30507-01","Ma_14",8,81,12.5,81.375,320.375,1.80375,56,2.38875,74.25,5.08571428571429,30.3542857142857,8.75,3.625,"A","1",9
"10","Sa-21-30507-02","Ma_15",7,77,10.5714285714286,76.8571428571429,283.285714285714,2.03857142857143,49.9285714285714,2.23285714285714,56.8571428571429,6.78714285714286,34.2471428571429,5.14285714285714,5.42857142857143,"A","1",10
"11","Sa-21-30515-01","Ma_17",7,81,10.4285714285714,80.1428571428571,328.166666666667,1.98428571428571,61.5,2.84,91,8.65,52.6633333333333,4.85714285714286,5.14285714285714,"A","1",11
"12","Sa-21-30515-02","Ma_18",6,80,11.3333333333333,80.7142857142857,333.166666666667,2.01666666666667,57.5,2.67666666666667,101.333333333333,8.01166666666667,72.2083333333333,6.16666666666667,5.16666666666667,"A","1",12
"13","Sa-21-28423-02","Ma_2",7,77,11.8571428571429,76.1428571428571,299.285714285714,1.90285714285714,50.2857142857143,2.44857142857143,42,3.20714285714286,11.46,7.57142857142857,4.14285714285714,"A","1",13
"14","Sa-21-30529-02","Ma_20",7,77,9.71428571428571,77,339.142857142857,2.02,57.7142857142857,2.76857142857143,91.4285714285714,7.93,62.39,6.42857142857143,3.42857142857143,"A","1",14
"15","Sa-21-30529-03","Ma_21",7,78,11,77.8571428571429,305.142857142857,1.82428571428571,50.2857142857143,2.52,69.4285714285714,6.46285714285714,47.9842857142857,3.57142857142857,7,"A","1",15
"16","Sa-21-82410-01","Ma_22",7,79,13.5714285714286,78.5714285714286,353.142857142857,1.98142857142857,64,2.66714285714286,44.8571428571429,8.86833333333333,21.4166666666667,6.85714285714286,6.57142857142857,"A","1",16
"17","Sa-21-82410-02","Ma_23",1,72,12,72,295,1.66,51.5,2.39,68,7.05,35.77,9,3,"A","1",17
"18","Sa-21-82410-03","Ma_24",8,77,11.5,72.625,299.875,1.83,53.1875,2.4125,46.375,6.18714285714286,23.3928571428571,5.375,5.75,"A","1",18
"19","Sa-21-82410-04","Ma_25",6,70.5,7.66666666666667,71.1666666666667,264.166666666667,1.565,56,1.95833333333333,25.8,5.33,7.446,3.5,3.83333333333333,"A","1",19
"20","Sa-24-60424-01","Ma_26",8,74.5,10.75,69.125,295.75,1.96625,56.75,2.5325,69.875,6.34,26.7128571428571,5.875,4.75,"A","1",20
"21","Sa-24-60424-03","Ma_28",8,82,9.125,79.5,341.375,2.0575,64.875,2.9225,67,6.55,28.13875,5.625,3.75,"A","1",21
"22","Sa-21-28423-03","Ma_3",7,79,9.71428571428571,78.7142857142857,357.285714285714,2.12428571428571,54,2.37857142857143,76.8571428571429,7.88714285714286,49.9614285714286,5.28571428571429,4.42857142857143,"A","1",22
"23","Sa-6-3189-01","Ma_30",8,77.5,10.375,77.125,263.625,1.83375,56.8125,2.4125,55.75,7.24,44.9225,5.25,4.875,"A","1",23
"24","Sa-6-3189-02","Ma_31",8,77.5,11.375,78.375,282.625,1.7625,50.25,2.72125,54.75,4.965,29.6116666666667,5.75,5.75,"A","1",24
"25","Sa-6-3189-03","Ma_32",8,74,13.375,74,327.375,1.9425,56.75,2.32125,74,7.34875,39.53125,7.125,6.375,"A","1",25
"26","Sa-6-3385-01","Ma_34",6,72,13.5,72,308.166666666667,1.76333333333333,52.75,2.27666666666667,61.6666666666667,8.47833333333333,28.0916666666667,6.33333333333333,6.66666666666667,"A","1",26
"27","Sa-6-4253-01","Ma_35",7,71,16,73,299.714285714286,1.94142857142857,43.9285714285714,2.42857142857143,73.4285714285714,7.23714285714286,43.0257142857143,8.57142857142857,7.85714285714286,"A","1",27
"28","Sa-6-4253-02","Ma_36",6,80,12.1666666666667,76.7142857142857,262,1.85333333333333,46.8333333333333,2.35166666666667,61.6666666666667,7.07,42.516,6.16666666666667,5.83333333333333,"A","1",28
"29","Sa-6-51263-01","Ma_37",8,78,11.5,77.25,287.5,1.90625,53.5,2.365,71.5,6.77,42.32125,6,6,"A","1",29
"30","Sa-6-51263-02","Ma_38",7,74,13,73.7142857142857,285.285714285714,1.74285714285714,48.2142857142857,2.50714285714286,67.1428571428571,7.98142857142857,44.9171428571429,6.85714285714286,6,"A","1",30
