Code_ADN	Code	Nind	50%floraison	Nbtalles	Epiaison	Longbrin	Diambrin	LongEpi	DiamEpi	PEpi	P1000	Pgrains	Tutiles	Tsteriles
Sa-21-30147-04	Ma_10	7	80	9.285714286	79.71428571	267.8571429	1.6325	49.14285714	2.621428571	65.45857143	5.794285714	33.08714286	4.571428571	4.285714286
Sa-21-30218-01	Ma_11	8	79	9.625	79.42857143	331.2857143	1.851428571	53.71428571	2.425714286	57.41571429	6.445714286	24.73833333	6.375	3.25
Sa-21-30218-02	Ma_12	7	82	18.57142857	84	321.8571429	1.995714286	61.28571429	2.714285714	72.27	6.981666667	31.29333333	6.571428571	12.14285714
Sa-8-12129-01	Ma_125	6	89	16.66666667	87.66666667	310	1.841666667	61.33333333	2.713333333	59.36666667	6.899362027	33.19333333	4.833333333	12.16666667
Sa-8-12129-02	Ma_126	7	86	9.142857143	86.57142857	316.4285714	2.101428571	62.57142857	2.95	84.97571429	7.125714286	44.98857143	5.142857143	4.142857143
Sa-8-12129-03	Ma_127	8	84.5	10.625	84.75	348.75	2.01875	66.75	2.6425	80.03125	6.30375	49.125	6.375	4.125
Sa-8-12129-04	Ma_128	8	90	15.125	89.875	274.25	2.32125	58.25	3.39375	79.08571429	6.3575	31.29714286	4.75	10.625
Sa-21-30218-03	Ma_13	4	86.5	14.75	87.25	370.25	1.8375	69.25	2.715	101.93	7.11	52.86	6.25	8
Sa-21-30507-01	Ma_14	8	85	12.375	84.5	323.875	1.86875	54.4375	2.89375	75.3525	6.42375	49.28	7	5
Sa-21-30515-02	Ma_15	8	82	10.5	81.71428571	302.75	1.94625	51	2.5075	73.4825	7.31	43.6425	5.375	4.75
Sa-21-30529-02	Ma_17	6	88	10.16666667	87.33333333	321.6666667	2.043333333	59.66666667	2.871666667	96.23333333	7.688333333	47.29333333	4.666666667	5.333333333
Sa-21-28423-02	Ma_18	7	85	16.57142857	84.85714286	324.5714286	2.042857143	53	2.85	81.74714286	6.565714286	39.26285714	5.428571429	11.28571429
Sa-21-30507-02	Ma_2	6	83	11.5	82.28571429	306.7142857	2.084285714	54.14285714	2.608571429	74.65	8.484285714	36.30571429	5.714285714	4.833333333
Sa-21-30515-01	Ma_20	8	83	10.75	82.625	337.5	2.05125	55.8125	2.89875	86.46375	6.8875	51.75	6.125	4.5
Sa-21-30529-03	Ma_21	8	83.5	10.25	84	323.5714286	1.927142857	52.64285714	2.738571429	79.49714286	7.17	56.37142857	5.75	4.125
