pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
gpE	gpA	chr1	1	100000	-0.0353548465445842	3
gpE	gpA	chr1	100001	200000	-0.0032296752234437	12
gpE	gpA	chr1	300001	400000	0.0108793098121327	10
gpE	gpA	chr1	400001	500000	0.0740343158644962	9
gpE	gpA	chr1	500001	600000	-0.0187094948293799	10
gpE	gpA	chr1	600001	700000	-0.0241084630595403	10
gpE	gpA	chr1	700001	800000	0.0114735570119721	14
gpE	gpA	chr1	800001	900000	0.007694351238835	9
gpE	gpA	chr1	1100001	1200000	0.0107250992090783	11
gpE	gpA	chr1	1400001	1500000	0.0207921684783999	38
gpE	gpA	chr1	1700001	1800000	0.0462082523484328	21
gpE	gpA	chr1	1800001	1900000	-0.0192008949280147	25
gpE	gpA	chr1	1900001	2000000	0.0032277124389747	12
gpE	gpA	chr1	2100001	2200000	0.0151116312637281	19
gpE	gpA	chr1	2300001	2400000	-0.0102819582516789	13
gpE	gpA	chr1	2400001	2500000	-0.0085562275182316	17
gpE	gpA	chr1	2500001	2600000	-0.031840493843309	11
gpE	gpA	chr1	2600001	2700000	0.0091164827025748	3
gpE	gpA	chr1	2900001	3000000	-0.0181254421440191	24
gpE	gpA	chr1	3000001	3100000	0.0111779608562876	10
gpE	gpA	chr1	3100001	3200000	0.0059567535440853	3
gpE	gpA	chr1	3200001	3300000	0.0086222987176979	12
gpE	gpA	chr1	3300001	3400000	0.0141092807190271	9
gpE	gpA	chr1	3400001	3500000	0.0270869223891662	3
gpE	gpA	chr1	3600001	3700000	0.0671722362765159	6
gpE	gpA	chr1	3800001	3900000	-0.106734162539186	2
gpE	gpA	chr1	3900001	4000000	0.0426721136557566	9
gpE	gpA	chr1	4300001	4400000	-0.018690452382634	6
gpE	gpA	chr1	4400001	4500000	0.0093483208166849	7
gpE	gpA	chr1	4500001	4600000	0.023139920586751	13
gpE	gpA	chr1	4700001	4800000	0.0388609671294707	2
gpE	gpA	chr1	4800001	4900000	0.0437476191080067	20
gpE	gpA	chr1	4900001	5000000	0.0162998377951081	7
gpE	gpA	chr1	5100001	5200000	-0.0196973697346268	2
gpE	gpA	chr1	5200001	5300000	0.0349514563106796	1
gpE	gpA	chr1	5400001	5500000	0.0218597073130922	1
gpE	gpA	chr1	5500001	5600000	-0.0292234307913876	10
gpE	gpA	chr1	5700001	5800000	0.11644765083286	1
gpE	gpA	chr1	5900001	6000000	0.025738131362738	11
gpE	gpA	chr1	6000001	6100000	0.1697792869269949	1
gpE	gpA	chr1	6300001	6400000	-0.0408736679264235	3
gpE	gpA	chr1	6400001	6500000	-0.0192662843998935	30
gpE	gpA	chr1	6700001	6800000	0.0014258699958132	24
gpE	gpA	chr1	6800001	6900000	-0.0217757482337474	4
gpE	gpA	chr1	7100001	7200000	-0.0056420736480097	1
gpE	gpA	chr1	7300001	7400000	-0.0788811067376707	1
gpE	gpA	chr1	7700001	7800000	0.0302897758337889	3
gpE	gpA	chr1	8100001	8200000	-0.0024499433947257	6
gpE	gpA	chr1	8500001	8600000	-0.0101920513528174	13
gpE	gpA	chr1	8600001	8700000	-0.0097372595821724	3
gpE	gpA	chr1	8700001	8800000	-0.0493114657734356	4
gpE	gpA	chr1	8800001	8900000	0.015719831300175	26
gpE	gpA	chr1	9200001	9300000	-0.0075267559090122	19
gpE	gpA	chr1	9700001	9800000	0.0771257409860077	5
gpE	gpA	chr1	9900001	10000000	-0.0057396237009345	1
gpE	gpA	chr1	10000001	10100000	0.0067329401331203	3
gpE	gpA	chr1	10200001	10300000	-0.011014868031052	9
gpE	gpA	chr1	10300001	10400000	-0.0039488281232472	10
gpE	gpA	chr1	10500001	10600000	0.0048619774209088	5
gpE	gpA	chr1	10600001	10700000	0.0057419515218969	4
