pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
gpE	gpD	chr1	1	100000	0.0043220932949147	339	222	51364	78812
gpE	gpD	chr1	100001	200000	0.0032170464890219	1467	834	259244	304084
gpE	gpD	chr1	200001	300000	NA	0	NA	NA	NA
gpE	gpD	chr1	300001	400000	0.0020348460641651	1306	754	370544	130960
gpE	gpD	chr1	400001	500000	0.0031865418843658	1149	888	278672	162544
gpE	gpD	chr1	500001	600000	0.0037634309174634	765	814	216292	77468
gpE	gpD	chr1	600001	700000	0.0024455917590968	864	396	161924	169852
gpE	gpD	chr1	700001	800000	0.0055620658616531	830	1310	235524	83196
gpE	gpD	chr1	800001	900000	0.0064354104536179	501	656	101936	90448
gpE	gpD	chr1	900001	1000000	NA	0	NA	NA	NA
gpE	gpD	chr1	1000001	1100000	0.0	55	0	13504	7616
gpE	gpD	chr1	1100001	1200000	0.0033359899806444	590	586	175660	50900
gpE	gpD	chr1	1200001	1300000	NA	0	NA	NA	NA
gpE	gpD	chr1	1300001	1400000	0.0	12	0	1376	3232
gpE	gpD	chr1	1400001	1500000	0.0066567334563865	1986	3592	539604	223020
gpE	gpD	chr1	1500001	1600000	NA	0	NA	NA	NA
gpE	gpD	chr1	1600001	1700000	NA	0	NA	NA	NA
gpE	gpD	chr1	1700001	1800000	0.006139188402305	1382	2446	398424	132264
gpE	gpD	chr1	1800001	1900000	0.006191037735849	1256	1848	298496	183808
gpE	gpD	chr1	1900001	2000000	0.0035622684525505	967	950	266684	104644
gpE	gpD	chr1	2000001	2100000	NA	0	NA	NA	NA
gpE	gpD	chr1	2100001	2200000	0.0049117894811774	1018	1656	337148	53764
gpE	gpD	chr1	2200001	2300000	NA	0	NA	NA	NA
gpE	gpD	chr1	2300001	2400000	0.0031072944746654	939	770	247804	112772
gpE	gpD	chr1	2400001	2500000	0.0099228093581741	578	1666	167896	54056
gpE	gpD	chr1	2500001	2600000	0.0052526198091374	526	808	153828	48156
gpE	gpD	chr1	2600001	2700000	0.0009766250400256	766	244	249840	44304
gpE	gpD	chr1	2700001	2800000	NA	0	NA	NA	NA
gpE	gpD	chr1	2800001	2900000	NA	0	NA	NA	NA
gpE	gpD	chr1	2900001	3000000	0.005846427694574	1301	2286	391008	108576
gpE	gpD	chr1	3000001	3100000	0.0034372432876475	1033	636	185032	211640
gpE	gpD	chr1	3100001	3200000	0.000723551604734	526	112	154792	47192
gpE	gpD	chr1	3200001	3300000	0.0071453317166118	852	990	138552	188616
gpE	gpD	chr1	3300001	3400000	0.0044593769089798	525	438	98220	103380
gpE	gpD	chr1	3400001	3500000	0.0017110730872647	127	28	16364	32404
gpE	gpD	chr1	3500001	3600000	0.0	159	0	14472	46584
gpE	gpD	chr1	3600001	3700000	0.0178992497320471	87	334	18660	14748
gpE	gpD	chr1	3700001	3800000	NA	0	NA	NA	NA
gpE	gpD	chr1	3800001	3900000	0.0013012361743656	344	64	49184	82912
gpE	gpD	chr1	3900001	4000000	0.0057786536003408	429	434	75104	89632
gpE	gpD	chr1	4000001	4100000	NA	0	NA	NA	NA
gpE	gpD	chr1	4100001	4200000	NA	0	NA	NA	NA
gpE	gpD	chr1	4200001	4300000	0.0	17	0	1888	4640
gpE	gpD	chr1	4300001	4400000	0.0089012063906097	278	546	61340	45412
gpE	gpD	chr1	4400001	4500000	0.0142689953186892	252	634	44432	52336
gpE	gpD	chr1	4500001	4600000	0.0099316655084549	370	686	69072	73008
gpE	gpD	chr1	4600001	4700000	0.0	64	0	10884	13692
gpE	gpD	chr1	4700001	4800000	0.0062015503875968	183	176	28380	41892
gpE	gpD	chr1	4800001	4900000	0.0044989698910318	1380	1450	322296	207624
gpE	gpD	chr1	4900001	5000000	0.0046731276663954	504	758	162204	31332
gpE	gpD	chr1	5000001	5100000	NA	0	NA	NA	NA
gpE	gpD	chr1	5100001	5200000	0.0030578813250819	249	168	54940	40676
gpE	gpD	chr1	5200001	5300000	0.0	140	0	23020	30740
gpE	gpD	chr1	5300001	5400000	NA	0	NA	NA	NA
gpE	gpD	chr1	5400001	5500000	0.0043568857738207	118	92	21116	24196
gpE	gpD	chr1	5500001	5600000	0.0045251802292412	604	698	154248	77688
gpE	gpD	chr1	5600001	5700000	NA	0	NA	NA	NA
gpE	gpD	chr1	5700001	5800000	0.000796178343949	345	46	57776	74704
gpE	gpD	chr1	5800001	5900000	0.0	221	0	48172	36692
gpE	gpD	chr1	5900001	6000000	0.0036100677028273	585	642	177836	46804
gpE	gpD	chr1	6000001	6100000	0.0013089005235602	92	24	18336	16992
gpE	gpD	chr1	6100001	6200000	0.0	21	0	1872	6192
gpE	gpD	chr1	6200001	6300000	NA	0	NA	NA	NA
gpE	gpD	chr1	6300001	6400000	0.0017111423712444	624	326	190516	49100
gpE	gpD	chr1	6400001	6500000	0.0052604704105188	1277	1978	376012	114356
gpE	gpD	chr1	6500001	6600000	NA	0	NA	NA	NA
gpE	gpD	chr1	6600001	6700000	0.0	335	0	65920	62720
gpE	gpD	chr1	6700001	6800000	0.0086469824789097	943	2132	246560	115552
gpE	gpD	chr1	6800001	6900000	0.0040967024074448	356	324	79088	57616
gpE	gpD	chr1	6900001	7000000	NA	0	NA	NA	NA
gpE	gpD	chr1	7000001	7100000	NA	0	NA	NA	NA
gpE	gpD	chr1	7100001	7200000	0.0	118	0	20080	25232
gpE	gpD	chr1	7200001	7300000	NA	0	NA	NA	NA
gpE	gpD	chr1	7300001	7400000	0.0042735042735042	66	36	8424	16920
gpE	gpD	chr1	7400001	7500000	NA	0	NA	NA	NA
gpE	gpD	chr1	7500001	7600000	0.0	87	0	21756	11652
gpE	gpD	chr1	7600001	7700000	NA	0	NA	NA	NA
gpE	gpD	chr1	7700001	7800000	0.001962298140642	543	244	124344	84168
gpE	gpD	chr1	7800001	7900000	NA	0	NA	NA	NA
gpE	gpD	chr1	7900001	8000000	NA	0	NA	NA	NA
gpE	gpD	chr1	8000001	8100000	NA	0	NA	NA	NA
gpE	gpD	chr1	8100001	8200000	0.0214937038645245	104	396	18424	21512
gpE	gpD	chr1	8200001	8300000	NA	0	NA	NA	NA
gpE	gpD	chr1	8300001	8400000	NA	0	NA	NA	NA
gpE	gpD	chr1	8400001	8500000	NA	0	NA	NA	NA
gpE	gpD	chr1	8500001	8600000	0.0046826872381163	918	1350	288296	64216
gpE	gpD	chr1	8600001	8700000	0.0013512224589069	433	170	125812	40460
gpE	gpD	chr1	8700001	8800000	0.0025256093253267	580	286	113240	109480
gpE	gpD	chr1	8800001	8900000	0.006194909156323	1365	2204	355776	168384
gpE	gpD	chr1	8900001	9000000	NA	0	NA	NA	NA
gpE	gpD	chr1	9000001	9100000	NA	0	NA	NA	NA
gpE	gpD	chr1	9100001	9200000	NA	0	NA	NA	NA
gpE	gpD	chr1	9200001	9300000	0.0030937648738695	1692	1274	411796	237932
gpE	gpD	chr1	9300001	9400000	NA	0	NA	NA	NA
gpE	gpD	chr1	9400001	9500000	0.0	158	0	37772	22900
gpE	gpD	chr1	9500001	9600000	NA	0	NA	NA	NA
gpE	gpD	chr1	9600001	9700000	NA	0	NA	NA	NA
gpE	gpD	chr1	9700001	9800000	0.0035924472780774	528	586	163120	39632
gpE	gpD	chr1	9800001	9900000	NA	0	NA	NA	NA
gpE	gpD	chr1	9900001	10000000	0.0008011198812656	693	190	237168	28944
gpE	gpD	chr1	10000001	10100000	0.0117909892019362	116	380	32228	12316
gpE	gpD	chr1	10100001	10200000	NA	0	NA	NA	NA
gpE	gpD	chr1	10200001	10300000	0.0022165523839897	482	278	125420	59668
gpE	gpD	chr1	10300001	10400000	0.0023977414822167	1110	744	310292	115948
gpE	gpD	chr1	10400001	10500000	NA	0	NA	NA	NA
gpE	gpD	chr1	10500001	10600000	0.0044706723891273	336	450	100656	28368
gpE	gpD	chr1	10600001	10700000	0.0052460469927589	229	284	54136	33800
gpE	gpD	chr1	10700001	10800000	NA	0	NA	NA	NA
gpE	gpD	chr1	10800001	10900000	0.0062633669416437	84	82	13092	19164
gpE	gpD	chr1	10900001	11000000	NA	0	NA	NA	NA
gpE	gpD	chr1	11000001	11100000	NA	0	NA	NA	NA
gpE	gpD	chr1	11100001	11200000	0.0054719562243502	82	64	11696	19792
gpE	gpD	chr1	11200001	11300000	0.0077674726730705	578	938	120760	101192
gpE	gpD	chr1	11300001	11400000	NA	0	NA	NA	NA
gpE	gpD	chr1	11400001	11500000	NA	0	NA	NA	NA
gpE	gpD	chr1	11500001	11600000	NA	0	NA	NA	NA
gpE	gpD	chr1	11600001	11700000	NA	0	NA	NA	NA
gpE	gpD	chr1	11700001	11800000	0.0047950540356343	682	788	164336	97552
gpE	gpD	chr1	11800001	11900000	NA	0	NA	NA	NA
gpE	gpD	chr1	11900001	12000000	0.0029351488415714	452	338	115156	58412
gpE	gpD	chr1	12000001	12100000	0.0044014968856741	1095	1402	318528	101952
gpE	gpD	chr1	12100001	12200000	0.0057037338067432	1723	3200	561036	100596
gpE	gpD	chr1	12200001	12300000	0.0084943027162996	762	1810	213084	79524
gpE	gpD	chr1	12300001	12400000	0.0	472	0	83724	97524
gpE	gpD	chr1	12400001	12500000	0.0	13	0	2128	2864
gpE	gpD	chr1	12500001	12600000	NA	0	NA	NA	NA
gpE	gpD	chr1	12600001	12700000	0.0021744001303621	1404	854	392752	146384
gpE	gpD	chr1	12700001	12800000	NA	0	NA	NA	NA
gpE	gpD	chr1	12800001	12900000	0.0	585	0	184932	39708
gpE	gpD	chr1	12900001	13000000	0.0117512479201331	132	226	19232	31456
gpE	gpD	chr1	13000001	13100000	0.0041908261094207	564	584	139352	77224
gpE	gpD	chr1	13100001	13200000	0.0009892731751789	792	204	206212	97916
gpE	gpD	chr1	13200001	13300000	0.0006368939953634	1647	300	471036	161412
gpE	gpD	chr1	13300001	13400000	0.0	274	0	49344	55872
gpE	gpD	chr1	13400001	13500000	0.0078119643795753	1644	4102	525092	106204
gpE	gpD	chr1	13500001	13600000	0.0042651718254935	487	490	114884	72124
gpE	gpD	chr1	13600001	13700000	0.0035297728667894	80	46	13032	17688
gpE	gpD	chr1	13700001	13800000	NA	0	NA	NA	NA
gpE	gpD	chr1	13800001	13900000	NA	0	NA	NA	NA
gpE	gpD	chr1	13900001	14000000	NA	0	NA	NA	NA
gpE	gpD	chr1	14000001	14100000	NA	0	NA	NA	NA
gpE	gpD	chr1	14100001	14200000	NA	0	NA	NA	NA
gpE	gpD	chr1	14200001	14300000	0.0037724610344485	470	304	80584	99896
gpE	gpD	chr1	14300001	14400000	NA	0	NA	NA	NA
gpE	gpD	chr1	14400001	14500000	0.0154697286012526	352	1482	95800	39368
gpE	gpD	chr1	14500001	14600000	0.0070828358894297	582	1234	174224	49264
gpE	gpD	chr1	14600001	14700000	0.0025278058645096	80	30	11868	18852
gpE	gpD	chr1	14700001	14800000	NA	0	NA	NA	NA
gpE	gpD	chr1	14800001	14900000	NA	0	NA	NA	NA
gpE	gpD	chr1	14900001	15000000	0.0163222642116265	197	812	49748	25900
gpE	gpD	chr1	15000001	15100000	NA	0	NA	NA	NA
gpE	gpD	chr1	15100001	15200000	NA	0	NA	NA	NA
gpE	gpD	chr1	15200001	15300000	NA	0	NA	NA	NA
gpE	gpD	chr1	15300001	15400000	0.00829265799494	555	1298	156524	56596
gpE	gpD	chr1	15400001	15500000	0.0022497187851518	125	32	14224	33776
gpE	gpD	chr1	15500001	15600000	0.0028440621531631	464	410	144160	34016
gpE	gpD	chr1	15600001	15700000	0.0067973624355737	1415	2606	383384	159976
gpE	gpD	chr1	15700001	15800000	NA	0	NA	NA	NA
gpE	gpD	chr1	15800001	15900000	NA	0	NA	NA	NA
gpE	gpD	chr1	15900001	16000000	NA	0	NA	NA	NA
gpE	gpD	chr1	16000001	16100000	NA	0	NA	NA	NA
gpE	gpD	chr1	16100001	16200000	0.0045112781954887	113	84	18620	24772
gpE	gpD	chr1	16200001	16300000	NA	0	NA	NA	NA
gpE	gpD	chr1	16300001	16400000	NA	0	NA	NA	NA
gpE	gpD	chr1	16400001	16500000	NA	0	NA	NA	NA
gpE	gpD	chr1	16500001	16600000	NA	0	NA	NA	NA
gpE	gpD	chr1	16600001	16700000	0.008900309090232	324	956	107412	17004
gpE	gpD	chr1	16700001	16800000	NA	0	NA	NA	NA
gpE	gpD	chr1	16800001	16900000	NA	0	NA	NA	NA
gpE	gpD	chr1	16900001	17000000	0.0072530508864839	138	126	17372	35620
gpE	gpD	chr1	17000001	17100000	0.0032794565472007	244	112	34152	59544
gpE	gpD	chr1	17100001	17200000	NA	0	NA	NA	NA
gpE	gpD	chr1	17200001	17300000	NA	0	NA	NA	NA
gpE	gpD	chr1	17300001	17400000	0.0	108	0	11400	30072
gpE	gpD	chr1	17400001	17500000	NA	0	NA	NA	NA
gpE	gpD	chr1	17500001	17600000	NA	0	NA	NA	NA
gpE	gpD	chr1	17600001	17700000	0.0	55	0	11156	9964
gpE	gpD	chr1	17700001	17800000	0.0081323704783357	422	982	120752	41296
gpE	gpD	chr1	17800001	17900000	0.0038110636332139	297	132	34636	82868
gpE	gpD	chr1	17900001	18000000	NA	0	NA	NA	NA
gpE	gpD	chr1	18000001	18100000	0.0084917104731095	241	504	59352	33192
gpE	gpD	chr1	18100001	18200000	0.0017443888824281	249	60	34396	61220
gpE	gpD	chr1	18200001	18300000	NA	0	NA	NA	NA
gpE	gpD	chr1	18300001	18400000	0.0105903834449178	143	348	32860	22052
gpE	gpD	chr1	18400001	18500000	0.0	620	0	216056	22024
gpE	gpD	chr1	18500001	18600000	NA	0	NA	NA	NA
gpE	gpD	chr1	18600001	18700000	NA	0	NA	NA	NA
gpE	gpD	chr1	18700001	18800000	0.0047070353101891	555	634	134692	78428
gpE	gpD	chr1	18800001	18900000	0.0010662136764493	397	118	110672	41776
gpE	gpD	chr1	18900001	19000000	0.0053395878037826	519	428	80156	119140
gpE	gpD	chr1	19000001	19100000	0.0060583611662188	1240	1930	318568	157592
gpE	gpD	chr1	19100001	19200000	0.0052559691557599	997	1216	231356	151492
gpE	gpD	chr1	19200001	19300000	0.0042805347474005	829	1072	250436	67900
gpE	gpD	chr1	19300001	19400000	0.0030299827361448	474	344	113532	68484
gpE	gpD	chr1	19400001	19500000	0.0041454081632653	968	1404	338688	33024
gpE	gpD	chr1	19500001	19600000	0.0165778437882229	365	1518	91568	48592
gpE	gpD	chr1	19600001	19700000	0.0047738443145589	982	1150	240896	136192
gpE	gpD	chr1	19700001	19800000	NA	0	NA	NA	NA
gpE	gpD	chr1	19800001	19900000	0.0036196539508137	290	282	77908	33452
gpE	gpD	chr1	19900001	20000000	NA	0	NA	NA	NA
gpE	gpD	chr1	20000001	20100000	0.0077969805323798	632	1570	201360	41328
gpE	gpD	chr1	20100001	20200000	0.0023910175691071	887	638	266832	73776
gpE	gpD	chr1	20200001	20300000	0.0	12	0	1984	2624
gpE	gpD	chr1	20300001	20400000	NA	0	NA	NA	NA
gpE	gpD	chr1	20400001	20500000	0.0060272536687631	128	138	22896	26256
gpE	gpD	chr1	20500001	20600000	NA	0	NA	NA	NA
gpE	gpD	chr1	20600001	20700000	NA	0	NA	NA	NA
gpE	gpD	chr1	20700001	20800000	NA	0	NA	NA	NA
gpE	gpD	chr1	20800001	20900000	NA	0	NA	NA	NA
gpE	gpD	chr1	20900001	21000000	NA	0	NA	NA	NA
gpE	gpD	chr1	21000001	21100000	0.0053406030348814	961	1626	304460	64564
gpE	gpD	chr1	21100001	21200000	NA	0	NA	NA	NA
gpE	gpD	chr1	21200001	21300000	NA	0	NA	NA	NA
gpE	gpD	chr1	21300001	21400000	0.0104311543810848	292	900	86280	25848
gpE	gpD	chr1	21400001	21500000	0.0057578416319368	155	210	36472	23048
gpE	gpD	chr1	21500001	21600000	NA	0	NA	NA	NA
gpE	gpD	chr1	21600001	21700000	0.0016153990035538	654	380	235236	15900
gpE	gpD	chr1	21700001	21800000	NA	0	NA	NA	NA
gpE	gpD	chr1	21800001	21900000	NA	0	NA	NA	NA
gpE	gpD	chr1	21900001	22000000	0.0023670668953687	729	552	233200	46736
gpE	gpD	chr1	22000001	22100000	0.0050508956277127	1314	2090	413788	90788
gpE	gpD	chr1	22100001	22200000	0.0006246572003168	485	82	131272	54968
gpE	gpD	chr1	22200001	22300000	NA	0	NA	NA	NA
gpE	gpD	chr1	22300001	22400000	0.0	79	0	11880	18456
gpE	gpD	chr1	22400001	22500000	NA	0	NA	NA	NA
gpE	gpD	chr1	22500001	22600000	0.0063168875323571	367	654	103532	37396
gpE	gpD	chr1	22600001	22700000	0.0058496636443404	77	80	13676	15892
gpE	gpD	chr1	22700001	22800000	NA	0	NA	NA	NA
gpE	gpD	chr1	22800001	22900000	0.0049734929223369	1060	1456	292752	114288
gpE	gpD	chr1	22900001	23000000	0.0091911764705882	181	370	40256	29248
gpE	gpD	chr1	23000001	23100000	NA	0	NA	NA	NA
gpE	gpD	chr1	23100001	23200000	NA	0	NA	NA	NA
gpE	gpD	chr1	23200001	23300000	0.0	63	0	10028	14164
gpE	gpD	chr1	23300001	23400000	0.0029216765928756	239	208	71192	20584
gpE	gpD	chr1	23400001	23500000	0.0088574679018365	469	872	98448	81648
gpE	gpD	chr1	23500001	23600000	0.0029228461407605	944	756	258652	103844
gpE	gpD	chr1	23600001	23700000	NA	0	NA	NA	NA
gpE	gpD	chr1	23700001	23800000	0.0	31	0	2364	9540
gpE	gpD	chr1	23800001	23900000	0.008757127894798	1137	2408	274976	161632
gpE	gpD	chr1	23900001	24000000	NA	0	NA	NA	NA
gpE	gpD	chr1	24000001	24100000	NA	0	NA	NA	NA
gpE	gpD	chr1	24100001	24200000	NA	0	NA	NA	NA
gpE	gpD	chr1	24200001	24300000	NA	0	NA	NA	NA
gpE	gpD	chr1	24300001	24400000	0.0067492238821329	1358	1574	233212	288260
gpE	gpD	chr1	24400001	24500000	0.0033942685351306	783	560	164984	135688
gpE	gpD	chr1	24500001	24600000	NA	0	NA	NA	NA
gpE	gpD	chr1	24600001	24700000	NA	0	NA	NA	NA
gpE	gpD	chr1	24700001	24800000	0.0011510359323391	375	92	79928	64072
gpE	gpD	chr1	24800001	24900000	NA	0	NA	NA	NA
gpE	gpD	chr1	24900001	25000000	NA	0	NA	NA	NA
gpE	gpD	chr1	25000001	25100000	NA	0	NA	NA	NA
gpE	gpD	chr1	25100001	25200000	0.0078798404734336	315	490	62184	58776
gpE	gpD	chr1	25200001	25300000	0.0013531996624276	627	186	137452	103316
gpE	gpD	chr1	25300001	25400000	0.0	117	0	18460	26468
gpE	gpD	chr1	25400001	25500000	0.002028647642958	1160	724	356888	88552
