pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
gpE	gpD	chr1	1	100000	-0.001793912258405	3
gpE	gpD	chr1	100001	200000	-0.0092889824761183	12
gpE	gpD	chr1	300001	400000	0.0745592906070944	10
gpE	gpD	chr1	400001	500000	-0.0124184889252721	9
gpE	gpD	chr1	500001	600000	0.0062399654842593	10
gpE	gpD	chr1	600001	700000	-0.0341159496652302	10
gpE	gpD	chr1	700001	800000	-0.0309695604933992	14
gpE	gpD	chr1	800001	900000	-0.0490066723862279	9
gpE	gpD	chr1	1100001	1200000	-0.0586624323526922	11
gpE	gpD	chr1	1400001	1500000	-0.0188489847689455	38
gpE	gpD	chr1	1700001	1800000	0.0306399544031429	21
gpE	gpD	chr1	1800001	1900000	-0.0071818925874501	25
gpE	gpD	chr1	1900001	2000000	0.1005909397521538	12
gpE	gpD	chr1	2100001	2200000	-0.0052766468255443	19
gpE	gpD	chr1	2300001	2400000	0.0567703369236749	13
gpE	gpD	chr1	2400001	2500000	0.0056060997083013	17
gpE	gpD	chr1	2500001	2600000	-0.0243190377824038	11
gpE	gpD	chr1	2600001	2700000	-0.0525329925812785	3
gpE	gpD	chr1	2900001	3000000	-0.0229262779223604	24
gpE	gpD	chr1	3000001	3100000	-0.053858457362218	10
gpE	gpD	chr1	3100001	3200000	-0.041369489106284	3
gpE	gpD	chr1	3200001	3300000	-0.0065097206521658	12
gpE	gpD	chr1	3300001	3400000	0.0278396581282002	9
gpE	gpD	chr1	3400001	3500000	0.0838730569948186	3
gpE	gpD	chr1	3600001	3700000	0.1368818633318807	6
gpE	gpD	chr1	3800001	3900000	-0.1334100754294023	2
gpE	gpD	chr1	3900001	4000000	0.1221210414075028	9
gpE	gpD	chr1	4300001	4400000	0.0185858017104692	6
gpE	gpD	chr1	4400001	4500000	-0.0177145051782818	7
gpE	gpD	chr1	4500001	4600000	-0.0248403395221421	13
gpE	gpD	chr1	4700001	4800000	0.032902040086048	2
gpE	gpD	chr1	4800001	4900000	0.0438110648493234	20
gpE	gpD	chr1	4900001	5000000	0.0769734719031698	7
gpE	gpD	chr1	5100001	5200000	0.0680796998450255	2
gpE	gpD	chr1	5200001	5300000	NA	1
gpE	gpD	chr1	5400001	5500000	-0.0770163735597332	1
gpE	gpD	chr1	5500001	5600000	-0.0312781135450763	10
gpE	gpD	chr1	5700001	5800000	0.0543259557344063	1
gpE	gpD	chr1	5900001	6000000	-0.0288340000221796	11
gpE	gpD	chr1	6000001	6100000	-0.0243902439024389	1
gpE	gpD	chr1	6300001	6400000	-0.056857125836906	3
gpE	gpD	chr1	6400001	6500000	-0.0125506713524638	30
gpE	gpD	chr1	6700001	6800000	0.0062986029677101	24
gpE	gpD	chr1	6800001	6900000	-0.0360346670168332	4
gpE	gpD	chr1	7100001	7200000	NA	1
gpE	gpD	chr1	7300001	7400000	-0.0828937452901281	1
gpE	gpD	chr1	7700001	7800000	0.1045833597488041	3
gpE	gpD	chr1	8100001	8200000	-0.0376357702253727	6
gpE	gpD	chr1	8500001	8600000	-0.0205117428006459	13
gpE	gpD	chr1	8600001	8700000	0.1669070517908752	3
gpE	gpD	chr1	8700001	8800000	-0.0583582642586084	4
gpE	gpD	chr1	8800001	8900000	-0.0032565129435742	26
gpE	gpD	chr1	9200001	9300000	0.0046873714489365	19
gpE	gpD	chr1	9700001	9800000	-0.0002505862254148	5
gpE	gpD	chr1	9900001	10000000	-0.0095959940378189	1
gpE	gpD	chr1	10000001	10100000	0.0072772944980205	3
gpE	gpD	chr1	10200001	10300000	-0.0210486349430559	9
gpE	gpD	chr1	10300001	10400000	-0.0258090006875049	10
gpE	gpD	chr1	10500001	10600000	0.0113628004491023	5
gpE	gpD	chr1	10600001	10700000	0.0533055887184315	4
gpE	gpD	chr1	10800001	10900000	0.0040650406504064	1
gpE	gpD	chr1	11100001	11200000	-0.0391632206275845	1
gpE	gpD	chr1	11200001	11300000	0.1208580419316155	12
gpE	gpD	chr1	11700001	11800000	-0.01571816867573	11
gpE	gpD	chr1	11900001	12000000	-0.0484198542712619	4
gpE	gpD	chr1	12000001	12100000	-0.0554094212596134	16
gpE	gpD	chr1	12100001	12200000	-0.0150102712971639	29
gpE	gpD	chr1	12200001	12300000	0.0502340441144319	19
gpE	gpD	chr1	12600001	12700000	-0.0240631995091225	15
gpE	gpD	chr1	12900001	13000000	-0.0246925724564076	5
gpE	gpD	chr1	13000001	13100000	0.103218078230327	5
gpE	gpD	chr1	13100001	13200000	-0.0035934179188429	4
gpE	gpD	chr1	13200001	13300000	-0.0060424704796159	3
gpE	gpD	chr1	13400001	13500000	-0.0280187151098249	43
gpE	gpD	chr1	13500001	13600000	-0.0421217844422647	9
gpE	gpD	chr1	13600001	13700000	-0.0754837623680571	2
gpE	gpD	chr1	14200001	14300000	0.0241184765004143	4
gpE	gpD	chr1	14400001	14500000	-0.0049440990119256	10
gpE	gpD	chr1	14500001	14600000	0.0145342448470566	12
gpE	gpD	chr1	14600001	14700000	-0.0929690638810767	2
gpE	gpD	chr1	14900001	15000000	0.0284307742217475	7
gpE	gpD	chr1	15300001	15400000	-0.016706416497135	11
gpE	gpD	chr1	15400001	15500000	-0.0810810810810811	1
gpE	gpD	chr1	15500001	15600000	-0.0309028588843664	4
gpE	gpD	chr1	15600001	15700000	-0.0154014975503112	33
gpE	gpD	chr1	16100001	16200000	0.1139240506329114	1
gpE	gpD	chr1	16600001	16700000	0.0291129295989595	7
gpE	gpD	chr1	16900001	17000000	-0.0285714285714285	2
gpE	gpD	chr1	17000001	17100000	-0.0793447488932599	3
gpE	gpD	chr1	17700001	17800000	0.0080699792354955	9
gpE	gpD	chr1	17800001	17900000	-0.0051802479054213	4
gpE	gpD	chr1	18000001	18100000	-0.025626224477166	5
gpE	gpD	chr1	18100001	18200000	0.0441731263906015	3
gpE	gpD	chr1	18300001	18400000	0.0679037596221784	3
gpE	gpD	chr1	18700001	18800000	-0.0316456464032322	6
gpE	gpD	chr1	18800001	18900000	0.0723234296814739	2
gpE	gpD	chr1	18900001	19000000	0.0538830115821821	10
gpE	gpD	chr1	19000001	19100000	0.0383787419423548	31
gpE	gpD	chr1	19100001	19200000	0.0335995225977249	25
gpE	gpD	chr1	19200001	19300000	-0.0125775833366342	16
gpE	gpD	chr1	19300001	19400000	-0.0023673573017152	6
gpE	gpD	chr1	19400001	19500000	-0.0176859085099435	14
gpE	gpD	chr1	19500001	19600000	0.026054535692313	12
gpE	gpD	chr1	19600001	19700000	0.0486968197150174	14
gpE	gpD	chr1	19800001	19900000	-0.0382097086828516	5
gpE	gpD	chr1	20000001	20100000	-0.0001879503899155	12
gpE	gpD	chr1	20100001	20200000	0.0660248699031002	7
gpE	gpD	chr1	20400001	20500000	0.0496795693411945	2
gpE	gpD	chr1	21000001	21100000	-0.0267165369521263	14
gpE	gpD	chr1	21300001	21400000	0.0408997969414073	12
gpE	gpD	chr1	21400001	21500000	-0.0398635820907738	3
gpE	gpD	chr1	21600001	21700000	-0.0009726491071081	2
gpE	gpD	chr1	21900001	22000000	-0.0262166583792851	13
gpE	gpD	chr1	22000001	22100000	0.0241345149081191	26
gpE	gpD	chr1	22100001	22200000	0.027831603371882	2
gpE	gpD	chr1	22500001	22600000	0.0251742273510245	8
gpE	gpD	chr1	22600001	22700000	-0.0785942492012779	3
gpE	gpD	chr1	22800001	22900000	0.0037828931496093	19
gpE	gpD	chr1	22900001	23000000	-0.0725581247261013	3
gpE	gpD	chr1	23300001	23400000	-0.0435821956102046	4
gpE	gpD	chr1	23400001	23500000	-0.0619717603801534	14
gpE	gpD	chr1	23500001	23600000	0.0366403365923216	8
gpE	gpD	chr1	23800001	23900000	0.0508385817215851	27
gpE	gpD	chr1	24300001	24400000	-0.0164085693470834	38
gpE	gpD	chr1	24400001	24500000	-0.0125488051612465	11
gpE	gpD	chr1	24700001	24800000	-0.0733082903622141	4
gpE	gpD	chr1	25100001	25200000	0.0349412248063716	8
gpE	gpD	chr1	25200001	25300000	-0.0190469994805843	8
gpE	gpD	chr1	25400001	25500000	0.009943914209076	14
gpE	gpD	chr1	25500001	25600000	0.0420767556878213	4
gpE	gpD	chr1	25700001	25800000	-0.0318903487093514	10
gpE	gpD	chr1	25800001	25900000	0.0293101434331641	5
gpE	gpD	chr1	26000001	26100000	-0.0180898317805247	12
gpE	gpD	chr1	26200001	26300000	0.0002559007260151	9
gpE	gpD	chr1	26300001	26400000	0.0638175821023949	1
gpE	gpD	chr1	26400001	26500000	-0.0035089751036877	6
gpE	gpD	chr1	26700001	26800000	-0.0743880369559005	2
gpE	gpD	chr1	26900001	27000000	-0.0254197679636956	11
gpE	gpD	chr1	27000001	27100000	-0.0420789763587576	18
gpE	gpD	chr1	27100001	27200000	-0.0308639945821401	2
gpE	gpD	chr1	27400001	27500000	0.0907272905867503	2
gpE	gpD	chr1	27700001	27800000	0.0861847569212631	11
gpE	gpD	chr1	27800001	27900000	-0.0495074950315612	15
gpE	gpD	chr1	27900001	28000000	-0.0141873271630921	10
gpE	gpD	chr1	28200001	28300000	0.0340586547832236	14
gpE	gpD	chr1	28900001	29000000	0.0168527370337746	15
gpE	gpD	chr1	29100001	29200000	0.1213887549604335	8
gpE	gpD	chr1	29400001	29500000	0.0930304738056815	15
gpE	gpD	chr1	29500001	29600000	0.0316208715802118	18
gpE	gpD	chr1	29600001	29700000	-0.0435717136661232	5
gpE	gpD	chr1	30500001	30600000	0.2767653758542141	1
gpE	gpD	chr1	30700001	30800000	-0.004860048600486	1
