pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
gpD	gpC	chr1	1	100000	0.0029941144264987	339	350	116896	208544
gpD	gpC	chr1	100001	200000	0.0029374340868448	1467	2050	697888	710432
gpD	gpC	chr1	200001	300000	NA	0	NA	NA	NA
gpD	gpC	chr1	300001	400000	0.0021589669639246	1306	2114	979172	274588
gpD	gpC	chr1	400001	500000	0.0031997562090507	1149	2352	735056	367984
gpD	gpC	chr1	500001	600000	0.0026755479996098	765	1536	574088	160312
gpD	gpC	chr1	600001	700000	0.0021155738438142	864	946	447160	382280
gpD	gpC	chr1	700001	800000	0.0063433510542114	830	3508	553020	243780
gpD	gpC	chr1	800001	900000	0.0057457682195503	501	1556	270808	210152
gpD	gpC	chr1	900001	1000000	NA	0	NA	NA	NA
gpD	gpC	chr1	1000001	1100000	0.0	55	0	20868	31932
gpD	gpC	chr1	1100001	1200000	0.0032785883297971	590	1502	458124	108276
gpD	gpC	chr1	1200001	1300000	NA	0	NA	NA	NA
gpD	gpC	chr1	1300001	1400000	0.0	12	0	3744	7776
gpD	gpC	chr1	1400001	1500000	0.0064795187804435	1986	8290	1279416	627144
gpD	gpC	chr1	1500001	1600000	NA	0	NA	NA	NA
gpD	gpC	chr1	1600001	1700000	NA	0	NA	NA	NA
gpD	gpC	chr1	1700001	1800000	0.0059418969531329	1382	5870	987900	338820
gpD	gpC	chr1	1800001	1900000	0.006335696105531	1256	4630	730780	474980
gpD	gpC	chr1	1900001	2000000	0.0037266699410609	967	2428	651520	276800
gpD	gpC	chr1	2000001	2100000	NA	0	NA	NA	NA
gpD	gpC	chr1	2100001	2200000	0.0043220177362448	1018	3626	838960	138320
gpD	gpC	chr1	2200001	2300000	NA	0	NA	NA	NA
gpD	gpC	chr1	2300001	2400000	0.0028359311561685	939	1858	655164	246276
gpD	gpC	chr1	2400001	2500000	0.0110905189231369	578	4548	410080	144800
gpD	gpC	chr1	2500001	2600000	0.0048346733400777	526	1816	375620	129340
gpD	gpC	chr1	2600001	2700000	0.0010121587579044	766	630	622432	112928
gpD	gpC	chr1	2700001	2800000	NA	0	NA	NA	NA
gpD	gpC	chr1	2800001	2900000	NA	0	NA	NA	NA
gpD	gpC	chr1	2900001	3000000	0.0060747116932149	1301	6024	991652	257308
gpD	gpC	chr1	3000001	3100000	0.0033427088765591	1033	1564	467884	523796
gpD	gpC	chr1	3100001	3200000	0.0008105110485453	526	304	375072	129888
gpD	gpC	chr1	3200001	3300000	0.0067710913779742	852	2132	314868	503052
gpD	gpC	chr1	3300001	3400000	0.0045741040878804	525	1524	333180	170820
gpD	gpC	chr1	3400001	3500000	0.0031234293099734	127	174	55708	66212
gpD	gpC	chr1	3500001	3600000	0.0	159	0	45892	106748
gpD	gpC	chr1	3600001	3700000	0.0093380369371238	87	360	38552	44968
gpD	gpC	chr1	3700001	3800000	NA	0	NA	NA	NA
gpD	gpC	chr1	3800001	3900000	0.0016364963871195	344	260	158876	171364
gpD	gpC	chr1	3900001	4000000	0.0056575598881107	429	1076	190188	221652
gpD	gpC	chr1	4000001	4100000	NA	0	NA	NA	NA
gpD	gpC	chr1	4100001	4200000	NA	0	NA	NA	NA
gpD	gpC	chr1	4200001	4300000	0.0	17	0	4016	12304
gpD	gpC	chr1	4300001	4400000	0.0074921135646687	278	1330	177520	89360
gpD	gpC	chr1	4400001	4500000	0.0145563077333511	252	1746	119948	121972
gpD	gpC	chr1	4500001	4600000	0.0105007865757734	370	1602	152560	202640
gpD	gpC	chr1	4600001	4700000	0.0	64	0	27344	34096
gpD	gpC	chr1	4700001	4800000	0.0061159420289855	183	422	69000	106680
gpD	gpC	chr1	4800001	4900000	0.0050240436374075	1380	4200	835980	488820
gpD	gpC	chr1	4900001	5000000	0.0058088889730528	504	2454	422456	61384
gpD	gpC	chr1	5000001	5100000	NA	0	NA	NA	NA
gpD	gpC	chr1	5100001	5200000	0.003040034253907	249	284	93420	145620
gpD	gpC	chr1	5200001	5300000	0.0001767877662865	140	16	90504	43896
gpD	gpC	chr1	5300001	5400000	NA	0	NA	NA	NA
gpD	gpC	chr1	5400001	5500000	0.0049107142857142	118	264	53760	59520
gpD	gpC	chr1	5500001	5600000	0.0037039358889968	604	1418	382836	197004
gpD	gpC	chr1	5600001	5700000	NA	0	NA	NA	NA
gpD	gpC	chr1	5700001	5800000	0.0010904947916666	345	134	122880	208320
gpD	gpC	chr1	5800001	5900000	0.0	221	0	100904	111256
gpD	gpC	chr1	5900001	6000000	0.0050129189562938	585	2204	439664	121936
gpD	gpC	chr1	6000001	6100000	0.003493604926575	92	118	33776	54544
gpD	gpC	chr1	6100001	6200000	0.0	21	0	5024	15136
gpD	gpC	chr1	6200001	6300000	NA	0	NA	NA	NA
gpD	gpC	chr1	6300001	6400000	0.0021184476460662	624	914	431448	167592
gpD	gpC	chr1	6400001	6500000	0.0062608074842262	1277	5402	862828	363092
gpD	gpC	chr1	6500001	6600000	NA	0	NA	NA	NA
gpD	gpC	chr1	6600001	6700000	0.0	335	0	171056	150544
gpD	gpC	chr1	6700001	6800000	0.0089208021197945	943	5454	611380	293900
gpD	gpC	chr1	6800001	6900000	0.0036096483777815	356	680	188384	153376
gpD	gpC	chr1	6900001	7000000	NA	0	NA	NA	NA
gpD	gpC	chr1	7000001	7100000	NA	0	NA	NA	NA
gpD	gpC	chr1	7100001	7200000	0.0006923609508423	118	36	51996	61284
gpD	gpC	chr1	7200001	7300000	NA	0	NA	NA	NA
gpD	gpC	chr1	7300001	7400000	0.0064536947402387	66	160	24792	38568
gpD	gpC	chr1	7400001	7500000	NA	0	NA	NA	NA
gpD	gpC	chr1	7500001	7600000	0.0	87	0	47856	35664
gpD	gpC	chr1	7600001	7700000	NA	0	NA	NA	NA
gpD	gpC	chr1	7700001	7800000	0.0017976815195696	543	544	302612	218668
gpD	gpC	chr1	7800001	7900000	NA	0	NA	NA	NA
gpD	gpC	chr1	7900001	8000000	NA	0	NA	NA	NA
gpD	gpC	chr1	8000001	8100000	NA	0	NA	NA	NA
gpD	gpC	chr1	8100001	8200000	0.0211024978466838	104	1078	51084	48756
gpD	gpC	chr1	8200001	8300000	NA	0	NA	NA	NA
gpD	gpC	chr1	8300001	8400000	NA	0	NA	NA	NA
gpD	gpC	chr1	8400001	8500000	NA	0	NA	NA	NA
gpD	gpC	chr1	8500001	8600000	0.0043703848366647	918	3312	757828	123452
gpD	gpC	chr1	8600001	8700000	0.0013476171678259	433	396	293852	121828
gpD	gpC	chr1	8700001	8800000	0.0026910656620021	580	860	319576	237224
gpD	gpC	chr1	8800001	8900000	0.0060935027613594	1365	5530	907524	402876
gpD	gpC	chr1	8900001	9000000	NA	0	NA	NA	NA
gpD	gpC	chr1	9000001	9100000	NA	0	NA	NA	NA
gpD	gpC	chr1	9100001	9200000	NA	0	NA	NA	NA
gpD	gpC	chr1	9200001	9300000	0.0024262638664596	1692	2482	1022972	601348
gpD	gpC	chr1	9300001	9400000	NA	0	NA	NA	NA
gpD	gpC	chr1	9400001	9500000	0.0	158	0	70660	81020
gpD	gpC	chr1	9500001	9600000	NA	0	NA	NA	NA
gpD	gpC	chr1	9600001	9700000	NA	0	NA	NA	NA
gpD	gpC	chr1	9700001	9800000	0.0034240120625746	528	1308	382008	124872
gpD	gpC	chr1	9800001	9900000	NA	0	NA	NA	NA
gpD	gpC	chr1	9900001	10000000	0.0008212648177141	693	470	572288	92992
gpD	gpC	chr1	10000001	10100000	0.0111105014814001	116	810	72904	38456
gpD	gpC	chr1	10100001	10200000	NA	0	NA	NA	NA
gpD	gpC	chr1	10200001	10300000	0.0033474814745333	482	1142	341152	121568
gpD	gpC	chr1	10300001	10400000	0.0023291065295557	1110	1850	794296	271304
gpD	gpC	chr1	10400001	10500000	NA	0	NA	NA	NA
gpD	gpC	chr1	10500001	10600000	0.0041837444899853	336	1082	258620	63940
gpD	gpC	chr1	10600001	10700000	0.0035809091914611	229	518	144656	75184
gpD	gpC	chr1	10700001	10800000	NA	0	NA	NA	NA
gpD	gpC	chr1	10800001	10900000	0.0042236142748671	84	178	42144	38496
gpD	gpC	chr1	10900001	11000000	NA	0	NA	NA	NA
gpD	gpC	chr1	11000001	11100000	NA	0	NA	NA	NA
gpD	gpC	chr1	11100001	11200000	0.0049932782792394	82	208	41656	37064
gpD	gpC	chr1	11200001	11300000	0.0068348039712859	578	2426	354948	199932
gpD	gpC	chr1	11300001	11400000	NA	0	NA	NA	NA
gpD	gpC	chr1	11400001	11500000	NA	0	NA	NA	NA
gpD	gpC	chr1	11500001	11600000	NA	0	NA	NA	NA
gpD	gpC	chr1	11600001	11700000	NA	0	NA	NA	NA
gpD	gpC	chr1	11700001	11800000	0.0051913484298964	682	2044	393732	260988
gpD	gpC	chr1	11800001	11900000	NA	0	NA	NA	NA
gpD	gpC	chr1	11900001	12000000	0.003606993323526	452	1020	282784	151136
gpD	gpC	chr1	12000001	12100000	0.0047113264233879	1095	3820	810812	240388
gpD	gpC	chr1	12100001	12200000	0.0057317470075579	1723	8242	1437956	216124
gpD	gpC	chr1	12200001	12300000	0.0090485753138736	762	4578	505936	225584
gpD	gpC	chr1	12300001	12400000	0.0	472	0	220260	232860
gpD	gpC	chr1	12400001	12500000	0.0	13	0	3664	8816
gpD	gpC	chr1	12500001	12600000	NA	0	NA	NA	NA
gpD	gpC	chr1	12600001	12700000	0.0026906779661016	1404	2540	944000	403840
gpD	gpC	chr1	12700001	12800000	NA	0	NA	NA	NA
gpD	gpC	chr1	12800001	12900000	0.0	585	0	437132	124468
gpD	gpC	chr1	12900001	13000000	0.0110619469026548	132	530	47912	78808
gpD	gpC	chr1	13000001	13100000	0.0035311834657527	564	1088	308112	233328
gpD	gpC	chr1	13100001	13200000	0.0009876843360861	792	520	526484	233836
gpD	gpC	chr1	13200001	13300000	0.0005633400247271	1647	678	1203536	377584
