chromosome	start	end	ID_genes
chr6	132743948	132745081	GLEAN_10036944
chr6	132807778	132810139	GLEAN_10036945
chr6	132810908	132811400	GLEAN_10003010
chr6	132835861	132837023	GLEAN_10036946
chr6	132839520	132841160	GLEAN_10036947
chr6	132842588	132844871	GLEAN_10036948
chr6	132846808	132847702	GLEAN_10036949
chr6	132850063	132851170	GLEAN_10036950
chr6	132851781	132852899	GLEAN_10036951
chr6	132867295	132869001	GLEAN_10036952
chr6	132888411	132888748	GLEAN_10036953
chr6	132921586	132922801	GLEAN_10020384
chr6	132934776	132937076	GLEAN_10036954
chr6	132938165	132939028	GLEAN_10036955
chr6	132948175	132948797	GLEAN_10036956
chr6	132962674	132962943	GLEAN_10036957
chr6	133077930	133079788	GLEAN_10036958
chr6	133146115	133150026	GLEAN_10036959
chr6	133171260	133172456	GLEAN_10017797
chr6	133195049	133199280	GLEAN_10036960
chr6	133274094	133274423	GLEAN_10028236
chr6	133292029	133293342	GLEAN_10036961
chr6	133328335	133330374	GLEAN_10036962
chr6	133345164	133347528	GLEAN_10036010
chr6	133359629	133363718	GLEAN_10036963
chr6	133365981	133366274	GLEAN_10036964
chr6	133480815	133481942	GLEAN_10036966
chr6	133495251	133495645	GLEAN_10019125
chr6	133501019	133502053	GLEAN_10036967
chr6	133897985	133898568	GLEAN_10025745
chr6	133935460	133937053	GLEAN_10036968
chr6	133979152	133981445	GLEAN_10036969
chr6	134043485	134043889	GLEAN_10036970
chr6	134051056	134052108	GLEAN_10036971
chr6	134320121	134323415	GLEAN_10036972
chr6	134324886	134326148	GLEAN_10036973
chr6	134328678	134329265	GLEAN_10036974
chr6	134338556	134338911	GLEAN_10036975
chr6	134392362	134392665	GLEAN_10024808
chr6	134408916	134409329	GLEAN_10036976
chr6	134430490	134431095	GLEAN_10036977
chr6	134435260	134435619	GLEAN_10036978
chr6	134465864	134466418	GLEAN_10037491
chr6	134521591	134521825	GLEAN_10038152
chr6	134633990	134634655	GLEAN_10002423
chr6	134710457	134711506	GLEAN_10002422
chr6	134830168	134830987	GLEAN_10034333
chr6	134836537	134837137	GLEAN_10018893
chr6	134840413	134840616	GLEAN_10001508
chr6	134897297	134897635	GLEAN_10015699
chr6	134898912	134900415	GLEAN_10015700
chr6	134904118	134904950	GLEAN_10015701
chr6	134931016	134931516	GLEAN_10015702
chr6	135088172	135088363	GLEAN_10015703
chr6	135156278	135156580	GLEAN_10033727
chr6	135254427	135256540	GLEAN_10015704
chr6	136038964	136039390	GLEAN_10000915
chr6	136059967	136060582	GLEAN_10018124
chr6	136167291	136173612	GLEAN_10018123
chr6	136384564	136385436	GLEAN_10018122
chr6	136681644	136682382	GLEAN_10037960
chr6	136724249	136724960	GLEAN_10025878
chr6	136758371	136759165	GLEAN_10005737
chr6	136761748	136766811	GLEAN_10005738
chr6	136779396	136780625	GLEAN_10005739
chr6	137091459	137092028	GLEAN_10003082
chr6	137138614	137140356	GLEAN_10011758
chr6	137279742	137280378	GLEAN_10005710
chr6	137282707	137283693	GLEAN_10033018
chr6	137452360	137452650	GLEAN_10030623
chr6	137457775	137457969	GLEAN_10030624
chr6	137478708	137478962	GLEAN_10030625
chr6	137513839	137520024	GLEAN_10030626
chr6	137532665	137533871	GLEAN_10035441
chr6	137571576	137571860	GLEAN_10012791
chr6	137944113	137944721	GLEAN_10030627
chr6	138006832	138007107	GLEAN_10015967
chr6	138171853	138172281	GLEAN_10030628
chr6	138233508	138233729	GLEAN_10000225
chr6	138293098	138297351	GLEAN_10030629
chr6	138559715	138559918	GLEAN_10030630
chr6	138779870	138781874	GLEAN_10030631
chr6	138798347	138798983	GLEAN_10030632
chr6	139059071	139059773	GLEAN_10003147
chr6	139291249	139293506	GLEAN_10004908
chr6	139347479	139347778	GLEAN_10027488
chr6	139404524	139405012	GLEAN_10000720
chr6	139419286	139420062	GLEAN_10000719
chr6	139631944	139632715	GLEAN_10020810
chr6	139653295	139654508	GLEAN_10036551
chr6	139705781	139711130	GLEAN_10020809
chr6	139907729	139908490	GLEAN_10020808
chr6	139909359	139909788	GLEAN_10020807
chr6	140045611	140045844	GLEAN_10030947
chr6	140057988	140058425	GLEAN_10011617
chr6	140148787	140149107	GLEAN_10035460
chr6	140183432	140184874	GLEAN_10012592
chr6	140226506	140227973	GLEAN_10001458
chr6	140241887	140242222	GLEAN_10026381
chr6	140268897	140270103	GLEAN_10000319
chr6	140462314	140463359	GLEAN_10024752
chr6	140509947	140511203	GLEAN_10035459
chr6	140519986	140520438	GLEAN_10035458
chr6	140559520	140560157	GLEAN_10035457
chr6	140640898	140641251	GLEAN_10035456
chr6	140677417	140677859	GLEAN_10035455
chr6	140694544	140695171	GLEAN_10035454
chr6	140909678	140910356	GLEAN_10010533
chr6	140957603	140960152	GLEAN_10035453
chr6	140975482	140976650	GLEAN_10035452
chr6	141168296	141170115	GLEAN_10035451
chr6	141525893	141526159	GLEAN_10035450
chr6	141581113	141586967	GLEAN_10035449
chr6	141645541	141646492	GLEAN_10035448
chr6	141695388	141695750	GLEAN_10035447
chr6	141732506	141733108	GLEAN_10024751
chr6	141773191	141773574	GLEAN_10030415
chr6	141808388	141810033	GLEAN_10035446
chr6	142009158	142010336	GLEAN_10011307
chr6	142228750	142229157	GLEAN_10035444
chr6	142334796	142335590	GLEAN_10035442
chr6	142499890	142500774	GLEAN_10005241
chr6	142539056	142541941	GLEAN_10005242
chr6	142718243	142719903	GLEAN_10005243
chr6	142888990	142889226	GLEAN_10020586
chr6	142900841	142901395	GLEAN_10029691
chr6	142978193	142978923	GLEAN_10020585
chr6	142998308	142998739	GLEAN_10020584
chr6	143044280	143045038	GLEAN_10020583
chr6	143089930	143090698	GLEAN_10020582
chr6	143283507	143283894	GLEAN_10016189
chr6	143337713	143338336	GLEAN_10020581
chr6	143376239	143376472	GLEAN_10017231
chr6	143432210	143435765	GLEAN_10022303
chr6	143440348	143441103	GLEAN_10012459
chr6	143445993	143447604	GLEAN_10020580
chr6	143456852	143457163	GLEAN_10020579
chr6	143478403	143478855	GLEAN_10020578
chr6	143490535	143491404	GLEAN_10022447
chr6	143547726	143548655	GLEAN_10020577
chr6	143568499	143570912	GLEAN_10020576
chr6	143572185	143573275	GLEAN_10020575
chr6	143580319	143589943	GLEAN_10020574
chr6	143592274	143593876	GLEAN_10020573
chr6	143826488	143828759	GLEAN_10005713
chr6	143972781	143973041	GLEAN_10005714
chr6	143996875	143999885	GLEAN_10005715
chr6	144009868	144010101	GLEAN_10007574
chr6	144020188	144021226	GLEAN_10008138
chr6	144080476	144082224	GLEAN_10005716
chr6	144233783	144234016	GLEAN_10023597
chr6	144301997	144302665	GLEAN_10033538
chr6	144304371	144311380	GLEAN_10033537
chr6	144326167	144326585	GLEAN_10015930
chr6	144591615	144592077	GLEAN_10033536
chr6	144869355	144870696	GLEAN_10033534
chr6	144892527	144894704	GLEAN_10033533
chr6	144966216	144966457	GLEAN_10015835
chr6	145318007	145318177	GLEAN_10030867
chr6	145532185	145536475	GLEAN_10033532
chr6	145617731	145618166	GLEAN_10033531
chr6	145766849	145769311	GLEAN_10033530
chr6	145803697	145805191	GLEAN_10033529
chr6	145810793	145811320	GLEAN_10019309
chr6	145812664	145813019	GLEAN_10038585
chr6	145858513	145859297	GLEAN_10033528
chr6	145875432	145875884	GLEAN_10033527
chr6	145876593	145877027	GLEAN_10033526
chr6	145878471	145878974	GLEAN_10033525
chr6	146211638	146212635	GLEAN_10022556
chr6	146546832	146548986	GLEAN_10038517
chr6	146577850	146579316	GLEAN_10038518
chr6	146626707	146627069	GLEAN_10038519
chr6	146761733	146762699	GLEAN_10000237
chr6	146772360	146772785	GLEAN_10038520
chr6	146945351	146945843	GLEAN_10038521
chr6	147214459	147214801	GLEAN_10038526
chr6	147218707	147221363	GLEAN_10038527
chr6	147314887	147315214	GLEAN_10034554
chr6	147331745	147332085	GLEAN_10017562
chr6	147458707	147460447	GLEAN_10038528
