pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
gpE	gpC	chr1	1	100000	-0.025333354505801	3
gpE	gpC	chr1	100001	200000	-0.0139866433788833	12
gpE	gpC	chr1	300001	400000	0.0023387778085271	10
gpE	gpC	chr1	400001	500000	0.0851764177212929	9
gpE	gpC	chr1	500001	600000	0.0342888255265715	10
gpE	gpC	chr1	600001	700000	0.0024932979412552	10
gpE	gpC	chr1	700001	800000	0.0029067495873649	14
gpE	gpC	chr1	800001	900000	0.0319152206364224	9
gpE	gpC	chr1	1100001	1200000	0.0237790582461559	11
gpE	gpC	chr1	1400001	1500000	0.0111012819246009	38
gpE	gpC	chr1	1700001	1800000	0.0453905675904968	21
gpE	gpC	chr1	1800001	1900000	-0.0049353669071532	25
gpE	gpC	chr1	1900001	2000000	0.0049835665574914	12
gpE	gpC	chr1	2100001	2200000	0.0464348801763378	19
gpE	gpC	chr1	2300001	2400000	0.0178181486035077	13
gpE	gpC	chr1	2400001	2500000	0.0259058584770726	17
gpE	gpC	chr1	2500001	2600000	0.0110912967957687	11
gpE	gpC	chr1	2600001	2700000	0.0208272105962145	3
gpE	gpC	chr1	2900001	3000000	-0.0098896970273241	24
gpE	gpC	chr1	3000001	3100000	-0.0068647289022532	10
gpE	gpC	chr1	3100001	3200000	-0.0257355933433074	3
gpE	gpC	chr1	3200001	3300000	-0.0329047393493312	12
gpE	gpC	chr1	3300001	3400000	0.014032363481799	9
gpE	gpC	chr1	3400001	3500000	0.0277059750164322	3
gpE	gpC	chr1	3600001	3700000	0.16712521720106	6
gpE	gpC	chr1	3800001	3900000	-0.0479092075803422	2
gpE	gpC	chr1	3900001	4000000	0.0727382748479771	9
gpE	gpC	chr1	4300001	4400000	0.0255157124032202	6
gpE	gpC	chr1	4400001	4500000	-0.0186667195350272	7
gpE	gpC	chr1	4500001	4600000	-0.0034233082609246	13
gpE	gpC	chr1	4700001	4800000	0.0010106101685749	2
gpE	gpC	chr1	4800001	4900000	0.0162205893669477	20
gpE	gpC	chr1	4900001	5000000	0.0827487515946616	7
gpE	gpC	chr1	5100001	5200000	-0.0487308947986247	2
gpE	gpC	chr1	5200001	5300000	-0.0345487681757987	1
gpE	gpC	chr1	5400001	5500000	0.0880165705326448	1
gpE	gpC	chr1	5500001	5600000	-0.0214151910099953	10
gpE	gpC	chr1	5700001	5800000	0.0172617882794325	1
gpE	gpC	chr1	5900001	6000000	-0.0032212742739547	11
gpE	gpC	chr1	6000001	6100000	0.0069867372910098	1
gpE	gpC	chr1	6300001	6400000	-0.0373602998039613	3
gpE	gpC	chr1	6400001	6500000	0.0008407947135769	30
gpE	gpC	chr1	6700001	6800000	0.0053224658840061	24
gpE	gpC	chr1	6800001	6900000	0.0123414240932831	4
gpE	gpC	chr1	7100001	7200000	0.0049498710008151	1
gpE	gpC	chr1	7300001	7400000	-0.0101372319150403	1
gpE	gpC	chr1	7700001	7800000	0.1137645055457655	3
gpE	gpC	chr1	8100001	8200000	-0.0133970238629966	6
gpE	gpC	chr1	8500001	8600000	-0.011805109946072	13
gpE	gpC	chr1	8600001	8700000	0.0344566568359998	3
gpE	gpC	chr1	8700001	8800000	0.0422192400013109	4
gpE	gpC	chr1	8800001	8900000	0.0242828024208088	26
gpE	gpC	chr1	9200001	9300000	0.06169108071325	19
gpE	gpC	chr1	9700001	9800000	0.043232595808417	5
gpE	gpC	chr1	9900001	10000000	-0.0069993798017897	1
gpE	gpC	chr1	10000001	10100000	0.0403161994055632	3
gpE	gpC	chr1	10200001	10300000	0.0083919766635578	9
gpE	gpC	chr1	10300001	10400000	0.0304727411749826	10
gpE	gpC	chr1	10500001	10600000	-0.0098134996466089	5
gpE	gpC	chr1	10600001	10700000	0.0242647374672869	4
gpE	gpC	chr1	10800001	10900000	0.1678008966883205	1
gpE	gpC	chr1	11100001	11200000	-0.0350577169730654	1
gpE	gpC	chr1	11200001	11300000	0.0519122344839996	12
gpE	gpC	chr1	11700001	11800000	-0.0046187223323361	11
gpE	gpC	chr1	11900001	12000000	0.0388271401049569	4
gpE	gpC	chr1	12000001	12100000	0.0669009005346785	16
gpE	gpC	chr1	12100001	12200000	-0.0031620028290311	29
gpE	gpC	chr1	12200001	12300000	0.0012482884635185	19
gpE	gpC	chr1	12600001	12700000	-0.0135920423273008	15
gpE	gpC	chr1	12900001	13000000	0.0098054118717079	5
gpE	gpC	chr1	13000001	13100000	0.1094509940992603	5
gpE	gpC	chr1	13100001	13200000	-0.0043060485861782	4
gpE	gpC	chr1	13200001	13300000	0.0090641426237074	3
gpE	gpC	chr1	13400001	13500000	0.0429593511755835	43
gpE	gpC	chr1	13500001	13600000	-0.0066555607538677	9
gpE	gpC	chr1	13600001	13700000	-0.0377421532093106	2
gpE	gpC	chr1	14200001	14300000	0.086535123976092	4
gpE	gpC	chr1	14400001	14500000	0.0062555985474335	10
gpE	gpC	chr1	14500001	14600000	0.0237426401429028	12
gpE	gpC	chr1	14600001	14700000	-0.0376651413407072	2
gpE	gpC	chr1	14900001	15000000	-0.0388327984079832	7
gpE	gpC	chr1	15300001	15400000	0.0333099376530808	11
gpE	gpC	chr1	15400001	15500000	-0.0475554448043857	1
gpE	gpC	chr1	15500001	15600000	0.0032126900946183	4
gpE	gpC	chr1	15600001	15700000	-0.0019517343344464	33
gpE	gpC	chr1	16100001	16200000	-0.0322596467778673	1
gpE	gpC	chr1	16600001	16700000	-0.0055419960898174	7
gpE	gpC	chr1	16900001	17000000	-0.00523593948865	2
gpE	gpC	chr1	17000001	17100000	-0.0374682557340664	3
gpE	gpC	chr1	17700001	17800000	0.0253213043114549	9
gpE	gpC	chr1	17800001	17900000	-0.0119298464818728	4
gpE	gpC	chr1	18000001	18100000	0.0450212307340594	5
gpE	gpC	chr1	18100001	18200000	0.0094905597188227	3
gpE	gpC	chr1	18300001	18400000	-0.0340346697378266	3
gpE	gpC	chr1	18700001	18800000	-0.0312820028414983	6
gpE	gpC	chr1	18800001	18900000	0.0063068884750033	2
gpE	gpC	chr1	18900001	19000000	0.0140597132405571	10
gpE	gpC	chr1	19000001	19100000	0.0056953079285171	31
gpE	gpC	chr1	19100001	19200000	0.0336427748122628	25
gpE	gpC	chr1	19200001	19300000	0.0201397568441394	16
gpE	gpC	chr1	19300001	19400000	0.0212765925417567	6
gpE	gpC	chr1	19400001	19500000	0.0206529545092505	14
gpE	gpC	chr1	19500001	19600000	0.045704990674425	12
gpE	gpC	chr1	19600001	19700000	0.2091996641596168	14
gpE	gpC	chr1	19800001	19900000	-0.010923882263228	5
gpE	gpC	chr1	20000001	20100000	0.0388066084419354	12
gpE	gpC	chr1	20100001	20200000	0.1091083886753301	7
gpE	gpC	chr1	20400001	20500000	0.1265944618484403	2
gpE	gpC	chr1	21000001	21100000	0.1225887401133223	14
gpE	gpC	chr1	21300001	21400000	0.0294036667326721	12
gpE	gpC	chr1	21400001	21500000	-0.0228140559602671	3
gpE	gpC	chr1	21600001	21700000	0.0003195706241154	2
gpE	gpC	chr1	21900001	22000000	0.0027715304683418	13
gpE	gpC	chr1	22000001	22100000	-0.0027913329810928	26
gpE	gpC	chr1	22100001	22200000	0.024778360533532	2
gpE	gpC	chr1	22500001	22600000	0.0419398989942923	8
gpE	gpC	chr1	22600001	22700000	-0.0604457439588728	3
gpE	gpC	chr1	22800001	22900000	-0.0100187134227604	19
gpE	gpC	chr1	22900001	23000000	-0.0533350262481332	3
gpE	gpC	chr1	23300001	23400000	-0.0287552693300464	4
gpE	gpC	chr1	23400001	23500000	-0.0052990319934046	14
gpE	gpC	chr1	23500001	23600000	-0.0289705756101193	8
gpE	gpC	chr1	23800001	23900000	-0.0035152108972967	27
gpE	gpC	chr1	24300001	24400000	0.0144334147148356	38
gpE	gpC	chr1	24400001	24500000	0.0074313298220829	11
gpE	gpC	chr1	24700001	24800000	0.0088999997358147	4
gpE	gpC	chr1	25100001	25200000	-0.0008154316296773	8
gpE	gpC	chr1	25200001	25300000	-0.0382933601474307	8
gpE	gpC	chr1	25400001	25500000	-0.028114709409086	14
gpE	gpC	chr1	25500001	25600000	0.0261004887458234	4
gpE	gpC	chr1	25700001	25800000	0.0089681552269194	10
gpE	gpC	chr1	25800001	25900000	-0.0106098842293622	5
gpE	gpC	chr1	26000001	26100000	0.1025831274272756	12
gpE	gpC	chr1	26200001	26300000	-0.0053171124323824	9
gpE	gpC	chr1	26300001	26400000	-0.0297503863427616	1
gpE	gpC	chr1	26400001	26500000	0.0045051156598142	6
gpE	gpC	chr1	26700001	26800000	0.0424879574718127	2
gpE	gpC	chr1	26900001	27000000	-0.0183517383605294	11
gpE	gpC	chr1	27000001	27100000	0.0181695560410032	18
gpE	gpC	chr1	27100001	27200000	-0.043542384417264	2
gpE	gpC	chr1	27400001	27500000	-0.038133535105465	2
gpE	gpC	chr1	27700001	27800000	0.0419787845415713	11
gpE	gpC	chr1	27800001	27900000	0.0162531892804582	15
gpE	gpC	chr1	27900001	28000000	-0.0029225685715975	10
gpE	gpC	chr1	28200001	28300000	0.0197922020027339	14
gpE	gpC	chr1	28900001	29000000	0.0048672931781363	15
gpE	gpC	chr1	29100001	29200000	-0.0209118413481628	8
gpE	gpC	chr1	29400001	29500000	-0.0332254367861931	15
gpE	gpC	chr1	29500001	29600000	0.0081914080030878	18
gpE	gpC	chr1	29600001	29700000	-0.0118049222538705	5
