Contig_name	Status	BiAllelic_SNP	TriAllelic_SNP	QuadriAllelic_SNP	nN	nS	fixN	fixS	polymN0.0	polymS0.0	polymN0.2	polymS0.2	MK_nN	MK_nS	GCalfreq<=0.125	GCalfreq<=0.25	GCalfreq<=0.375	GCalfreq<=0.5	GCalfreq<=0.625	GCalfreq<=0.75	GCalfreq<=0.875	GCalfreq<=1	Pearl_millet_nb_sequence	Pearl_millet_nb_complete_site	Pearl_millet_GC3	Pearl_millet_piN	Pearl_millet_piS	Pearl_millet_Fit	Pearl_millet_WeirCockerham84_Fit	H(Sa-21-28423-02)	H(Sa-21-28423-03)	H(Sa-21-28425-02)	H(Sa-21-30147-01)	H(Sa-21-30147-02)	H(Sa-21-30147-03)	H(Sa-21-30147-04)	H(Sa-21-30218-01)	H(Sa-21-30218-02)	H(Sa-21-30218-03)	H(Sa-21-30507-01)	H(Sa-21-30507-02)	H(Sa-21-30515-01)	H(Sa-21-30515-02)	H(Sa-21-30529-02)	H(Sa-21-30529-03)	H(Sa-21-82410-01)	H(Sa-21-82410-02)	H(Sa-21-82410-03)	H(Sa-21-82410-04)	H(Sa-24-60424-01)	H(Sa-24-60424-03)	H(Sa-6-3189-01)	H(Sa-6-3189-02)	H(Sa-6-3189-03)	H(Sa-6-3189-04)	H(Sa-6-3385-01)	H(Sa-6-4253-01)	H(Sa-6-4253-02)	H(Sa-6-51263-02)	H(Sa-8-11559-01)	H(Sa-8-11559-03)	H(Sa-8-12129-01)	H(Sa-8-12129-02)	H(Sa-8-12129-03)	H(Sa-8-12129-04)	H(Sa-8-7085-01)	H(Sa-8-7085-02)	H(Sa-8-7085-03)	H(Sa-8-7085-04)	H(Sa-8-7085-05)	H(Sa-8-7085-06)	H(So-10-20006-01)	H(So-10-20006-02)	H(So-10-20006-03)	H(So-10-20110-02)	H(So-10-20110-03)	H(So-10-20117-01)	H(So-10-20117-03)	H(So-10-20279-01)	H(So-10-20279-02)	H(So-10-20279-03)	H(So-10-20302-01)	H(So-10-20302-02)	H(So-10-20302-03)	H(So-10-20327-01)	H(So-10-20327-02)	H(So-10-20327-03)	H(So-10-20333-01)	H(So-10-20333-02)	H(So-10-20333-03)	H(So-10-20333-04)	H(So-10-20333-05)	H(So-10-20347-01)	H(So-10-20347-02)	H(So-10-20347-03)	H(So-10-20363-01)	H(So-10-20363-02)	H(So-10-20363-03)	H(So-10-56965-01)	H(So-10-56965-02)	H(So-10-56965-03)	H(So-21-1061629-01)	H(So-21-1061629-02)	H(So-21-1061629-03)	H(So-21-28371-01)	H(So-21-28371-02)	H(So-21-28371-03)	H(So-21-28371-04)	H(So-21-28423-01)	H(So-21-28423-02)	H(So-21-28423-03)	H(So-21-28425-01)	H(So-21-28425-02)	H(So-21-28425-03)	H(So-21-28449-01)	H(So-21-28449-02)	H(So-21-28449-04)	H(So-21-29822-01)	H(So-21-29822-02)	H(So-21-30218-01)	H(So-21-30218-02)	H(So-21-30218-03)	H(So-21-30507-01)	H(So-21-30507-02)	H(So-21-30522-01)	H(So-21-30522-02)	H(So-21-30522-03)	H(So-21-30529-01)	H(So-21-30529-02)	H(So-21-30529-03)	H(So-6-3189-01)	H(So-6-3189-02)	H(So-6-3189-03)	H(So-6-3385-02)	H(So-6-4253-01)	H(So-6-4253-02)	H(So-6-4452-01)	H(So-6-51263-01)	H(So-6-51263-02)	H(So-8-11559-01)	H(So-8-11559-02)	H(So-8-11559-03)	H(So-8-6685-01)	H(So-8-6685-02)	H(So-8-6685-03)	H(So-8-6858-02)	H(So-8-6858-03)	H(So-8-7024-01)	H(So-8-7024-02)	H(So-8-7024-03)	H(So-8-7291-01)	H(So-8-7539-01)	H(So-8-7539-02)	H(So-8-7539-03)	H(So-8-7539-04)	
CDS_1000_chr2_244263702_244263978	OK	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	0	0	0	0	0	200	92	0.380435	0	0.00427136	0.137255	0.142182	0	-999	0	-999	0	0	-999	0	0	0	0	0	0.00362319	0	0.00362319	0	0.00362319	0.00362319	0	0.00362319	0.00362319	0	-999	0	-999	0	0.00362319	0.00362319	0.00362319	0.00362319	-999	0	0.00362319	0	0	0	0.00362319	0.00362319	-999	0	-999	-999	0	-999	0	-999	0	-999	0	0	0	0.00362319	0	0	0	-999	-999	0	-999	-999	0	0	0	0.00362319	0	-999	0	0	0	0	0	0	0.00362319	0.00362319	0	0	0	0	0	0	-999	0	0.00362319	0	0	0.00362319	0	0	0	0.00362319	0	0	0	0	-999	-999	0	0	0	0	0	0	0	0	-999	0	0	0	0	0	-999	0	0	-999	0	0.00362319	0	0	0	0	-999	0.00362319	0	-999	0	-999	
CDS_1001_chr2_244264597_244264811	OK	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	250	71	0.478873	0.00131939	0	0.266862	0.270588	0	0	0.00469484	0	0.00469484	0.00469484	0.00469484	0	0.00469484	0	0.00469484	0	0	0.00469484	0.00469484	0.00469484	0	0	0	0	0.00469484	0.00469484	0	0.00469484	0.00469484	0.00469484	0	0.00469484	0.00469484	0.00469484	0	0	0.00469484	0.00469484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00469484	0	0	0	0	0	0	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00469484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CDS_1002_chr2_244270503_244270606	OK	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	1	218	34	0.529412	0	0.0068803	0.119192	0.123732	0	0	0	0	0	0	0	0	0	0	0	0	0	-999	0	0	0	0	0	0	0	0	-999	0	0	0	0	0	0	0	0	0	0	0	-999	0	-999	0	0	-999	0	0	-999	0.00980392	0	0	0	0	0	0	0.00980392	0	0	0	0	0	0	0	-999	0	0	0	0.00980392	0	-999	-999	0	0.00980392	0	0	0	0	-999	0.00980392	0.00980392	0.00980392	0.00980392	0	0	0	0.00980392	-999	0	0	0	0	0	-999	0	0	-999	-999	0.00980392	0	0.00980392	0	0	0	0	0.00980392	0	0	0	0	0.00980392	0	0	0	0	0.00980392	0	0	-999	0	0	0.00980392	0.00980392	0	-999	0	0	0	0	0	0	-999	
CDS_1003_chr2_244772786_244773205	OK	3	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	124	139	0.417266	0.00289049	0	0.0961592	0.104208	0	-999	0.00479616	-999	0.00239808	0.00479616	-999	-999	-999	0	-999	0	-999	0.00239808	0.00479616	0.00479616	-999	0	-999	-999	-999	0.00479616	-999	-999	-999	-999	0	-999	0.00239808	-999	0	0	0.00479616	0.00479616	-999	0	0	0	-999	-999	-999	0	-999	-999	0.00239808	0	0.00239808	0	-999	0	-999	-999	0	-999	-999	-999	-999	0.00719424	-999	0	0.00239808	-999	-999	-999	-999	-999	0.00479616	0.00479616	0	-999	-999	-999	-999	-999	0	-999	0.00479616	-999	-999	0	0	0.00479616	0.00239808	-999	-999	-999	0.00479616	0.00239808	-999	-999	-999	0.00479616	-999	0.00479616	0.00239808	0	-999	-999	-999	0.00479616	-999	0	0	-999	0	0	0.00239808	0.00239808	0.00239808	0	0	-999	-999	-999	0.00239808	0.00479616	-999	-999	0.00479616	0	-999	0.00239808	-999	0.00239808	0	-999	
CDS_1004_chr2_245300292_245300390	OK	2	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	0	0	0	0	0	240	33	0.545455	0.00527341	0.00643064	-0.00943156	-0.00524766	0	0	0.020202	0.010101	0.010101	0	0.010101	0.010101	0.010101	0	0.010101	-999	-999	0.010101	0.010101	0.020202	0.010101	0.010101	0.010101	0.010101	0	0.010101	-999	0.010101	-999	0.010101	0.010101	0.010101	0.010101	0.020202	0.010101	0	0.010101	0	0.010101	0.010101	0.020202	0	0.010101	0.010101	0.010101	0.010101	0.010101	0.010101	0	0	0	0.010101	0	0.010101	0	0	0	0	0	0	0	0	0.010101	-999	0	0	0.010101	0	0	0.010101	0.010101	0	0.010101	0	0	0.010101	-999	0.010101	0.020202	0.010101	0	0.010101	0	0	0.010101	0.010101	0	0	0.010101	0	0	0	0	0	0	0.010101	0	0	0.010101	0	0.010101	0.010101	0	0.010101	0	0	0.010101	0	0.010101	0.010101	0.010101	0	0	0.010101	0	0	0.010101	0	0	0.010101	0	0	0	0	0.010101	0	0	0	0	0.010101	
CDS_1005_chr2_245300508_245300641	OK	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	224	44	0.409091	0	0.00764003	-0.11746	-0.113036	0.00757576	0	0.00757576	-999	0.00757576	-999	0	0.00757576	0.00757576	0	-999	-999	-999	0	0.00757576	0.00757576	0	0	0	0.00757576	0.00757576	0.00757576	-999	0	-999	-999	0.00757576	0.00757576	0.00757576	0.00757576	0.00757576	0	0.00757576	0.00757576	0	0	0	0	-999	0	-999	0	0	0	0.00757576	-999	0	0	0	0	0	0.00757576	0	0	0	0.00757576	0	0	0	0	0	0.00757576	0	0	0	0	0	0	0	-999	0	0.00757576	0.00757576	0	0.00757576	0.00757576	0	0	-999	0	0	0	0	0	0	0.00757576	0	0	0.00757576	0	0	0	-999	0	0	0	0	0.00757576	0	0	0.00757576	0	0.00757576	0	0.00757576	0.00757576	0.00757576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CDS_1006_chr2_246264547_246264676	OK	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	0	0	0	0	0	208	43	0.395349	0	0.00759734	0.152174	0.156889	0.00775194	-999	0	0	0	-999	0	-999	0	0	0	0.00775194	-999	0	0	0	0	-999	0	0	0	0	0	-999	0	-999	-999	0	-999	0.00775194	0.00775194	0	0.00775194	0	0	0	-999	0	0	-999	0	0	0	0	0	0	0.00775194	0	0	-999	0	0	0	0	0	0.00775194	0	0	0	0	0.00775194	0.00775194	0	0.00775194	0.00775194	0	0	0	-999	0	0	0	0	0	0	0	0	0	0	-999	-999	-999	0	0	0	0	0	-999	0	0	-999	-999	0	0	0	0	0	0	0.00775194	0	0.00775194	0	0	0	0	0	0	-999	0	0.00775194	0	0	0	0	0	0	0.00775194	0.00775194	0	-999	-999	0.00775194	0	0	0	0.00775194	
CDS_1007_chr2_246265349_246265461	OK	2	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	148	37	0.459459	0.00981559	0	0.223921	0.230372	0.00900901	0	0.00900901	0	0.00900901	-999	-999	-999	-999	-999	-999	0.018018	-999	0.018018	-999	0.018018	-999	0	0.00900901	-999	0.00900901	-999	0.018018	-999	-999	-999	-999	0.00900901	-999	0.018018	-999	0	0.018018	0.018018	0.00900901	0	0	-999	0	0	0	-999	0	0	0.018018	-999	0.018018	0	0.00900901	0.00900901	-999	0	0.00900901	-999	0	-999	0	0	0	-999	0	-999	-999	-999	-999	-999	0.00900901	-999	0	-999	0.00900901	0	0	0.018018	0.018018	-999	-999	0	-999	0.00900901	0	-999	0	0	0	0	-999	0	0.018018	0.00900901	0.00900901	-999	-999	-999	0	-999	-999	0	0	0.00900901	0	0.00900901	-999	0.00900901	-999	0.00900901	-999	0	0	0	-999	-999	-999	-999	0	-999	0.00900901	-999	0.00900901	0.00900901	-999	-999	0.00900901	0	0	0	
CDS_1008_chr2_247063422_247065506	OK	8	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	0	0	1	0	1	0	72	694	0.488473	0.000590566	0.00324679	0.144733	0.158494	0.000960615	-999	-999	-999	-999	0.00384246	-999	-999	-999	-999	-999	-999	0.00192123	-999	-999	0.00288184	-999	0.000480307	-999	0	0.000960615	-999	-999	-999	-999	-999	0.000480307	0.000960615	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	-999	0.000960615	-999	0.000960615	0	-999	0	-999	-999	-999	0	-999	-999	0.000480307	0.000480307	-999	0.000960615	0	0.00336215	-999	-999	-999	-999	0.00240154	-999	-999	-999	-999	0.00240154	-999	-999	0.000480307	0.000480307	-999	-999	-999	-999	-999	-999	0.000960615	-999	0.000960615	-999	-999	-999	-999	-999	-999	-999	0	0.000960615	-999	0.00144092	-999	-999	-999	0.00192123	-999	-999	-999	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.00144092	-999	0	-999	-999	-999	-999	0.00192123	-999	-999	-999	0.000480307	0.000960615	
CDS_1009_chr2_247270440_247272059	OK	6	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	0	0	0	0	1	0	0	110	539	0.491651	0.0011033	0.00378605	-0.1295	-0.120469	-999	0.00371058	0.00371058	-999	-999	0.00309215	-999	0	-999	-999	-999	-999	-999	-999	0.00371058	0.000618429	0	-999	-999	0	0	-999	-999	0	-999	-999	0	0	-999	-999	-999	0	0.00371058	0.00371058	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.00371058	0	0.00371058	-999	-999	-999	0.00247372	-999	0.00247372	0	-999	-999	0.00371058	0	0.00371058	0.00371058	0.00309215	0.00371058	-999	0.00371058	-999	0	0	-999	-999	-999	0	0.00371058	0.00123686	-999	-999	0.000618429	-999	0.00371058	-999	0	0.00185529	-999	-999	-999	0.00123686	-999	0.000618429	0.00247372	0.00123686	-999	0.00371058	-999	0.00371058	-999	0	-999	-999	-999	0.00247372	0.00309215	-999	-999	-999	-999	0.00185529	0.00247372	0.00185529	0	-999	-999	-999	-999	-999	-999	0.00371058	0.00247372	0.00185529	0.00371058	-999	-999	-999	-999	-999	-999	0.00123686	-999	
