chromosome	start	end	ID_genes
chr6	132743948	132745081	Pgl_GLEAN_10036944
chr6	132807778	132810139	Pgl_GLEAN_10036945
chr6	132810908	132811400	Pgl_GLEAN_10003010
chr6	132835861	132837023	Pgl_GLEAN_10036946
chr6	132839520	132841160	Pgl_GLEAN_10036947
chr6	132842588	132844871	Pgl_GLEAN_10036948
chr6	132846808	132847702	Pgl_GLEAN_10036949
chr6	132850063	132851170	Pgl_GLEAN_10036950
chr6	132851781	132852899	Pgl_GLEAN_10036951
chr6	132867295	132869001	Pgl_GLEAN_10036952
chr6	132888411	132888748	Pgl_GLEAN_10036953
chr6	132921586	132922801	Pgl_GLEAN_10020384
chr6	132934776	132937076	Pgl_GLEAN_10036954
chr6	132938165	132939028	Pgl_GLEAN_10036955
chr6	132948175	132948797	Pgl_GLEAN_10036956
chr6	132962674	132962943	Pgl_GLEAN_10036957
chr6	133077930	133079788	Pgl_GLEAN_10036958
chr6	133146115	133150026	Pgl_GLEAN_10036959
chr6	133171260	133172456	Pgl_GLEAN_10017797
chr6	133195049	133199280	Pgl_GLEAN_10036960
chr6	133274094	133274423	Pgl_GLEAN_10028236
chr6	133292029	133293342	Pgl_GLEAN_10036961
chr6	133328335	133330374	Pgl_GLEAN_10036962
chr6	133345164	133347528	Pgl_GLEAN_10036010
chr6	133359629	133363718	Pgl_GLEAN_10036963
chr6	133365981	133366274	Pgl_GLEAN_10036964
chr6	133480815	133481942	Pgl_GLEAN_10036966
chr6	133495251	133495645	Pgl_GLEAN_10019125
chr6	133501019	133502053	Pgl_GLEAN_10036967
chr6	133897985	133898568	Pgl_GLEAN_10025745
chr6	133935460	133937053	Pgl_GLEAN_10036968
chr6	133979152	133981445	Pgl_GLEAN_10036969
chr6	134043485	134043889	Pgl_GLEAN_10036970
chr6	134051056	134052108	Pgl_GLEAN_10036971
chr6	134320121	134323415	Pgl_GLEAN_10036972
chr6	134324886	134326148	Pgl_GLEAN_10036973
chr6	134328678	134329265	Pgl_GLEAN_10036974
chr6	134338556	134338911	Pgl_GLEAN_10036975
chr6	134392362	134392665	Pgl_GLEAN_10024808
chr6	134408916	134409329	Pgl_GLEAN_10036976
chr6	134430490	134431095	Pgl_GLEAN_10036977
chr6	134435260	134435619	Pgl_GLEAN_10036978
chr6	134465864	134466418	Pgl_GLEAN_10037491
chr6	134521591	134521825	Pgl_GLEAN_10038152
chr6	134633990	134634655	Pgl_GLEAN_10002423
chr6	134710457	134711506	Pgl_GLEAN_10002422
chr6	134830168	134830987	Pgl_GLEAN_10034333
chr6	134836537	134837137	Pgl_GLEAN_10018893
chr6	134840413	134840616	Pgl_GLEAN_10001508
chr6	134897297	134897635	Pgl_GLEAN_10015699
chr6	134898912	134900415	Pgl_GLEAN_10015700
chr6	134904118	134904950	Pgl_GLEAN_10015701
chr6	134931016	134931516	Pgl_GLEAN_10015702
chr6	135088172	135088363	Pgl_GLEAN_10015703
chr6	135156278	135156580	Pgl_GLEAN_10033727
chr6	135254427	135256540	Pgl_GLEAN_10015704
chr6	136038964	136039390	Pgl_GLEAN_10000915
chr6	136059967	136060582	Pgl_GLEAN_10018124
chr6	136167291	136173612	Pgl_GLEAN_10018123
chr6	136384564	136385436	Pgl_GLEAN_10018122
chr6	136681644	136682382	Pgl_GLEAN_10037960
chr6	136724249	136724960	Pgl_GLEAN_10025878
chr6	136758371	136759165	Pgl_GLEAN_10005737
chr6	136761748	136766811	Pgl_GLEAN_10005738
chr6	136779396	136780625	Pgl_GLEAN_10005739
chr6	137091459	137092028	Pgl_GLEAN_10003082
chr6	137138614	137140356	Pgl_GLEAN_10011758
chr6	137279742	137280378	Pgl_GLEAN_10005710
chr6	137282707	137283693	Pgl_GLEAN_10033018
chr6	137452360	137452650	Pgl_GLEAN_10030623
chr6	137457775	137457969	Pgl_GLEAN_10030624
chr6	137478708	137478962	Pgl_GLEAN_10030625
chr6	137513839	137520024	Pgl_GLEAN_10030626
chr6	137532665	137533871	Pgl_GLEAN_10035441
chr6	137571576	137571860	Pgl_GLEAN_10012791
chr6	137944113	137944721	Pgl_GLEAN_10030627
chr6	138006832	138007107	Pgl_GLEAN_10015967
chr6	138171853	138172281	Pgl_GLEAN_10030628
chr6	138233508	138233729	Pgl_GLEAN_10000225
chr6	138293098	138297351	Pgl_GLEAN_10030629
chr6	138559715	138559918	Pgl_GLEAN_10030630
chr6	138779870	138781874	Pgl_GLEAN_10030631
chr6	138798347	138798983	Pgl_GLEAN_10030632
chr6	139059071	139059773	Pgl_GLEAN_10003147
chr6	139291249	139293506	Pgl_GLEAN_10004908
chr6	139347479	139347778	Pgl_GLEAN_10027488
chr6	139404524	139405012	Pgl_GLEAN_10000720
