pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
gpA	gpB	chr1	1	100000	-0.0259241902225662	3
gpA	gpB	chr1	100001	200000	-0.0034824235259658	12
gpA	gpB	chr1	300001	400000	-0.0110943860175376	10
gpA	gpB	chr1	400001	500000	-0.0071081582557229	9
gpA	gpB	chr1	500001	600000	0.0583648104104113	10
gpA	gpB	chr1	600001	700000	0.0256913814934448	10
gpA	gpB	chr1	700001	800000	-0.0026529254258301	14
gpA	gpB	chr1	800001	900000	0.0081031340811936	9
gpA	gpB	chr1	1100001	1200000	0.0026579985662904	11
gpA	gpB	chr1	1400001	1500000	-0.0072922526790713	38
gpA	gpB	chr1	1700001	1800000	-0.0135928845155457	21
gpA	gpB	chr1	1800001	1900000	-0.0157773522237853	25
gpA	gpB	chr1	1900001	2000000	0.0021046965064225	12
gpA	gpB	chr1	2100001	2200000	-0.0118114510421984	19
gpA	gpB	chr1	2300001	2400000	-0.010762465250265	13
gpA	gpB	chr1	2400001	2500000	-0.00787445875566	17
gpA	gpB	chr1	2500001	2600000	0.0428569235111798	11
gpA	gpB	chr1	2600001	2700000	-0.009796712084213	3
gpA	gpB	chr1	2900001	3000000	-0.0042741671615065	24
gpA	gpB	chr1	3000001	3100000	0.0117834200424451	10
gpA	gpB	chr1	3100001	3200000	0.0036127871399167	3
gpA	gpB	chr1	3200001	3300000	-0.0101566904699682	12
gpA	gpB	chr1	3300001	3400000	-0.0009867396125283	9
gpA	gpB	chr1	3400001	3500000	-0.0252580492934424	3
gpA	gpB	chr1	3600001	3700000	0.0106957580134033	6
gpA	gpB	chr1	3800001	3900000	0.0536275452986091	2
gpA	gpB	chr1	3900001	4000000	-0.0013729980916802	9
gpA	gpB	chr1	4300001	4400000	0.0166289158873624	6
gpA	gpB	chr1	4400001	4500000	0.0569714404937194	7
gpA	gpB	chr1	4500001	4600000	-0.0122170235730262	13
gpA	gpB	chr1	4700001	4800000	-0.0250794740502478	2
gpA	gpB	chr1	4800001	4900000	0.0652010876436584	20
gpA	gpB	chr1	4900001	5000000	0.0309715851561053	7
gpA	gpB	chr1	5100001	5200000	-0.0315706981492425	2
gpA	gpB	chr1	5200001	5300000	-0.0329523747570273	1
gpA	gpB	chr1	5400001	5500000	0.0098511446940406	1
gpA	gpB	chr1	5500001	5600000	-0.0157790759162301	10
gpA	gpB	chr1	5700001	5800000	0.0681112679892356	1
gpA	gpB	chr1	5900001	6000000	0.0312207169766151	11
gpA	gpB	chr1	6000001	6100000	0.2137697496059764	1
gpA	gpB	chr1	6300001	6400000	-0.0194961636951562	3
gpA	gpB	chr1	6400001	6500000	-0.0014763774127144	30
gpA	gpB	chr1	6700001	6800000	0.0133511238712478	24
gpA	gpB	chr1	6800001	6900000	-0.0057105479973932	4
gpA	gpB	chr1	7100001	7200000	-0.0078590706038182	1
gpA	gpB	chr1	7300001	7400000	-0.0183959146708683	1
gpA	gpB	chr1	7700001	7800000	0.0065263787139918	3
gpA	gpB	chr1	8100001	8200000	-0.0033795533033893	6
gpA	gpB	chr1	8500001	8600000	-0.0021503400887203	13
