pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
gpD	gpA	chr1	1	100000	0.0041155489358366	339	420	102052	147452
gpD	gpA	chr1	100001	200000	0.0034153160300729	1467	1808	529380	550332
gpD	gpA	chr1	200001	300000	NA	0	NA	NA	NA
gpD	gpA	chr1	300001	400000	0.0021336791845998	1306	1632	764876	196340
gpD	gpA	chr1	400001	500000	0.0031829861087571	1149	1878	590012	255652
gpD	gpA	chr1	500001	600000	0.003007968313576	765	1288	428196	134844
gpD	gpA	chr1	600001	700000	0.0024541212311709	864	812	330872	305032
gpD	gpA	chr1	700001	800000	0.0063209902591693	830	2876	454992	155888
gpD	gpA	chr1	800001	900000	0.0058016324303909	501	1106	190636	178100
gpD	gpA	chr1	900001	1000000	NA	0	NA	NA	NA
gpD	gpA	chr1	1000001	1100000	0.0	55	0	15728	24752
gpD	gpA	chr1	1100001	1200000	0.003861737900878	590	1300	336636	97604
gpD	gpA	chr1	1200001	1300000	NA	0	NA	NA	NA
gpD	gpA	chr1	1300001	1400000	0.0	12	0	1680	7152
gpD	gpA	chr1	1400001	1500000	0.0065335136054146	1986	6456	988136	473560
gpD	gpA	chr1	1500001	1600000	NA	0	NA	NA	NA
gpD	gpA	chr1	1600001	1700000	NA	0	NA	NA	NA
gpD	gpA	chr1	1700001	1800000	0.0058516384587684	1382	4550	777560	239592
gpD	gpA	chr1	1800001	1900000	0.0064206524339988	1256	3864	601808	322608
gpD	gpA	chr1	1900001	2000000	0.0038235294117647	967	1976	516800	194912
gpD	gpA	chr1	2000001	2100000	NA	0	NA	NA	NA
gpD	gpA	chr1	2100001	2200000	0.0043158979644421	1018	2814	652008	97240
gpD	gpA	chr1	2200001	2300000	NA	0	NA	NA	NA
gpD	gpA	chr1	2300001	2400000	0.0032150560303585	939	1586	493304	197800
gpD	gpA	chr1	2400001	2500000	0.0107459467592882	578	3428	319004	106404
gpD	gpA	chr1	2500001	2600000	0.0045643212711634	526	1280	280436	106700
gpD	gpA	chr1	2600001	2700000	0.0010967564366675	766	526	479596	84180
gpD	gpA	chr1	2700001	2800000	NA	0	NA	NA	NA
gpD	gpA	chr1	2800001	2900000	NA	0	NA	NA	NA
gpD	gpA	chr1	2900001	3000000	0.0060522344153684	1301	4732	781860	175676
gpD	gpA	chr1	3000001	3100000	0.0030760656370242	1033	1148	373204	387084
gpD	gpA	chr1	3100001	3200000	0.0009531453797531	526	266	279076	108060
gpD	gpA	chr1	3200001	3300000	0.006751765251602	852	1572	232828	394244
gpD	gpA	chr1	3300001	3400000	0.0048968464981657	525	1164	237704	148696
gpD	gpA	chr1	3400001	3500000	0.0035290796160361	127	150	42504	50968
gpD	gpA	chr1	3500001	3600000	0.0	159	0	38700	78324
gpD	gpA	chr1	3600001	3700000	0.0141542816702052	87	480	33912	30120
gpD	gpA	chr1	3700001	3800000	NA	0	NA	NA	NA
gpD	gpA	chr1	3800001	3900000	0.0017015231109789	344	206	121068	132116
gpD	gpA	chr1	3900001	4000000	0.0051216216216216	429	758	148000	167744
gpD	gpA	chr1	4000001	4100000	NA	0	NA	NA	NA
gpD	gpA	chr1	4100001	4200000	NA	0	NA	NA	NA
gpD	gpA	chr1	4200001	4300000	0.0	17	0	3128	9384
gpD	gpA	chr1	4300001	4400000	0.0081948952962892	278	1030	125688	78920
gpD	gpA	chr1	4400001	4500000	0.0137924735111435	252	1208	87584	97888
gpD	gpA	chr1	4500001	4600000	0.011114373191293	370	1060	95372	176948
gpD	gpA	chr1	4600001	4700000	0.0	64	0	18768	28336
gpD	gpA	chr1	4700001	4800000	0.0055028840416362	183	332	60332	74356
gpD	gpA	chr1	4800001	4900000	0.004010797321042	1380	2520	628304	387376
gpD	gpA	chr1	4900001	5000000	0.0049619018591892	504	1628	328100	42844
gpD	gpA	chr1	5000001	5100000	NA	0	NA	NA	NA
gpD	gpA	chr1	5100001	5200000	0.0029181985294117	249	254	87040	96224
gpD	gpA	chr1	5200001	5300000	0.0010198011387779	140	48	47068	55972
gpD	gpA	chr1	5300001	5400000	NA	0	NA	NA	NA
gpD	gpA	chr1	5400001	5500000	0.0046737371921625	118	208	44504	42344
gpD	gpA	chr1	5500001	5600000	0.0035958339899431	604	1004	279212	165332
gpD	gpA	chr1	5600001	5700000	NA	0	NA	NA	NA
gpD	gpA	chr1	5700001	5800000	0.0014642342774843	345	122	83320	170600
gpD	gpA	chr1	5800001	5900000	0.0	221	0	88304	74352
gpD	gpA	chr1	5900001	6000000	0.0047295534711746	585	1668	352676	77884
gpD	gpA	chr1	6000001	6100000	0.0041960389392413	92	100	23832	43880
gpD	gpA	chr1	6100001	6200000	0.0	21	0	3888	11568
gpD	gpA	chr1	6200001	6300000	NA	0	NA	NA	NA
gpD	gpA	chr1	6300001	6400000	0.0017967145790554	624	630	350640	108624
gpD	gpA	chr1	6400001	6500000	0.0056489391016809	1277	3936	696768	243104
gpD	gpA	chr1	6500001	6600000	NA	0	NA	NA	NA
gpD	gpA	chr1	6600001	6700000	0.0	335	0	150872	95688
gpD	gpA	chr1	6700001	6800000	0.0091103576330023	943	4514	495480	198568
gpD	gpA	chr1	6800001	6900000	0.0039499755538972	356	614	155444	106572
gpD	gpA	chr1	6900001	7000000	NA	0	NA	NA	NA
gpD	gpA	chr1	7000001	7100000	NA	0	NA	NA	NA
gpD	gpA	chr1	7100001	7200000	0.0005737234652897	118	24	41832	45016
gpD	gpA	chr1	7200001	7300000	NA	0	NA	NA	NA
gpD	gpA	chr1	7300001	7400000	0.0054395126196692	66	100	18384	30192
gpD	gpA	chr1	7400001	7500000	NA	0	NA	NA	NA
gpD	gpA	chr1	7500001	7600000	0.0	87	0	42572	21460
gpD	gpA	chr1	7600001	7700000	NA	0	NA	NA	NA
gpD	gpA	chr1	7700001	7800000	0.0017762528655361	543	468	263476	136172
gpD	gpA	chr1	7800001	7900000	NA	0	NA	NA	NA
gpD	gpA	chr1	7900001	8000000	NA	0	NA	NA	NA
gpD	gpA	chr1	8000001	8100000	NA	0	NA	NA	NA
gpD	gpA	chr1	8100001	8200000	0.0214137214137214	104	824	38480	38064
gpD	gpA	chr1	8200001	8300000	NA	0	NA	NA	NA
gpD	gpA	chr1	8300001	8400000	NA	0	NA	NA	NA
gpD	gpA	chr1	8400001	8500000	NA	0	NA	NA	NA
gpD	gpA	chr1	8500001	8600000	0.0043150354707624	918	2506	580760	94888
gpD	gpA	chr1	8600001	8700000	0.0012880046097007	433	304	236024	82664
gpD	gpA	chr1	8700001	8800000	0.0029242539200809	580	740	253056	173824
