pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
gpA	gpB	chr1	1	100000	0.0029833685774704	339	2088	699880	953084
gpA	gpB	chr1	100001	200000	0.0027437295479524	1467	9696	3533876	3619216
gpA	gpB	chr1	200001	300000	NA	0	NA	NA	NA
gpA	gpB	chr1	300001	400000	0.0022789043832044	1306	10880	4774224	1593832
gpA	gpB	chr1	400001	500000	0.0032818552173811	1149	11784	3590652	2011872
gpA	gpB	chr1	500001	600000	0.0038362516264916	765	10484	2732876	997264
gpA	gpB	chr1	600001	700000	0.0024095711753963	864	4998	2074228	2138636
gpA	gpB	chr1	700001	800000	0.0059767804918356	830	16202	2710824	1336256
gpA	gpB	chr1	800001	900000	0.0043959273777462	501	5504	1252068	1190808
gpA	gpB	chr1	900001	1000000	NA	0	NA	NA	NA
gpA	gpB	chr1	1000001	1100000	0.0	55	0	68368	199812
gpA	gpB	chr1	1100001	1200000	0.0038421236465246	590	7920	2061360	815480
gpA	gpB	chr1	1200001	1300000	NA	0	NA	NA	NA
gpA	gpB	chr1	1300001	1400000	0.0	12	0	10380	48132
gpA	gpB	chr1	1400001	1500000	0.0063800233694468	1986	37260	5840104	3843632
gpA	gpB	chr1	1500001	1600000	NA	0	NA	NA	NA
gpA	gpB	chr1	1600001	1700000	NA	0	NA	NA	NA
gpA	gpB	chr1	1700001	1800000	0.0062787767246796	1382	31332	4990144	1748488
gpA	gpB	chr1	1800001	1900000	0.0068957071556435	1256	24438	3543944	2580312
gpA	gpB	chr1	1900001	2000000	0.0041013657553822	967	14006	3414960	1300132
gpA	gpB	chr1	2000001	2100000	NA	0	NA	NA	NA
gpA	gpB	chr1	2100001	2200000	0.004078276882554	1018	17044	4179216	784552
gpA	gpB	chr1	2200001	2300000	NA	0	NA	NA	NA
gpA	gpB	chr1	2300001	2400000	0.0029661396941847	939	9658	3256084	1322480
gpA	gpB	chr1	2400001	2500000	0.009808201265347	578	20042	2043392	774936
gpA	gpB	chr1	2500001	2600000	0.003011154587397	526	5156	1712300	852476
gpA	gpB	chr1	2600001	2700000	0.0013367388815973	766	4078	3050708	684308
gpA	gpB	chr1	2700001	2800000	NA	0	NA	NA	NA
gpA	gpB	chr1	2800001	2900000	NA	0	NA	NA	NA
gpA	gpB	chr1	2900001	3000000	0.0061008954003147	1301	30792	5047128	1296548
gpA	gpB	chr1	3000001	3100000	0.0030864197530864	1033	6864	2223936	2812972
gpA	gpB	chr1	3100001	3200000	0.0010218850050436	526	1864	1824080	740696
gpA	gpB	chr1	3200001	3300000	0.0059986232667912	852	9516	1586364	2567988
gpA	gpB	chr1	3300001	3400000	0.0050202867471196	525	7716	1536964	1022936
gpA	gpB	chr1	3400001	3500000	0.0068368559124882	127	2210	323248	296004
gpA	gpB	chr1	3500001	3600000	0.0	159	0	266776	508508
gpA	gpB	chr1	3600001	3700000	0.0174174860888787	87	3656	209904	214308
gpA	gpB	chr1	3700001	3800000	NA	0	NA	NA	NA
gpA	gpB	chr1	3800001	3900000	0.001646856158484	344	956	580500	1096844
gpA	gpB	chr1	3900001	4000000	0.0063129785699244	429	5636	892764	1199040
gpA	gpB	chr1	4000001	4100000	NA	0	NA	NA	NA
gpA	gpB	chr1	4100001	4200000	NA	0	NA	NA	NA
gpA	gpB	chr1	4200001	4300000	0.0	17	0	22508	60384
gpA	gpB	chr1	4300001	4400000	0.0079604322449075	278	6792	853220	502308
gpA	gpB	chr1	4400001	4500000	0.0119778437659673	252	6470	540164	688588
gpA	gpB	chr1	4500001	4600000	0.0105358042172412	370	5774	548036	1256084
gpA	gpB	chr1	4600001	4700000	0.0	64	0	101108	210956
gpA	gpB	chr1	4700001	4800000	0.0050888739182256	183	1964	385940	506368
gpA	gpB	chr1	4800001	4900000	0.0052160968550994	1380	21080	4041336	2687544
gpA	gpB	chr1	4900001	5000000	0.0055194587715185	504	11536	2090060	367444
gpA	gpB	chr1	5000001	5100000	NA	0	NA	NA	NA
gpA	gpB	chr1	5100001	5200000	0.0034659759830468	249	1472	424700	789424
gpA	gpB	chr1	5200001	5300000	0.0018263684201009	140	404	221204	461436
gpA	gpB	chr1	5300001	5400000	NA	0	NA	NA	NA
gpA	gpB	chr1	5400001	5500000	0.0047663977095262	118	1172	245888	329480
gpA	gpB	chr1	5500001	5600000	0.0034063031670064	604	5654	1659864	1285240
gpA	gpB	chr1	5600001	5700000	NA	0	NA	NA	NA
gpA	gpB	chr1	5700001	5800000	0.0013839939490497	345	688	497112	1185108
gpA	gpB	chr1	5800001	5900000	0.0	221	0	495480	582116
gpA	gpB	chr1	5900001	6000000	0.0052417128075453	585	11542	2201952	650508
gpA	gpB	chr1	6000001	6100000	0.0029194239003503	92	360	123312	325280
gpA	gpB	chr1	6100001	6200000	0.0	21	0	27908	74488
