pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
gpD	gpB	chr1	1	100000	-0.0356510480652684	3
gpD	gpB	chr1	100001	200000	0.0735540397086546	12
gpD	gpB	chr1	300001	400000	-0.0044998000563877	10
gpD	gpB	chr1	400001	500000	0.0036640066060966	9
gpD	gpB	chr1	500001	600000	0.0433876063300418	10
gpD	gpB	chr1	600001	700000	-0.0009356731936976	10
gpD	gpB	chr1	700001	800000	-0.012377950351811	14
gpD	gpB	chr1	800001	900000	0.0016780218413876	9
gpD	gpB	chr1	1100001	1200000	-0.0036888436594615	11
gpD	gpB	chr1	1400001	1500000	0.0450546237800972	38
gpD	gpB	chr1	1700001	1800000	-0.0332438351143207	21
gpD	gpB	chr1	1800001	1900000	0.0029796644374365	25
gpD	gpB	chr1	1900001	2000000	0.0587161501572234	12
gpD	gpB	chr1	2100001	2200000	-0.0023104630840491	19
gpD	gpB	chr1	2300001	2400000	0.0093885090777581	13
gpD	gpB	chr1	2400001	2500000	0.0154677571874688	17
gpD	gpB	chr1	2500001	2600000	0.0435926716844723	11
gpD	gpB	chr1	2600001	2700000	0.0060372611467782	3
gpD	gpB	chr1	2900001	3000000	0.015418572557167	24
gpD	gpB	chr1	3000001	3100000	-0.0038985409278535	10
gpD	gpB	chr1	3100001	3200000	-0.0072037919781437	3
gpD	gpB	chr1	3200001	3300000	-0.0330676266701909	12
gpD	gpB	chr1	3300001	3400000	-0.0112427272512128	9
gpD	gpB	chr1	3400001	3500000	-0.1094359264493219	3
gpD	gpB	chr1	3600001	3700000	0.1109479914842734	6
gpD	gpB	chr1	3800001	3900000	-0.0280647813828209	2
gpD	gpB	chr1	3900001	4000000	0.0916249421785043	9
gpD	gpB	chr1	4300001	4400000	-0.0110752512521534	6
gpD	gpB	chr1	4400001	4500000	0.0524194486945101	7
gpD	gpB	chr1	4500001	4600000	-0.0317110882855312	13
gpD	gpB	chr1	4700001	4800000	-0.0758874444735641	2
gpD	gpB	chr1	4800001	4900000	0.065926735181204	20
gpD	gpB	chr1	4900001	5000000	-0.0238849111615418	7
gpD	gpB	chr1	5100001	5200000	0.0016700703315997	2
gpD	gpB	chr1	5200001	5300000	0.0135736532932332	1
gpD	gpB	chr1	5400001	5500000	0.0927750942304114	1
gpD	gpB	chr1	5500001	5600000	-0.0357593280419208	10
gpD	gpB	chr1	5700001	5800000	-0.0130902626069527	1
gpD	gpB	chr1	5900001	6000000	-0.0297441678808906	11
gpD	gpB	chr1	6000001	6100000	-0.0021457385632134	1
gpD	gpB	chr1	6300001	6400000	-0.0079039881610592	3
gpD	gpB	chr1	6400001	6500000	0.0120284380013538	30
gpD	gpB	chr1	6700001	6800000	0.0023837928741227	24
gpD	gpB	chr1	6800001	6900000	-0.023845103664153	4
gpD	gpB	chr1	7100001	7200000	0.0052764395503555	1
gpD	gpB	chr1	7300001	7400000	-0.008982594557134	1
gpD	gpB	chr1	7700001	7800000	-0.0157436241541012	3
gpD	gpB	chr1	8100001	8200000	-0.0089901624935579	6
gpD	gpB	chr1	8500001	8600000	-0.0071935987285244	13
gpD	gpB	chr1	8600001	8700000	0.0606939695029689	3
gpD	gpB	chr1	8700001	8800000	0.0203295759059777	4
gpD	gpB	chr1	8800001	8900000	0.0567315506165824	26
gpD	gpB	chr1	9200001	9300000	0.0258148789004027	19
gpD	gpB	chr1	9700001	9800000	-0.0340286185844154	5
gpD	gpB	chr1	9900001	10000000	-0.0086373464080183	1
gpD	gpB	chr1	10000001	10100000	-0.0191370158811282	3
gpD	gpB	chr1	10200001	10300000	0.0074414531023552	9
gpD	gpB	chr1	10300001	10400000	0.0086711363456567	10
gpD	gpB	chr1	10500001	10600000	0.11651624697654	5
gpD	gpB	chr1	10600001	10700000	0.0042393491716652	4
gpD	gpB	chr1	10800001	10900000	-0.0219812668907406	1
gpD	gpB	chr1	11100001	11200000	-0.040730524156319	1
gpD	gpB	chr1	11200001	11300000	0.0457351886510963	12
gpD	gpB	chr1	11700001	11800000	0.0361870129143029	11
gpD	gpB	chr1	11900001	12000000	-0.02576548855045	4
gpD	gpB	chr1	12000001	12100000	-0.0022568974214473	16
gpD	gpB	chr1	12100001	12200000	-0.0108942024847297	29
gpD	gpB	chr1	12200001	12300000	-0.0279449844579535	19
gpD	gpB	chr1	12600001	12700000	-0.0180368482156142	15
gpD	gpB	chr1	12900001	13000000	0.0032901250886374	5
gpD	gpB	chr1	13000001	13100000	-0.0190824084551415	5
gpD	gpB	chr1	13100001	13200000	-0.0261055572938635	4
gpD	gpB	chr1	13200001	13300000	-0.0232890183779021	3
gpD	gpB	chr1	13400001	13500000	0.0158922383901126	43
gpD	gpB	chr1	13500001	13600000	-0.0250341930501329	9
gpD	gpB	chr1	13600001	13700000	-0.0595642728554484	2
gpD	gpB	chr1	14200001	14300000	-0.0400299578686109	4
gpD	gpB	chr1	14400001	14500000	-0.0013519669355413	10
gpD	gpB	chr1	14500001	14600000	0.0091682886266482	12
gpD	gpB	chr1	14600001	14700000	0.0021012332848763	2
