chromosome	start	end	ID_genes
chr3	101402884	101403228	GLEAN_10020063
chr3	101415508	101415987	GLEAN_10020064
chr3	101564689	101568648	GLEAN_10020065
chr3	101638996	101640366	GLEAN_10035084
chr3	101665364	101665592	GLEAN_10000329
chr3	101827949	101829173	GLEAN_10020066
chr3	101969902	101972907	GLEAN_10020067
chr3	102046675	102048142	GLEAN_10032681
chr3	102064615	102065193	GLEAN_10032680
chr3	102423446	102426011	GLEAN_10032679
chr3	102525754	102526482	GLEAN_10032678
chr3	102536205	102536780	GLEAN_10015295
chr3	102581257	102584646	GLEAN_10032677
chr3	102664735	102665350	GLEAN_10032676
chr3	102949977	102950615	GLEAN_10016451
chr3	103037520	103038161	GLEAN_10003803
chr3	103188390	103189607	GLEAN_10015460
chr3	103412730	103413146	GLEAN_10032675
chr3	103420717	103450151	GLEAN_10032674
chr3	103451798	103453040	GLEAN_10032673
chr3	103454434	103455111	GLEAN_10032672
chr3	103458005	103459952	GLEAN_10032671
chr3	103628750	103628998	GLEAN_10016892
chr3	103713676	103714155	GLEAN_10032670
chr3	103714981	103715406	GLEAN_10032669
chr3	103737759	103738337	GLEAN_10003740
chr3	103760610	103760894	GLEAN_10006906
chr3	103820691	103822203	GLEAN_10032668
chr3	103863828	103865198	GLEAN_10010631
chr3	103958103	103958405	GLEAN_10033727
chr3	103983903	103984286	GLEAN_10025688
chr3	104034065	104034622	GLEAN_10013525
chr3	104039577	104044471	GLEAN_10013526
chr3	104090631	104090808	GLEAN_10013527
chr3	104114321	104115809	GLEAN_10017505
chr3	104153540	104153788	GLEAN_10013529
chr3	104177164	104178342	GLEAN_10020790
chr3	104189648	104190219	GLEAN_10013530
chr3	104263334	104267219	GLEAN_10025823
chr3	104286188	104293985	GLEAN_10013531
chr3	104706240	104707466	GLEAN_10038029
chr3	104734075	104734497	GLEAN_10034657
chr3	104753663	104754456	GLEAN_10034656
chr3	104758898	104759836	GLEAN_10034655
chr3	105019273	105021020	GLEAN_10037966
chr3	105068685	105075547	GLEAN_10034654
chr3	105200550	105202767	GLEAN_10021534
chr3	105233979	105234750	GLEAN_10024051
chr3	105242819	105243163	GLEAN_10034653
chr3	105458797	105462149	GLEAN_10034652
chr3	105462737	105463306	GLEAN_10034651
chr3	105491807	105492807	GLEAN_10029293
chr3	105544781	105545185	GLEAN_10034650
chr3	105603990	105605200	GLEAN_10015333
chr3	105639259	105640259	GLEAN_10022556
chr3	105710761	105719699	GLEAN_10034649
chr3	105735615	105736067	GLEAN_10034648
chr3	106304569	106304976	GLEAN_10025876
chr3	106307601	106307834	GLEAN_10037452
chr3	106320094	106320690	GLEAN_10034647
chr3	106467970	106469726	GLEAN_10028563
chr3	106520560	106521036	GLEAN_10025135
chr3	106549013	106549923	GLEAN_10034646
chr3	106557453	106560768	GLEAN_10034645
chr3	106561704	106562607	GLEAN_10034644
chr3	106691284	106693443	GLEAN_10034643
chr3	107056318	107058015	GLEAN_10034526
chr3	107119659	107119892	GLEAN_10010523
chr3	107138836	107139597	GLEAN_10007546
chr3	107141255	107143677	GLEAN_10007545
chr3	107159908	107160975	GLEAN_10007187
chr3	107174246	107181845	GLEAN_10007186
chr3	107185777	107186844	GLEAN_10007547
chr3	107210459	107211526	GLEAN_10007185
chr3	107465392	107465823	GLEAN_10007184
chr3	107489373	107489849	GLEAN_10013693
chr3	107571687	107572081	GLEAN_10012174
chr3	107704544	107717479	GLEAN_10005455
chr3	107779454	107782780	GLEAN_10005454
chr3	107847987	107848931	GLEAN_10005453
chr3	107864422	107868942	GLEAN_10005452
chr3	107876296	107876985	GLEAN_10003511
chr3	107918967	107919498	GLEAN_10002348
chr3	107935462	107936266	GLEAN_10017640
chr3	107992094	107997703	GLEAN_10017639
chr3	108015084	108016364	GLEAN_10017638
chr3	108161467	108164118	GLEAN_10017637
chr3	108166666	108167484	GLEAN_10034333
chr3	108169094	108169724	GLEAN_10005710
chr3	108170687	108174242	GLEAN_10022303
chr3	108250311	108251662	GLEAN_10024162
chr3	108635242	108636152	GLEAN_10017636
chr3	108698039	108700009	GLEAN_10017635
chr3	108762498	108762947	GLEAN_10011136
chr3	109064638	109064931	GLEAN_10005668
chr3	109101824	109103451	GLEAN_10011137
chr3	109314058	109314291	GLEAN_10030620
chr3	109673331	109675281	GLEAN_10021145
chr3	109679276	109679656	GLEAN_10021144
chr3	109826165	109826679	GLEAN_10021143
chr3	109892459	109892731	GLEAN_10021142
chr3	109938361	109938580	GLEAN_10037289
chr3	109976736	109977415	GLEAN_10021141
chr3	110021059	110021557	GLEAN_10009327
chr3	110053752	110054015	GLEAN_10021140
chr3	110150136	110151477	GLEAN_10021139
chr3	110205257	110206686	GLEAN_10021138
chr3	110247126	110262817	GLEAN_10021137
chr3	110389834	110390545	GLEAN_10019750
chr3	110583706	110584109	GLEAN_10019749
chr3	110677737	110680807	GLEAN_10019748
chr3	110997507	110998536	GLEAN_10001093
chr3	111139563	111140606	GLEAN_10027773
chr3	111180997	111182215	GLEAN_10020384
chr3	111558224	111559041	GLEAN_10034420
chr3	111627265	111627498	GLEAN_10038152
chr3	111667655	111671576	GLEAN_10030848
chr3	111702884	111704403	GLEAN_10030847
chr3	111706044	111706487	GLEAN_10030846
chr3	111936026	111936704	GLEAN_10010533
chr3	111985937	111986563	GLEAN_10002827
chr3	112100222	112100581	GLEAN_10000247
chr3	112268969	112269451	GLEAN_10017203
chr3	112444047	112444217	GLEAN_10030867
chr3	112463457	112463776	GLEAN_10030843
chr3	112649601	112649834	GLEAN_10030842
chr3	112658750	112659124	GLEAN_10030841
chr3	112792699	112793217	GLEAN_10030840
chr3	112796843	112797973	GLEAN_10030839
chr3	112799904	112800406	GLEAN_10001222
chr3	112802051	112803299	GLEAN_10030838
chr3	112856103	112856951	GLEAN_10030837
chr3	112891960	112893099	GLEAN_10015294
chr3	113197094	113197384	GLEAN_10004695
chr3	113251544	113252203	GLEAN_10004696
chr3	113324033	113324592	GLEAN_10004697
chr3	113376187	113377805	GLEAN_10004698
chr3	113405154	113405680	GLEAN_10028448
chr3	113654031	113655033	GLEAN_10004821
chr3	113813152	113814857	GLEAN_10002424
chr3	113892406	113893578	GLEAN_10010030
chr3	114003051	114003422	GLEAN_10008098
chr3	114004290	114004733	GLEAN_10008099
chr3	114111426	114122191	GLEAN_10008100
chr3	114279578	114280733	GLEAN_10008101
chr3	114388499	114390227	GLEAN_10014931
chr3	114403353	114403805	GLEAN_10014932
chr3	114405964	114418540	GLEAN_10014933
chr3	114479415	114479792	GLEAN_10014934
chr3	114537945	114538572	GLEAN_10014935
chr3	114606472	114606729	GLEAN_10014936
chr3	114629817	114631042	GLEAN_10014937
chr3	114731510	114732085	GLEAN_10014938
chr3	114769728	114769934	GLEAN_10016333
chr3	115011184	115012088	GLEAN_10014939
chr3	115313817	115314566	GLEAN_10013395
chr3	115328359	115328703	GLEAN_10013396
chr3	115345768	115356370	GLEAN_10013397
chr3	115392887	115393408	GLEAN_10013398
chr3	115406285	115408171	GLEAN_10013399
chr3	115815834	115816106	GLEAN_10024633
chr3	115824614	115828088	GLEAN_10011132
chr3	115963428	115963832	GLEAN_10011131
chr3	116020384	116020695	GLEAN_10011130
chr3	116032461	116032769	GLEAN_10011129
chr3	116053099	116053944	GLEAN_10011128
chr3	116204503	116205468	GLEAN_10011127
chr3	116358736	116361741	GLEAN_10011975
chr3	116437599	116438492	GLEAN_10011974
chr3	116482925	116486659	GLEAN_10011973
chr3	116648080	116649011	GLEAN_10021057
chr3	116848730	116849042	GLEAN_10003631
chr3	116978484	116980257	GLEAN_10017100
chr3	116984321	116984794	GLEAN_10029431
chr3	117030502	117030711	GLEAN_10003539
chr3	117114450	117120302	GLEAN_10003540
chr3	117214287	117215332	GLEAN_10001276
chr3	117419763	117420104	GLEAN_10017439
chr3	117555183	117555894	GLEAN_10017440
chr3	117623605	117624021	GLEAN_10017441
chr3	117628830	117629054	GLEAN_10017442
chr3	117806584	117822191	GLEAN_10017443
chr3	117976364	117977569	GLEAN_10012503
chr3	117995091	117995433	GLEAN_10017444
chr3	118052777	118056442	GLEAN_10000636
chr3	118190163	118191780	GLEAN_10020108
chr3	118314982	118315927	GLEAN_10033777
chr3	118321162	118322176	GLEAN_10020107
chr3	118783133	118783543	GLEAN_10020106
chr3	118796595	118797074	GLEAN_10020105
chr3	119160816	119161713	GLEAN_10020292
chr3	119182599	119182859	GLEAN_10034087
chr3	119295847	119300907	GLEAN_10034086
chr3	119327442	119327921	GLEAN_10034085
chr3	119328756	119329139	GLEAN_10034084
chr3	119758532	119758836	GLEAN_10038071
chr3	119758925	119759569	GLEAN_10018198
chr3	119764641	119765639	GLEAN_10019888
chr3	119790850	119791811	GLEAN_10027545
chr3	120110798	120111800	GLEAN_10034083
chr3	120189318	120189551	GLEAN_10001122
chr3	120206505	120210483	GLEAN_10034082
chr3	120211497	120212384	GLEAN_10034081
chr3	120310068	120310848	GLEAN_10021136
chr3	120382798	120383169	GLEAN_10034080
chr3	120490935	120492995	GLEAN_10034079
chr3	120517050	120520913	GLEAN_10034078
chr3	120524968	120525321	GLEAN_10034077
chr3	120554783	120555325	GLEAN_10034076
chr3	120879934	120891039	GLEAN_10034075
chr3	120894377	120896378	GLEAN_10034074
chr3	120931171	120935687	GLEAN_10034073
chr3	120960720	120962328	GLEAN_10034072
chr3	121017328	121018244	GLEAN_10011730
chr3	121106927	121110020	GLEAN_10034071
chr3	121141621	121143901	GLEAN_10034070
chr3	121186599	121186978	GLEAN_10033974
chr3	121358754	121359191	GLEAN_10037445
chr3	121413339	121413872	GLEAN_10037444
chr3	121690518	121691239	GLEAN_10037443
chr3	121700743	121703551	GLEAN_10029952
chr3	121703336	121705833	GLEAN_10037442
chr3	121721614	121722009	GLEAN_10037441
chr3	121815292	121825719	GLEAN_10030163
chr3	121911967	121912352	GLEAN_10037440
chr3	121946764	121952637	GLEAN_10037439
chr3	122028851	122029665	GLEAN_10007908
chr3	122030349	122039850	GLEAN_10037438
chr3	122045961	122049400	GLEAN_10037437
chr3	122194699	122195637	GLEAN_10032395
chr3	122299687	122301264	GLEAN_10037436
chr3	122367664	122369196	GLEAN_10037435
chr3	122397180	122399077	GLEAN_10037434
