pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
gpD	gpC	chr1	1	100000	-0.0345421554602498	3
gpD	gpC	chr1	100001	200000	0.1399675750702636	12
gpD	gpC	chr1	300001	400000	0.0031075470363309	10
gpD	gpC	chr1	400001	500000	-0.0350328687288651	9
gpD	gpC	chr1	500001	600000	0.0172357228362951	10
gpD	gpC	chr1	600001	700000	-0.0175352121191824	10
gpD	gpC	chr1	700001	800000	-0.0103275147442916	14
gpD	gpC	chr1	800001	900000	0.0082634119744133	9
gpD	gpC	chr1	1100001	1200000	0.0235319402263126	11
gpD	gpC	chr1	1400001	1500000	0.0290890720030256	38
gpD	gpC	chr1	1700001	1800000	-0.0408829645190466	21
gpD	gpC	chr1	1800001	1900000	0.0275385427176626	25
gpD	gpC	chr1	1900001	2000000	0.0529704468103193	12
gpD	gpC	chr1	2100001	2200000	-0.0005989011040686	19
gpD	gpC	chr1	2300001	2400000	0.0067287737425436	13
gpD	gpC	chr1	2400001	2500000	0.0558495666611456	17
gpD	gpC	chr1	2500001	2600000	0.0533204799538764	11
gpD	gpC	chr1	2600001	2700000	0.0066188542375106	3
gpD	gpC	chr1	2900001	3000000	0.0137846564984839	24
gpD	gpC	chr1	3000001	3100000	0.0515630723218488	10
gpD	gpC	chr1	3100001	3200000	-0.0392884104723785	3
gpD	gpC	chr1	3200001	3300000	-0.0243791418094509	12
gpD	gpC	chr1	3300001	3400000	-0.0136866157658441	9
gpD	gpC	chr1	3400001	3500000	-0.1536363147618523	3
gpD	gpC	chr1	3600001	3700000	0.0191761777187033	6
gpD	gpC	chr1	3800001	3900000	-0.0647711831640244	2
gpD	gpC	chr1	3900001	4000000	0.1419408681294802	9
gpD	gpC	chr1	4300001	4400000	-0.0296589956012993	6
gpD	gpC	chr1	4400001	4500000	0.0068254231872006	7
gpD	gpC	chr1	4500001	4600000	-0.0480736350756043	13
gpD	gpC	chr1	4700001	4800000	-0.0530037668248393	2
gpD	gpC	chr1	4800001	4900000	0.1192205446638748	20
gpD	gpC	chr1	4900001	5000000	-0.018188728898064	7
gpD	gpC	chr1	5100001	5200000	-0.0011653254174199	2
gpD	gpC	chr1	5200001	5300000	-0.0292177191328934	1
gpD	gpC	chr1	5400001	5500000	0.03705915282702	1
gpD	gpC	chr1	5500001	5600000	-0.0517625907243789	10
gpD	gpC	chr1	5700001	5800000	-0.0449028466322082	1
gpD	gpC	chr1	5900001	6000000	-0.0317505891822754	11
gpD	gpC	chr1	6000001	6100000	-0.1025243151304283	1
gpD	gpC	chr1	6300001	6400000	-0.029461443772781	3
gpD	gpC	chr1	6400001	6500000	0.0056117677481521	30
gpD	gpC	chr1	6700001	6800000	0.0153539012974312	24
gpD	gpC	chr1	6800001	6900000	-0.00713093878031	4
gpD	gpC	chr1	7100001	7200000	-0.0082920152091255	1
gpD	gpC	chr1	7300001	7400000	0.0304041720990873	1
gpD	gpC	chr1	7700001	7800000	-0.0320192001135102	3
gpD	gpC	chr1	8100001	8200000	-0.0035133044172266	6
gpD	gpC	chr1	8500001	8600000	-0.01601753522637	13
gpD	gpC	chr1	8600001	8700000	0.0377855426708647	3
gpD	gpC	chr1	8700001	8800000	0.029710184084663	4
gpD	gpC	chr1	8800001	8900000	0.0014246505883417	26
gpD	gpC	chr1	9200001	9300000	-0.0077491211063348	19
gpD	gpC	chr1	9700001	9800000	-0.0040982807944952	5
gpD	gpC	chr1	9900001	10000000	-0.015062047349371	1
gpD	gpC	chr1	10000001	10100000	-0.0247035141229574	3
gpD	gpC	chr1	10200001	10300000	-0.0144458470304801	9
gpD	gpC	chr1	10300001	10400000	0.0592162101768427	10
gpD	gpC	chr1	10500001	10600000	0.1027331038284934	5
gpD	gpC	chr1	10600001	10700000	0.0156232360306997	4
gpD	gpC	chr1	10800001	10900000	0.0075847184395011	1
gpD	gpC	chr1	11100001	11200000	-0.0320884407493129	1
gpD	gpC	chr1	11200001	11300000	-0.0016292838879552	12
gpD	gpC	chr1	11700001	11800000	0.0207331781761653	11
gpD	gpC	chr1	11900001	12000000	0.0508044903528403	4
gpD	gpC	chr1	12000001	12100000	0.0736854770504515	16
gpD	gpC	chr1	12100001	12200000	-0.0039403332589265	29
gpD	gpC	chr1	12200001	12300000	0.0327346197147396	19
gpD	gpC	chr1	12600001	12700000	0.0069939919892006	15
gpD	gpC	chr1	12900001	13000000	-0.0457529247807313	5
gpD	gpC	chr1	13000001	13100000	-0.043660622998396	5
gpD	gpC	chr1	13100001	13200000	-0.0342147960162093	4
gpD	gpC	chr1	13200001	13300000	0.0064256468118691	3
gpD	gpC	chr1	13400001	13500000	0.06172816131408	43
gpD	gpC	chr1	13500001	13600000	-0.0125712210897873	9
gpD	gpC	chr1	13600001	13700000	-0.0036501206279537	2
gpD	gpC	chr1	14200001	14300000	-0.0448058290634548	4
gpD	gpC	chr1	14400001	14500000	-0.0063205635879015	10
gpD	gpC	chr1	14500001	14600000	-0.000303564019057	12
gpD	gpC	chr1	14600001	14700000	-0.0684291041913311	2
gpD	gpC	chr1	14900001	15000000	0.0150915272825681	7
gpD	gpC	chr1	15300001	15400000	0.0134523588127591	11
gpD	gpC	chr1	15400001	15500000	-0.0930653191370341	1
gpD	gpC	chr1	15500001	15600000	0.0039025726532489	4
gpD	gpC	chr1	15600001	15700000	-0.0032974584335538	33
gpD	gpC	chr1	16100001	16200000	0.2009852556277649	1
gpD	gpC	chr1	16600001	16700000	0.0711797711304877	7
gpD	gpC	chr1	16900001	17000000	-0.0106488944809237	2
gpD	gpC	chr1	17000001	17100000	-0.0404455913920284	3
gpD	gpC	chr1	17700001	17800000	-0.0043363876775772	9
gpD	gpC	chr1	17800001	17900000	-0.0104020038985433	4
gpD	gpC	chr1	18000001	18100000	0.0516111409499513	5
gpD	gpC	chr1	18100001	18200000	-0.0220971087351747	3
gpD	gpC	chr1	18300001	18400000	0.2347038712849045	3
gpD	gpC	chr1	18700001	18800000	-0.0147741729819523	6
gpD	gpC	chr1	18800001	18900000	-0.0313551428226621	2
gpD	gpC	chr1	18900001	19000000	-0.0203466618738798	10
gpD	gpC	chr1	19000001	19100000	-0.0147260576346067	31
gpD	gpC	chr1	19100001	19200000	0.0472458046283637	25
gpD	gpC	chr1	19200001	19300000	-0.0277877894481587	16
gpD	gpC	chr1	19300001	19400000	0.023254499441863	6
gpD	gpC	chr1	19400001	19500000	0.0008044020304444	14
gpD	gpC	chr1	19500001	19600000	-0.0240076197299029	12
gpD	gpC	chr1	19600001	19700000	0.1078277245880629	14
gpD	gpC	chr1	19800001	19900000	-0.0113025213570033	5
gpD	gpC	chr1	20000001	20100000	-0.012747963857478	12
gpD	gpC	chr1	20100001	20200000	0.0024353466782483	7
gpD	gpC	chr1	20400001	20500000	-0.0761552761350366	2
gpD	gpC	chr1	21000001	21100000	0.0616245804834777	14
gpD	gpC	chr1	21300001	21400000	0.0368929978061139	12
gpD	gpC	chr1	21400001	21500000	0.0679862476947611	3
gpD	gpC	chr1	21600001	21700000	0.008989673638092	2
gpD	gpC	chr1	21900001	22000000	-0.0016498582164217	13
gpD	gpC	chr1	22000001	22100000	0.0425326064305608	26
gpD	gpC	chr1	22100001	22200000	0.1128164502715753	2
gpD	gpC	chr1	22500001	22600000	0.0565911910330347	8
gpD	gpC	chr1	22600001	22700000	-0.0578156486870774	3
gpD	gpC	chr1	22800001	22900000	0.0159138714668013	19
gpD	gpC	chr1	22900001	23000000	-0.0671756872997656	3
gpD	gpC	chr1	23300001	23400000	-0.0298703366608883	4
gpD	gpC	chr1	23400001	23500000	-0.0511984619708242	14
gpD	gpC	chr1	23500001	23600000	0.0375720972435241	8
gpD	gpC	chr1	23800001	23900000	0.0539082107747434	27
gpD	gpC	chr1	24300001	24400000	0.0150791693326924	38
gpD	gpC	chr1	24400001	24500000	-0.0135880875651057	11
gpD	gpC	chr1	24700001	24800000	-0.0106450191685031	4
gpD	gpC	chr1	25100001	25200000	0.0635884317233547	8
gpD	gpC	chr1	25200001	25300000	0.0038527326428322	8
gpD	gpC	chr1	25400001	25500000	0.0191084512635452	14
gpD	gpC	chr1	25500001	25600000	0.0722104326213835	4
gpD	gpC	chr1	25700001	25800000	0.034519656308154	10
gpD	gpC	chr1	25800001	25900000	0.0281584940366552	5
gpD	gpC	chr1	26000001	26100000	0.0988617195657089	12
gpD	gpC	chr1	26200001	26300000	0.0453039837428414	9
gpD	gpC	chr1	26300001	26400000	0.0948768770099408	1
gpD	gpC	chr1	26400001	26500000	-0.0309208515077154	6
gpD	gpC	chr1	26700001	26800000	-0.0046647925455615	2
gpD	gpC	chr1	26900001	27000000	-0.0174978879579487	11
gpD	gpC	chr1	27000001	27100000	0.0100189098020729	18
gpD	gpC	chr1	27100001	27200000	-0.0618224009113496	2
gpD	gpC	chr1	27400001	27500000	0.1503006789606548	2
gpD	gpC	chr1	27700001	27800000	-0.0792626665514132	11
gpD	gpC	chr1	27800001	27900000	0.0796108940492488	15
gpD	gpC	chr1	27900001	28000000	0.0074031849210275	10
gpD	gpC	chr1	28200001	28300000	-0.0362413099902817	14
gpD	gpC	chr1	28900001	29000000	-0.0247063671498547	15
gpD	gpC	chr1	29100001	29200000	0.0786088780520844	8
gpD	gpC	chr1	29400001	29500000	0.1134959276537607	15
gpD	gpC	chr1	29500001	29600000	-0.0391956158948615	18
gpD	gpC	chr1	29600001	29700000	-0.0132419620902385	5
gpD	gpC	chr1	30500001	30600000	NA	1
gpD	gpC	chr1	30700001	30800000	-0.0592545858419076	1
gpD	gpC	chr1	30800001	30900000	0.0014445001925515	18
