pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
gpC	gpB	chr1	1	100000	0.0021460810053393	339	1746	813576	1342464
gpC	gpB	chr1	100001	200000	0.0021004868157245	1467	9936	4730332	4599788
gpC	gpB	chr1	200001	300000	NA	0	NA	NA	NA
gpC	gpB	chr1	300001	400000	0.0022892317832468	1306	14004	6117336	2188824
gpC	gpB	chr1	400001	500000	0.0031696010534747	1149	14230	4489524	2818116
gpC	gpB	chr1	500001	600000	0.0031687288119883	765	11624	3668348	1197052
gpC	gpB	chr1	600001	700000	0.0020079806002129	864	5634	2805804	2689236
gpC	gpB	chr1	700001	800000	0.0060809016967151	830	20156	3314640	1964160
gpC	gpB	chr1	800001	900000	0.0039584151467762	501	6814	1721396	1464964
gpC	gpB	chr1	900001	1000000	NA	0	NA	NA	NA
gpC	gpB	chr1	1000001	1100000	0.0	55	0	90680	259120
gpC	gpB	chr1	1100001	1200000	0.0032471380490612	590	9096	2801236	951164
gpC	gpB	chr1	1200001	1300000	NA	0	NA	NA	NA
gpC	gpB	chr1	1300001	1400000	0.0	12	0	23176	53144
gpC	gpB	chr1	1400001	1500000	0.0064297081335334	1986	48904	7605944	5025016
gpC	gpB	chr1	1500001	1600000	NA	0	NA	NA	NA
gpC	gpB	chr1	1600001	1700000	NA	0	NA	NA	NA
gpC	gpB	chr1	1700001	1800000	0.0064402658463811	1382	40726	6323652	2465868
gpC	gpB	chr1	1800001	1900000	0.0067874517512078	1256	29338	4322388	3665772
gpC	gpB	chr1	1900001	2000000	0.0039534437397053	967	16974	4293472	1856648
gpC	gpB	chr1	2000001	2100000	NA	0	NA	NA	NA
gpC	gpB	chr1	2100001	2200000	0.0040522763308924	1018	21846	5391044	1083436
gpC	gpB	chr1	2200001	2300000	NA	0	NA	NA	NA
gpC	gpB	chr1	2300001	2400000	0.0026511065831098	939	11434	4312916	1659124
gpC	gpB	chr1	2400001	2500000	0.0098964393585409	578	25924	2619528	1056552
gpC	gpB	chr1	2500001	2600000	0.0030522424227578	526	6978	2286188	1059172
gpC	gpB	chr1	2600001	2700000	0.0012534732817076	766	4946	3945836	925924
gpC	gpB	chr1	2700001	2800000	NA	0	NA	NA	NA
gpC	gpB	chr1	2800001	2900000	NA	0	NA	NA	NA
gpC	gpB	chr1	2900001	3000000	0.0060771104970031	1301	38950	6409296	1865064
gpC	gpB	chr1	3000001	3100000	0.0032984469663428	1033	9238	2800712	3769168
gpC	gpB	chr1	3100001	3200000	0.0008520161126256	526	2094	2457700	887660
gpC	gpB	chr1	3200001	3300000	0.0059998620721362	852	12528	2088048	3330672
gpC	gpB	chr1	3300001	3400000	0.0046844618974837	525	9820	2096292	1242708
gpC	gpB	chr1	3400001	3500000	0.0060583112457402	127	2560	422560	385160
gpC	gpB	chr1	3500001	3600000	0.0	159	0	326188	685052
gpC	gpB	chr1	3600001	3700000	0.0144028455013025	87	3450	239536	313784
gpC	gpB	chr1	3700001	3800000	NA	0	NA	NA	NA
gpC	gpB	chr1	3800001	3900000	0.0015209405622743	344	1156	760056	1427784
gpC	gpB	chr1	3900001	4000000	0.0060883221829402	429	7040	1156312	1572128
gpC	gpB	chr1	4000001	4100000	NA	0	NA	NA	NA
gpC	gpB	chr1	4100001	4200000	NA	0	NA	NA	NA
gpC	gpB	chr1	4200001	4300000	0.0	17	0	28504	79616
gpC	gpB	chr1	4300001	4400000	0.007449811012157	278	8964	1203252	564828
gpC	gpB	chr1	4400001	4500000	0.0125397635358876	252	9240	736856	865864
gpC	gpB	chr1	4500001	4600000	0.0102474829549065	370	9030	881192	1472008
gpC	gpB	chr1	4600001	4700000	0.0	64	0	146484	260556
gpC	gpB	chr1	4700001	4800000	0.0057271463075459	183	2504	437216	726664
gpC	gpB	chr1	4800001	4900000	0.0053419843120533	1380	28764	5384516	3392284
gpC	gpB	chr1	4900001	5000000	0.0061886483061901	504	16606	2683300	522140
gpC	gpB	chr1	5000001	5100000	NA	0	NA	NA	NA
gpC	gpB	chr1	5100001	5200000	0.0035578830161105	249	1636	459824	1123816
gpC	gpB	chr1	5200001	5300000	0.0010485745054695	140	444	423432	466968
gpC	gpB	chr1	5300001	5400000	NA	0	NA	NA	NA
gpC	gpB	chr1	5400001	5500000	0.0045673174083505	118	1356	296892	453588
gpC	gpB	chr1	5500001	5600000	0.0036848732382443	604	8358	2268192	1573248
gpC	gpB	chr1	5600001	5700000	NA	0	NA	NA	NA
gpC	gpB	chr1	5700001	5800000	0.0009058850173088	345	672	741816	1452384
gpC	gpB	chr1	5800001	5900000	0.0	221	0	567900	837660
gpC	gpB	chr1	5900001	6000000	0.0055210624455182	585	15302	2771568	949032
gpC	gpB	chr1	6000001	6100000	0.0020522388059701	92	352	171520	413600
gpC	gpB	chr1	6100001	6200000	0.0	21	0	36076	97484
gpC	gpB	chr1	6200001	6300000	NA	0	NA	NA	NA
gpC	gpB	chr1	6300001	6400000	0.0023653086025729	624	6166	2606848	1361792
gpC	gpB	chr1	6400001	6500000	0.0069340032311988	1277	35640	5139888	2981832
gpC	gpB	chr1	6500001	6600000	NA	0	NA	NA	NA
gpC	gpB	chr1	6600001	6700000	0.0	335	0	966400	1164200
gpC	gpB	chr1	6700001	6800000	0.008546207589912	943	31554	3692164	2305316
gpC	gpB	chr1	6800001	6900000	0.0036347172316261	356	4030	1108752	1155408
gpC	gpB	chr1	6900001	7000000	NA	0	NA	NA	NA
gpC	gpB	chr1	7000001	7100000	NA	0	NA	NA	NA
gpC	gpB	chr1	7100001	7200000	0.0017212127173031	118	560	325352	425128
gpC	gpB	chr1	7200001	7300000	NA	0	NA	NA	NA
gpC	gpB	chr1	7300001	7400000	0.006946905791451	66	784	112856	306904
gpC	gpB	chr1	7400001	7500000	NA	0	NA	NA	NA
gpC	gpB	chr1	7500001	7600000	0.0	87	0	198112	355208
gpC	gpB	chr1	7600001	7700000	NA	0	NA	NA	NA
gpC	gpB	chr1	7700001	7800000	0.0017614261426142	543	2818	1599840	1853640
gpC	gpB	chr1	7800001	7900000	NA	0	NA	NA	NA
gpC	gpB	chr1	7900001	8000000	NA	0	NA	NA	NA
gpC	gpB	chr1	8000001	8100000	NA	0	NA	NA	NA
gpC	gpB	chr1	8100001	8200000	0.0217947497441511	104	7326	336136	325304
gpC	gpB	chr1	8200001	8300000	NA	0	NA	NA	NA
gpC	gpB	chr1	8300001	8400000	NA	0	NA	NA	NA
gpC	gpB	chr1	8400001	8500000	NA	0	NA	NA	NA
gpC	gpB	chr1	8500001	8600000	0.0040972789947665	918	20368	4971104	867376
gpC	gpB	chr1	8600001	8700000	0.0015010543991877	433	2460	1638848	1115032
gpC	gpB	chr1	8700001	8800000	0.0021214801640422	580	3588	1691272	1997528
gpC	gpB	chr1	8800001	8900000	0.006067567535574	1365	30754	5068588	3612812
gpC	gpB	chr1	8900001	9000000	NA	0	NA	NA	NA
gpC	gpB	chr1	9000001	9100000	NA	0	NA	NA	NA
gpC	gpB	chr1	9100001	9200000	NA	0	NA	NA	NA
gpC	gpB	chr1	9200001	9300000	0.0032772653211909	1692	20098	6132552	4628568
gpC	gpB	chr1	9300001	9400000	NA	0	NA	NA	NA
gpC	gpB	chr1	9400001	9500000	0.0	158	0	444692	560188
gpC	gpB	chr1	9500001	9600000	NA	0	NA	NA	NA
gpC	gpB	chr1	9600001	9700000	NA	0	NA	NA	NA
gpC	gpB	chr1	9700001	9800000	0.0031136172716482	528	7324	2352248	1005832
gpC	gpB	chr1	9800001	9900000	NA	0	NA	NA	NA
gpC	gpB	chr1	9900001	10000000	0.0008175303748021	693	3110	3804140	603340
gpC	gpB	chr1	10000001	10100000	0.0109671848013816	116	3810	347400	390360
gpC	gpB	chr1	10100001	10200000	NA	0	NA	NA	NA
gpC	gpB	chr1	10200001	10300000	0.0042717005446163	482	8380	1961748	1103772
gpC	gpB	chr1	10300001	10400000	0.0021390740679495	1110	10866	5079768	1979832
gpC	gpB	chr1	10400001	10500000	NA	0	NA	NA	NA
gpC	gpB	chr1	10500001	10600000	0.0038249945622476	336	5768	1507976	628984
gpC	gpB	chr1	10600001	10700000	0.0045663208362044	229	3764	824296	632144
gpC	gpB	chr1	10700001	10800000	NA	0	NA	NA	NA
gpC	gpB	chr1	10800001	10900000	0.0031858897405115	84	690	216580	317660
gpC	gpB	chr1	10900001	11000000	NA	0	NA	NA	NA
gpC	gpB	chr1	11000001	11100000	NA	0	NA	NA	NA
gpC	gpB	chr1	11100001	11200000	0.0047040182218811	82	760	161564	359956
gpC	gpB	chr1	11200001	11300000	0.0068095257483168	578	14718	2161384	1514696
gpC	gpB	chr1	11300001	11400000	NA	0	NA	NA	NA
gpC	gpB	chr1	11400001	11500000	NA	0	NA	NA	NA
gpC	gpB	chr1	11500001	11600000	NA	0	NA	NA	NA
gpC	gpB	chr1	11600001	11700000	NA	0	NA	NA	NA
gpC	gpB	chr1	11700001	11800000	0.0049124614804509	682	12090	2461088	1876432
gpC	gpB	chr1	11800001	11900000	NA	0	NA	NA	NA
gpC	gpB	chr1	11900001	12000000	0.0036338622966348	452	5156	1418876	1455844
gpC	gpB	chr1	12000001	12100000	0.0040794837444713	1095	21572	5287924	1676276
gpC	gpB	chr1	12100001	12200000	0.0061263898685504	1723	54962	8971352	1986928
gpC	gpB	chr1	12200001	12300000	0.0096516538572515	762	29436	3049840	1796480
gpC	gpB	chr1	12300001	12400000	0.0	472	0	1646516	1355404
gpC	gpB	chr1	12400001	12500000	0.0	13	0	14508	68172
gpC	gpB	chr1	12500001	12600000	NA	0	NA	NA	NA
gpC	gpB	chr1	12600001	12700000	0.002903944902395	1404	16294	5610988	3318452
gpC	gpB	chr1	12700001	12800000	NA	0	NA	NA	NA
gpC	gpB	chr1	12800001	12900000	0.0	585	0	2619528	1101072
gpC	gpB	chr1	12900001	13000000	0.0136042147806004	132	4524	332544	506976
gpC	gpB	chr1	13000001	13100000	0.0036280315003278	564	7502	2067788	1519252
gpC	gpB	chr1	13100001	13200000	0.0011600913162183	792	3610	3111824	1925296
gpC	gpB	chr1	13200001	13300000	0.0004703225678831	1647	3614	7684088	2790832
gpC	gpB	chr1	13300001	13400000	0.0	274	0	610028	1132612
gpC	gpB	chr1	13400001	13500000	0.0065973595824627	1644	57302	8685596	1770244
gpC	gpB	chr1	13500001	13600000	0.0042187723802073	487	7658	1815220	1282100
gpC	gpB	chr1	13600001	13700000	0.0029031471090509	80	476	163960	344840
gpC	gpB	chr1	13700001	13800000	NA	0	NA	NA	NA
gpC	gpB	chr1	13800001	13900000	NA	0	NA	NA	NA
gpC	gpB	chr1	13900001	14000000	NA	0	NA	NA	NA
gpC	gpB	chr1	14000001	14100000	NA	0	NA	NA	NA
gpC	gpB	chr1	14100001	14200000	NA	0	NA	NA	NA
gpC	gpB	chr1	14200001	14300000	0.0050691466841699	470	7136	1407732	1581468
gpC	gpB	chr1	14300001	14400000	NA	0	NA	NA	NA
gpC	gpB	chr1	14400001	14500000	0.0147539610487862	352	21842	1480416	758304
gpC	gpB	chr1	14500001	14600000	0.0069048644100135	582	22582	3270448	431072
gpC	gpB	chr1	14600001	14700000	0.0032998489225794	80	498	150916	357884
gpC	gpB	chr1	14700001	14800000	NA	0	NA	NA	NA
gpC	gpB	chr1	14800001	14900000	NA	0	NA	NA	NA
gpC	gpB	chr1	14900001	15000000	0.0156544230247876	197	8546	545916	707004
gpC	gpB	chr1	15000001	15100000	NA	0	NA	NA	NA
gpC	gpB	chr1	15100001	15200000	NA	0	NA	NA	NA
gpC	gpB	chr1	15200001	15300000	NA	0	NA	NA	NA
gpC	gpB	chr1	15300001	15400000	0.0080304859371903	555	17828	2220040	1309760
gpC	gpB	chr1	15400001	15500000	0.0047752296368392	125	1256	263024	531976
gpC	gpB	chr1	15500001	15600000	0.0022105945509523	464	4556	2060984	890056
gpC	gpB	chr1	15600001	15700000	0.0068960753506286	1415	40134	5819832	3179568
gpC	gpB	chr1	15700001	15800000	NA	0	NA	NA	NA
gpC	gpB	chr1	15800001	15900000	NA	0	NA	NA	NA
gpC	gpB	chr1	15900001	16000000	NA	0	NA	NA	NA
gpC	gpB	chr1	16000001	16100000	NA	0	NA	NA	NA
gpC	gpB	chr1	16100001	16200000	0.0061432030439294	113	1776	289100	429580
gpC	gpB	chr1	16200001	16300000	NA	0	NA	NA	NA
gpC	gpB	chr1	16300001	16400000	NA	0	NA	NA	NA
gpC	gpB	chr1	16400001	16500000	NA	0	NA	NA	NA
gpC	gpB	chr1	16500001	16600000	NA	0	NA	NA	NA
gpC	gpB	chr1	16600001	16700000	0.0096278921968694	324	16846	1749708	310932
gpC	gpB	chr1	16700001	16800000	NA	0	NA	NA	NA
gpC	gpB	chr1	16800001	16900000	NA	0	NA	NA	NA
gpC	gpB	chr1	16900001	17000000	0.0076188233711191	138	2718	356748	520932
gpC	gpB	chr1	17000001	17100000	0.0018894274213423	244	828	438228	1113612
gpC	gpB	chr1	17100001	17200000	NA	0	NA	NA	NA
gpC	gpB	chr1	17200001	17300000	NA	0	NA	NA	NA
gpC	gpB	chr1	17300001	17400000	0.0	108	0	293784	393096
gpC	gpB	chr1	17400001	17500000	NA	0	NA	NA	NA
gpC	gpB	chr1	17500001	17600000	NA	0	NA	NA	NA
gpC	gpB	chr1	17600001	17700000	0.0	55	0	109596	240204
gpC	gpB	chr1	17700001	17800000	0.0073454583663311	422	15100	2055692	628228
gpC	gpB	chr1	17800001	17900000	0.0029703427436937	306	2316	779708	1166452
gpC	gpB	chr1	17900001	18000000	NA	0	NA	NA	NA
gpC	gpB	chr1	18000001	18100000	0.0057582087953291	241	5590	970788	561972
gpC	gpB	chr1	18100001	18200000	0.0035017281709318	249	2006	572860	1010780
gpC	gpB	chr1	18200001	18300000	NA	0	NA	NA	NA
gpC	gpB	chr1	18300001	18400000	0.0068009956704849	143	2306	339068	570412
gpC	gpB	chr1	18400001	18500000	0.0	620	0	3507860	435340
gpC	gpB	chr1	18500001	18600000	NA	0	NA	NA	NA
gpC	gpB	chr1	18600001	18700000	NA	0	NA	NA	NA
gpC	gpB	chr1	18700001	18800000	0.0042752455439452	555	8394	1963396	1566404
gpC	gpB	chr1	18800001	18900000	0.0009680529360321	397	1470	1518512	1006408
gpC	gpB	chr1	18900001	19000000	0.0053118815041818	519	8320	1566300	1734540
gpC	gpB	chr1	19000001	19100000	0.0063732267318279	1240	35680	5598420	2287980
gpC	gpB	chr1	19100001	19200000	0.0058386107426044	997	19136	3277492	3063428
gpC	gpB	chr1	19200001	19300000	0.0042860189316649	829	14712	3432556	1839884
gpC	gpB	chr1	19300001	19400000	0.0031984524223159	474	6812	2129780	884860
gpC	gpB	chr1	19400001	19500000	0.0048882823320721	968	25044	5123272	1033208
gpC	gpB	chr1	19500001	19600000	0.015188123236781	365	21750	1432040	889360
gpC	gpB	chr1	19600001	19700000	0.0054539831882373	982	20952	3841596	2403924
gpC	gpB	chr1	19700001	19800000	NA	0	NA	NA	NA
gpC	gpB	chr1	19800001	19900000	0.0036006503838223	290	3304	917612	926788
gpC	gpB	chr1	19900001	20000000	NA	0	NA	NA	NA
gpC	gpB	chr1	20000001	20100000	0.0076856408519455	632	24688	3212224	807296
gpC	gpB	chr1	20100001	20200000	0.0013531820311216	887	5338	3944776	1696544
gpC	gpB	chr1	20200001	20300000	0.0	12	0	17988	58332
gpC	gpB	chr1	20300001	20400000	NA	0	NA	NA	NA
gpC	gpB	chr1	20400001	20500000	0.002554909960028	128	744	291204	522876
gpC	gpB	chr1	20500001	20600000	NA	0	NA	NA	NA
gpC	gpB	chr1	20600001	20700000	NA	0	NA	NA	NA
gpC	gpB	chr1	20700001	20800000	NA	0	NA	NA	NA
gpC	gpB	chr1	20800001	20900000	NA	0	NA	NA	NA
gpC	gpB	chr1	20900001	21000000	NA	0	NA	NA	NA
gpC	gpB	chr1	21000001	21100000	0.0049720791346787	961	22046	4433960	1678000
gpC	gpB	chr1	21100001	21200000	NA	0	NA	NA	NA
gpC	gpB	chr1	21200001	21300000	NA	0	NA	NA	NA
gpC	gpB	chr1	21300001	21400000	0.0124465667812572	292	12730	1022772	834348
gpC	gpB	chr1	21400001	21500000	0.0039758892540312	155	1868	469832	515968
gpC	gpB	chr1	21500001	21600000	NA	0	NA	NA	NA
gpC	gpB	chr1	21600001	21700000	0.001627091535433	654	6348	3901440	258000
gpC	gpB	chr1	21700001	21800000	NA	0	NA	NA	NA
gpC	gpB	chr1	21800001	21900000	NA	0	NA	NA	NA
gpC	gpB	chr1	21900001	22000000	0.0038211636965854	729	13604	3560172	1076268
gpC	gpB	chr1	22000001	22100000	0.0053923376881094	1314	35434	6571176	1785864
gpC	gpB	chr1	22100001	22200000	0.000309526405133	485	636	2054752	1029848
gpC	gpB	chr1	22200001	22300000	NA	0	NA	NA	NA
gpC	gpB	chr1	22300001	22400000	0.0	79	0	147472	354968
gpC	gpB	chr1	22400001	22500000	NA	0	NA	NA	NA
gpC	gpB	chr1	22500001	22600000	0.0081043438632062	367	13942	1720312	613808
gpC	gpB	chr1	22600001	22700000	0.0093101038338658	77	1492	160256	329464
gpC	gpB	chr1	22700001	22800000	NA	0	NA	NA	NA
gpC	gpB	chr1	22800001	22900000	0.0054225950525674	1060	24326	4486044	2255556
gpC	gpB	chr1	22900001	23000000	0.0091538147278112	181	4302	469968	681192
gpC	gpB	chr1	23000001	23100000	NA	0	NA	NA	NA
gpC	gpB	chr1	23100001	23200000	NA	0	NA	NA	NA
gpC	gpB	chr1	23200001	23300000	0.0	63	0	104240	296440
gpC	gpB	chr1	23300001	23400000	0.0032226566424096	239	3208	995452	524588
gpC	gpB	chr1	23400001	23500000	0.0093641760094795	469	13150	1404288	1578552
gpC	gpB	chr1	23500001	23600000	0.003483877907559	944	15028	4313584	1690256
gpC	gpB	chr1	23600001	23700000	NA	0	NA	NA	NA
gpC	gpB	chr1	23700001	23800000	0.0	31	0	65028	132132
gpC	gpB	chr1	23800001	23900000	0.0082551187787544	1137	35470	4296728	2934592
gpC	gpB	chr1	23900001	24000000	NA	0	NA	NA	NA
gpC	gpB	chr1	24000001	24100000	NA	0	NA	NA	NA
gpC	gpB	chr1	24100001	24200000	NA	0	NA	NA	NA
gpC	gpB	chr1	24200001	24300000	NA	0	NA	NA	NA
gpC	gpB	chr1	24300001	24400000	0.0083530483711116	1358	41804	5004640	3632240
gpC	gpB	chr1	24400001	24500000	0.0022589644145063	783	4648	2057580	2922300
gpC	gpB	chr1	24500001	24600000	NA	0	NA	NA	NA
gpC	gpB	chr1	24600001	24700000	NA	0	NA	NA	NA
gpC	gpB	chr1	24700001	24800000	0.0027509040422626	375	3618	1315204	1069796
gpC	gpB	chr1	24800001	24900000	NA	0	NA	NA	NA
gpC	gpB	chr1	24900001	25000000	NA	0	NA	NA	NA
gpC	gpB	chr1	25000001	25100000	NA	0	NA	NA	NA
gpC	gpB	chr1	25100001	25200000	0.0092793819950205	315	7976	859540	1143860
gpC	gpB	chr1	25200001	25300000	0.0023100579001636	627	5126	2218992	1768728
gpC	gpB	chr1	25300001	25400000	0.0	117	0	372684	371436
gpC	gpB	chr1	25400001	25500000	0.0028310211197866	1160	15952	5634716	1742884
gpC	gpB	chr1	25500001	25600000	0.0025019102858819	426	3104	1240652	1468708
gpC	gpB	chr1	25600001	25700000	NA	0	NA	NA	NA
gpC	gpB	chr1	25700001	25800000	0.0015178641404443	1421	9916	6532864	2504696
