chromosome	start	end	ID_genes
Super-Scaffold_100020	38904	39689	Pgl_GLEAN_10000654
Super-Scaffold_100020	46306	46622	Pgl_GLEAN_10017101
Super-Scaffold_100020	46401	46613	Pgl_GLEAN_10006566
Super-Scaffold_100020	353087	354021	Pgl_GLEAN_10033732
Super-Scaffold_100020	390084	391802	Pgl_GLEAN_10033733
Super-Scaffold_100020	420233	428909	Pgl_GLEAN_10033734
Super-Scaffold_100020	738782	740155	Pgl_GLEAN_10004401
Super-Scaffold_100020	1068959	1070025	Pgl_GLEAN_10015924
Super-Scaffold_100020	1104483	1105055	Pgl_GLEAN_10033504
Super-Scaffold_100020	1504731	1505414	Pgl_GLEAN_10036839
Super-Scaffold_100020	1537543	1537938	Pgl_GLEAN_10036790
Super-Scaffold_100020	2259497	2259810	Pgl_GLEAN_10037475
Super-Scaffold_100020	2259923	2260411	Pgl_GLEAN_10036615
Super-Scaffold_100020	2288795	2291312	Pgl_GLEAN_10036837
Super-Scaffold_100020	2295090	2295400	Pgl_GLEAN_10036836
Super-Scaffold_100020	2358288	2359838	Pgl_GLEAN_10036835
Super-Scaffold_100020	2446995	2447228	Pgl_GLEAN_10001330
Super-Scaffold_100020	2569253	2569494	Pgl_GLEAN_10000656
Super-Scaffold_100020	2608121	2608414	Pgl_GLEAN_10036834
Super-Scaffold_100020	2635618	2637684	Pgl_GLEAN_10016902
Super-Scaffold_100020	2650415	2651946	Pgl_GLEAN_10002197
Super-Scaffold_100020	2682337	2682565	Pgl_GLEAN_10026722
Super-Scaffold_100020	2697554	2698008	Pgl_GLEAN_10036833
Super-Scaffold_100020	2745023	2745271	Pgl_GLEAN_10036832
Super-Scaffold_100020	2748385	2749174	Pgl_GLEAN_10036831
Super-Scaffold_100020	2756505	2756709	Pgl_GLEAN_10037461
Super-Scaffold_100020	2808214	2810222	Pgl_GLEAN_10036830
Super-Scaffold_100020	2817054	2817545	Pgl_GLEAN_10036615
Super-Scaffold_100020	2855408	2856439	Pgl_GLEAN_10001332
Super-Scaffold_100020	2856560	2858321	Pgl_GLEAN_10036829
Super-Scaffold_100020	2925942	2926475	Pgl_GLEAN_10036828
Super-Scaffold_100020	3281750	3282884	Pgl_GLEAN_10037346
Super-Scaffold_100020	3416315	3416745	Pgl_GLEAN_10000663
Super-Scaffold_100020	3419758	3420189	Pgl_GLEAN_10036825
Super-Scaffold_100020	3421364	3428645	Pgl_GLEAN_10036824
Super-Scaffold_100020	3437019	3437812	Pgl_GLEAN_10005831
Super-Scaffold_100020	3459665	3462489	Pgl_GLEAN_10037279
Super-Scaffold_100020	3474037	3474838	Pgl_GLEAN_10030372
Super-Scaffold_100020	3505376	3505969	Pgl_GLEAN_10024260
Super-Scaffold_100020	3674367	3674765	Pgl_GLEAN_10036823
Super-Scaffold_100020	3676008	3676603	Pgl_GLEAN_10024260
Super-Scaffold_100020	4080570	4081582	Pgl_GLEAN_10026062
Super-Scaffold_100020	4145436	4145714	Pgl_GLEAN_10034633
Super-Scaffold_100020	4148304	4148795	Pgl_GLEAN_10034632
Super-Scaffold_100020	4321916	4322299	Pgl_GLEAN_10008468
Super-Scaffold_100020	4448248	4448886	Pgl_GLEAN_10016451
Super-Scaffold_100020	4588018	4589703	Pgl_GLEAN_10037420
Super-Scaffold_100020	4627069	4627719	Pgl_GLEAN_10037421
Super-Scaffold_100020	4628005	4628381	Pgl_GLEAN_10027397
Super-Scaffold_100020	4678465	4679539	Pgl_GLEAN_10022229
Super-Scaffold_100020	4736586	4736807	Pgl_GLEAN_10028042
Super-Scaffold_100020	4768341	4768976	Pgl_GLEAN_10025286
