pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
gpE	gpA	chr1	1	100000	0.0038647016405264	339	686	177504	196752
gpE	gpA	chr1	100001	200000	0.0030025801065236	1467	2388	795316	824252
gpE	gpA	chr1	200001	300000	NA	0	NA	NA	NA
gpE	gpA	chr1	300001	400000	0.0020710444967745	1306	2160	1042952	398872
gpE	gpA	chr1	400001	500000	0.0035787477441654	1149	2808	784632	483864
gpE	gpA	chr1	500001	600000	0.0041417653903109	765	2506	605056	239504
gpE	gpA	chr1	600001	700000	0.0028424993003078	864	1300	457344	496512
gpE	gpA	chr1	700001	800000	0.0059773458291342	830	3962	662836	253484
gpE	gpA	chr1	800001	900000	0.0053391519097465	501	1522	285064	268040
gpE	gpA	chr1	900001	1000000	NA	0	NA	NA	NA
gpE	gpA	chr1	1000001	1100000	0.0	55	0	23852	36868
gpE	gpA	chr1	1100001	1200000	0.0041340878655665	590	1914	462980	188380
gpE	gpA	chr1	1200001	1300000	NA	0	NA	NA	NA
gpE	gpA	chr1	1300001	1400000	0.0	12	0	3136	10112
gpE	gpA	chr1	1400001	1500000	0.006751179245283	1986	9618	1424640	767904
gpE	gpA	chr1	1500001	1600000	NA	0	NA	NA	NA
gpE	gpA	chr1	1600001	1700000	NA	0	NA	NA	NA
gpE	gpA	chr1	1700001	1800000	0.0065655628223185	1382	7216	1099068	426660
gpE	gpA	chr1	1800001	1900000	0.0070329803271976	1256	6046	859664	526960
gpE	gpA	chr1	1900001	2000000	0.0038166967113772	967	2998	785496	282072
gpE	gpA	chr1	2000001	2100000	NA	0	NA	NA	NA
gpE	gpA	chr1	2100001	2200000	0.0046794394763063	1018	4452	951396	172476
gpE	gpA	chr1	2200001	2300000	NA	0	NA	NA	NA
gpE	gpA	chr1	2300001	2400000	0.0030214370111967	939	2148	710920	325736
gpE	gpA	chr1	2400001	2500000	0.0088920030362937	578	4264	479532	158580
gpE	gpA	chr1	2500001	2600000	0.0030766500014791	526	1248	405636	175068
gpE	gpA	chr1	2600001	2700000	0.0012501573424572	766	874	699112	146552
gpE	gpA	chr1	2700001	2800000	NA	0	NA	NA	NA
gpE	gpA	chr1	2800001	2900000	NA	0	NA	NA	NA
gpE	gpA	chr1	2900001	3000000	0.0059964396139792	1301	6656	1109992	326312
gpE	gpA	chr1	3000001	3100000	0.0032664729219293	1033	1650	505132	635300
gpE	gpA	chr1	3100001	3200000	0.000878294785951	526	372	423548	157156
gpE	gpA	chr1	3200001	3300000	0.0064297532123998	852	2596	403748	536860
gpE	gpA	chr1	3300001	3400000	0.0051576054899365	525	1434	278036	301564
gpE	gpA	chr1	3400001	3500000	0.0032287822878228	127	140	43360	96848
gpE	gpA	chr1	3500001	3600000	0.0	159	0	35240	140296
gpE	gpA	chr1	3600001	3700000	0.0189309576837416	87	884	46696	49352
gpE	gpA	chr1	3700001	3800000	NA	0	NA	NA	NA
gpE	gpA	chr1	3800001	3900000	0.0014352676138221	344	158	110084	269692
gpE	gpA	chr1	3900001	4000000	0.0066804953938136	429	1314	196692	276924
gpE	gpA	chr1	4000001	4100000	NA	0	NA	NA	NA
gpE	gpA	chr1	4100001	4200000	NA	0	NA	NA	NA
gpE	gpA	chr1	4200001	4300000	0.0	17	0	5800	12968
gpE	gpA	chr1	4300001	4400000	0.0085145863672664	278	1450	170296	136616
gpE	gpA	chr1	4400001	4500000	0.0128962536023054	252	1432	111040	167168
gpE	gpA	chr1	4500001	4600000	0.0108455256890098	370	1530	141072	267408
gpE	gpA	chr1	4600001	4700000	0.0	64	0	26880	43776
gpE	gpA	chr1	4700001	4800000	0.0054128361543087	183	504	93112	108920
gpE	gpA	chr1	4800001	4900000	0.0049141876930886	1380	4492	914088	609432
gpE	gpA	chr1	4900001	5000000	0.0040280149735203	504	1868	463752	92664
gpE	gpA	chr1	5000001	5100000	NA	0	NA	NA	NA
gpE	gpA	chr1	5100001	5200000	0.0033336219586111	249	462	138588	136308
gpE	gpA	chr1	5200001	5300000	0.0011385816525699	140	42	36888	117672
gpE	gpA	chr1	5300001	5400000	NA	0	NA	NA	NA
