chromosome	start	end	ID_genes
chr7	128669589	128670337	GLEAN_10017808
chr7	128674150	128674395	GLEAN_10003441
chr7	128712745	128713808	GLEAN_10009412
chr7	128776792	128777889	GLEAN_10017807
chr7	128792041	128792913	GLEAN_10017806
chr7	128891774	128893834	GLEAN_10034471
chr7	128991778	128992902	GLEAN_10001252
chr7	128994119	128995540	GLEAN_10001253
chr7	129062159	129063805	GLEAN_10010243
chr7	129080997	129085766	GLEAN_10010242
chr7	129121591	129121902	GLEAN_10020567
chr7	129152591	129153238	GLEAN_10026122
chr7	129316949	129317945	GLEAN_10013891
chr7	129419244	129419408	GLEAN_10010241
chr7	129470109	129470849	GLEAN_10010240
chr7	129474117	129475255	GLEAN_10033846
chr7	129479320	129482258	GLEAN_10010239
chr7	129508383	129508925	GLEAN_10010238
chr7	129525364	129528415	GLEAN_10010237
chr7	129548377	129551694	GLEAN_10010236
chr7	129659253	129664204	GLEAN_10004412
chr7	129665463	129666526	GLEAN_10004413
chr7	129712483	129720573	GLEAN_10004414
chr7	129726506	129731043	GLEAN_10004415
chr7	129731904	129737953	GLEAN_10004416
chr7	129742367	129748283	GLEAN_10004417
chr7	129750017	129754528	GLEAN_10004418
chr7	129914483	129914716	GLEAN_10004527
chr7	130004435	130005029	GLEAN_10023286
chr7	130023132	130024133	GLEAN_10005704
chr7	130306765	130306998	GLEAN_10033449
chr7	130379045	130379278	GLEAN_10037452
chr7	130390085	130395032	GLEAN_10031018
chr7	130405255	130408379	GLEAN_10031019
chr7	130729347	130729580	GLEAN_10005155
chr7	130751703	130752280	GLEAN_10015295
chr7	130838668	130840285	GLEAN_10031021
chr7	131390030	131390374	GLEAN_10037564
chr7	131409466	131410347	GLEAN_10003448
chr7	131466342	131467088	GLEAN_10031023
chr7	131550189	131551472	GLEAN_10031024
chr7	131795291	131795638	GLEAN_10036826
chr7	131801813	131803016	GLEAN_10004791
chr7	131813701	131814246	GLEAN_10031026
chr7	131819078	131821001	GLEAN_10031027
chr7	131879571	131879975	GLEAN_10031028
chr7	132020092	132022820	GLEAN_10014506
chr7	132142411	132146231	GLEAN_10014505
chr7	132221219	132221503	GLEAN_10014504
chr7	132236853	132237494	GLEAN_10003803
chr7	132472946	132473501	GLEAN_10037491
chr7	132486744	132492734	GLEAN_10014503
chr7	132506163	132512177	GLEAN_10014502
chr7	132522825	132524636	GLEAN_10014501
chr7	132608983	132609986	GLEAN_10029839
chr7	132621160	132621795	GLEAN_10014500
chr7	132644015	132644815	GLEAN_10020021
chr7	132696919	132702710	GLEAN_10016785
chr7	132803651	132803907	GLEAN_10034018
chr7	132810304	132813673	GLEAN_10016786
chr7	132869920	132870622	GLEAN_10016787
chr7	132894110	132902538	GLEAN_10016788
chr7	132945647	132945935	GLEAN_10034400
chr7	132978475	132979551	GLEAN_10034491
chr7	132990641	132990907	GLEAN_10024821
chr7	133051940	133052389	GLEAN_10016789
chr7	133052950	133053486	GLEAN_10016790
chr7	133057542	133057846	GLEAN_10024808
chr7	133134189	133139919	GLEAN_10016791
chr7	133202359	133207824	GLEAN_10016793
chr7	133221490	133221928	GLEAN_10016794
chr7	133296370	133296852	GLEAN_10016795
chr7	133310110	133310772	GLEAN_10016796
chr7	133372469	133373008	GLEAN_10016797
chr7	133375831	133379123	GLEAN_10016798
chr7	133425513	133427127	GLEAN_10016560
chr7	133436940	133437884	GLEAN_10007929
chr7	133438483	133439370	GLEAN_10007928
chr7	133551219	133551478	GLEAN_10034773
chr7	133567632	133580324	GLEAN_10001398
chr7	133611818	133612108	GLEAN_10001399
chr7	133707339	133708526	GLEAN_10000524
chr7	133888456	133888674	GLEAN_10035802
chr7	133897193	133897774	GLEAN_10035801
chr7	134030752	134031455	GLEAN_10035800
chr7	134039819	134040025	GLEAN_10016333
chr7	134138211	134138587	GLEAN_10035799
chr7	134143910	134149687	GLEAN_10035798
chr7	134153696	134153908	GLEAN_10035797
chr7	134160591	134160843	GLEAN_10017195
chr7	134201156	134202066	GLEAN_10035272
chr7	134203047	134203815	GLEAN_10035796
chr7	134231168	134234580	GLEAN_10035795
chr7	134255183	134257372	GLEAN_10035794
chr7	134259740	134261051	GLEAN_10035793
chr7	134261835	134262295	GLEAN_10035792
chr7	134301621	134303147	GLEAN_10035791
chr7	134339342	134340473	GLEAN_10017187
chr7	134344060	134344698	GLEAN_10035790
chr7	134361485	134362072	GLEAN_10035789
chr7	134508011	134513687	GLEAN_10035788
chr7	134549075	134549645	GLEAN_10027493
chr7	134754855	134757072	GLEAN_10036059
chr7	134757780	134758699	GLEAN_10004066
chr7	134774879	134781985	GLEAN_10035787
chr7	134803732	134803965	GLEAN_10001122
chr7	134823797	134824908	GLEAN_10035786
chr7	134915990	134919424	GLEAN_10016335
chr7	135175629	135175862	GLEAN_10035785
chr7	135556607	135557591	GLEAN_10035784
chr7	135664192	135665461	GLEAN_10035783
chr7	135682995	135683300	GLEAN_10035782
