pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
gpC	gpB	chr1	1	100000	-0.0311951963300756	3
gpC	gpB	chr1	100001	200000	-0.0054353901671767	12
gpC	gpB	chr1	300001	400000	-0.0167857662297017	10
gpC	gpB	chr1	400001	500000	-0.0094923076142445	9
gpC	gpB	chr1	500001	600000	0.0221214401996958	10
gpC	gpB	chr1	600001	700000	0.0031779773501657	10
gpC	gpB	chr1	700001	800000	0.002911271597703	14
gpC	gpB	chr1	800001	900000	-0.0155379696828666	9
gpC	gpB	chr1	1100001	1200000	-0.0067421723619461	11
gpC	gpB	chr1	1400001	1500000	-0.0007170253383329	38
gpC	gpB	chr1	1700001	1800000	-0.0091957165685988	21
gpC	gpB	chr1	1800001	1900000	0.00246695769243	25
gpC	gpB	chr1	1900001	2000000	-0.0065691703974085	12
gpC	gpB	chr1	2100001	2200000	-0.0022797603575365	19
gpC	gpB	chr1	2300001	2400000	-0.0112757024391327	13
gpC	gpB	chr1	2400001	2500000	-0.001484409416118	17
gpC	gpB	chr1	2500001	2600000	-0.0154419440021937	11
gpC	gpB	chr1	2600001	2700000	0.0067902768741072	3
gpC	gpB	chr1	2900001	3000000	-0.0042720739236567	24
gpC	gpB	chr1	3000001	3100000	0.0030020452775897	10
gpC	gpB	chr1	3100001	3200000	-0.0088042944092313	3
gpC	gpB	chr1	3200001	3300000	-0.0196751423061177	12
gpC	gpB	chr1	3300001	3400000	-0.0083979469534995	9
gpC	gpB	chr1	3400001	3500000	-0.0203945732213954	3
gpC	gpB	chr1	3600001	3700000	0.066761506417136	6
gpC	gpB	chr1	3800001	3900000	-0.0091542440591695	2
gpC	gpB	chr1	3900001	4000000	-0.0005074891506265	9
gpC	gpB	chr1	4300001	4400000	0.0053164677016914	6
gpC	gpB	chr1	4400001	4500000	-0.0023672576527123	7
gpC	gpB	chr1	4500001	4600000	-0.0122496393954416	13
gpC	gpB	chr1	4700001	4800000	0.0114461186890982	2
gpC	gpB	chr1	4800001	4900000	0.002053814444619	20
gpC	gpB	chr1	4900001	5000000	-0.0058840133140532	7
gpC	gpB	chr1	5100001	5200000	-0.0227994570580958	2
gpC	gpB	chr1	5200001	5300000	0.0284706435212365	1
gpC	gpB	chr1	5400001	5500000	-0.0188457623136958	1
gpC	gpB	chr1	5500001	5600000	-0.0137708064995451	10
gpC	gpB	chr1	5700001	5800000	-0.0081277703772989	1
gpC	gpB	chr1	5900001	6000000	-0.0046028002907761	11
gpC	gpB	chr1	6000001	6100000	0.0188198222483862	1
gpC	gpB	chr1	6300001	6400000	-0.013515512650425	3
gpC	gpB	chr1	6400001	6500000	-0.0013682132374894	30
gpC	gpB	chr1	6700001	6800000	0.0038441245475944	24
gpC	gpB	chr1	6800001	6900000	0.0141164902146553	4
gpC	gpB	chr1	7100001	7200000	-0.0117642870239168	1
gpC	gpB	chr1	7300001	7400000	-0.0234753877137454	1
gpC	gpB	chr1	7700001	7800000	-0.0110917079498507	3
gpC	gpB	chr1	8100001	8200000	-0.0110131943177318	6
gpC	gpB	chr1	8500001	8600000	-0.0038762645998937	13
gpC	gpB	chr1	8600001	8700000	-0.0011007491564113	3
gpC	gpB	chr1	8700001	8800000	-0.0102094963491077	4
gpC	gpB	chr1	8800001	8900000	0.008371608381171	26
gpC	gpB	chr1	9200001	9300000	0.0789504118671069	19
gpC	gpB	chr1	9700001	9800000	-0.0003645730584	5
gpC	gpB	chr1	9900001	10000000	-0.0034178868109305	1
gpC	gpB	chr1	10000001	10100000	-0.0060502333421248	3
gpC	gpB	chr1	10200001	10300000	-0.0113849480096284	9
gpC	gpB	chr1	10300001	10400000	0.003614111844158	10
gpC	gpB	chr1	10500001	10600000	0.0041023933502677	5
gpC	gpB	chr1	10600001	10700000	-0.0088898057246703	4
gpC	gpB	chr1	10800001	10900000	-0.0080916218733078	1
gpC	gpB	chr1	11100001	11200000	-0.0214321840216907	1
gpC	gpB	chr1	11200001	11300000	0.0280285751253565	12
gpC	gpB	chr1	11700001	11800000	-0.0118125150702488	11
gpC	gpB	chr1	11900001	12000000	0.0380090703438611	4
gpC	gpB	chr1	12000001	12100000	0.0118781471878278	16
gpC	gpB	chr1	12100001	12200000	-0.0011924372879016	29
gpC	gpB	chr1	12200001	12300000	0.0222605108404576	19
gpC	gpB	chr1	12600001	12700000	0.0402317023232867	15
gpC	gpB	chr1	12900001	13000000	0.0103037240938269	5
gpC	gpB	chr1	13000001	13100000	0.0042233683885849	5
gpC	gpB	chr1	13100001	13200000	0.0049766292674159	4
gpC	gpB	chr1	13200001	13300000	0.0054844100817616	3
gpC	gpB	chr1	13400001	13500000	-0.0015685064189587	43
gpC	gpB	chr1	13500001	13600000	0.0005217750432853	9
gpC	gpB	chr1	13600001	13700000	0.005190151809825	2
