pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
gpC	gpA	chr1	1	100000	0.0028041650536513	339	1130	402972	532668
gpC	gpA	chr1	100001	200000	0.0025668515349566	1467	5478	2134132	1914788
gpC	gpA	chr1	200001	300000	NA	0	NA	NA	NA
gpC	gpA	chr1	300001	400000	0.0021758557152961	1306	5980	2748344	856216
gpC	gpA	chr1	400001	500000	0.0031930185003549	1149	6602	2067636	1103604
gpC	gpA	chr1	500001	600000	0.0032137437138577	765	5184	1613072	498328
gpC	gpA	chr1	600001	700000	0.0025168182866676	864	3186	1265884	1118756
gpC	gpA	chr1	700001	800000	0.0065076953529682	830	10126	1556004	734796
gpC	gpA	chr1	800001	900000	0.0047136092702773	501	3508	744228	638532
gpC	gpA	chr1	900001	1000000	NA	0	NA	NA	NA
gpC	gpA	chr1	1000001	1100000	0.0	55	0	36868	114932
gpC	gpA	chr1	1100001	1200000	0.0036891170211342	590	4410	1195408	432992
gpC	gpA	chr1	1200001	1300000	NA	0	NA	NA	NA
gpC	gpA	chr1	1300001	1400000	0.0	12	0	8524	24596
gpC	gpA	chr1	1400001	1500000	0.0061302277467097	1986	20670	3371816	2109544
gpC	gpA	chr1	1500001	1600000	NA	0	NA	NA	NA
gpC	gpA	chr1	1600001	1700000	NA	0	NA	NA	NA
gpC	gpA	chr1	1700001	1800000	0.0063087669932142	1382	17434	2763456	1050864
gpC	gpA	chr1	1800001	1900000	0.0069298398791311	1256	14604	2107408	1359152
gpC	gpA	chr1	1900001	2000000	0.0039211130151906	967	7560	1928024	740896
gpC	gpA	chr1	2000001	2100000	NA	0	NA	NA	NA
gpC	gpA	chr1	2100001	2200000	0.0038945405422769	1018	9214	2365876	443804
gpC	gpA	chr1	2200001	2300000	NA	0	NA	NA	NA
gpC	gpA	chr1	2300001	2400000	0.0027873255811499	939	5284	1895724	695916
gpC	gpA	chr1	2400001	2500000	0.0094893035584032	578	11084	1168052	427228
gpC	gpA	chr1	2500001	2600000	0.0025485004534266	526	2518	988032	463728
gpC	gpA	chr1	2600001	2700000	0.0011637622344234	766	2028	1742624	371536
gpC	gpA	chr1	2700001	2800000	NA	0	NA	NA	NA
gpC	gpA	chr1	2800001	2900000	NA	0	NA	NA	NA
gpC	gpA	chr1	2900001	3000000	0.0061004173409419	1301	17190	2817840	772920
gpC	gpA	chr1	3000001	3100000	0.0028626719918024	1033	3710	1295992	1555088
gpC	gpA	chr1	3100001	3200000	0.0009711792835804	526	1000	1029676	422084
gpC	gpA	chr1	3200001	3300000	0.0061703658699483	852	5728	928308	1423212
gpC	gpA	chr1	3300001	3400000	0.0052961345361035	525	5190	979960	469040
gpC	gpA	chr1	3400001	3500000	0.0059127361696343	127	870	147140	203380
gpC	gpA	chr1	3500001	3600000	0.0	159	0	114564	324276
gpC	gpA	chr1	3600001	3700000	0.0111069821214748	87	1076	96876	143244
gpC	gpA	chr1	3700001	3800000	NA	0	NA	NA	NA
gpC	gpA	chr1	3800001	3900000	0.0017919741955715	344	640	357148	592292
gpC	gpA	chr1	3900001	4000000	0.0065180007766128	429	3290	504756	679284
gpC	gpA	chr1	4000001	4100000	NA	0	NA	NA	NA
gpC	gpA	chr1	4100001	4200000	NA	0	NA	NA	NA
gpC	gpA	chr1	4200001	4300000	0.0	17	0	12220	34700
gpC	gpA	chr1	4300001	4400000	0.0078258544844738	278	3864	493748	273532
gpC	gpA	chr1	4400001	4500000	0.0130703842230533	252	3844	294100	401420
gpC	gpA	chr1	4500001	4600000	0.0111047473590428	370	3490	314280	706920
gpC	gpA	chr1	4600001	4700000	0.0	64	0	67696	108944
gpC	gpA	chr1	4700001	4800000	0.0053985167354018	183	1220	225988	279092
gpC	gpA	chr1	4800001	4900000	0.0055186384670576	1380	13414	2430672	1378128
gpC	gpA	chr1	4900001	5000000	0.0054726976499786	504	6624	1210372	180668
gpC	gpA	chr1	5000001	5100000	NA	0	NA	NA	NA
gpC	gpA	chr1	5100001	5200000	0.0034010734901934	249	806	236984	450256
gpC	gpA	chr1	5200001	5300000	0.001161846636244	140	166	142876	243524
gpC	gpA	chr1	5300001	5400000	NA	0	NA	NA	NA
gpC	gpA	chr1	5400001	5500000	0.0044528769457136	118	690	154956	170724
gpC	gpA	chr1	5500001	5600000	0.0036177138996376	604	3534	976860	690180
gpC	gpA	chr1	5600001	5700000	NA	0	NA	NA	NA
gpC	gpA	chr1	5700001	5800000	0.0014981316077287	345	526	351104	601096
gpC	gpA	chr1	5800001	5900000	0.0	221	0	280792	329168
gpC	gpA	chr1	5900001	6000000	0.0052964062116172	585	6382	1204968	409632
gpC	gpA	chr1	6000001	6100000	0.0040258711721224	92	244	60608	193312
gpC	gpA	chr1	6100001	6200000	0.0	21	0	14508	43452
gpC	gpA	chr1	6200001	6300000	NA	0	NA	NA	NA
gpC	gpA	chr1	6300001	6400000	0.0021256781224792	624	2456	1155396	566844
gpC	gpA	chr1	6400001	6500000	0.0067577186427966	1277	15570	2304032	1220488
gpC	gpA	chr1	6500001	6600000	NA	0	NA	NA	NA
gpC	gpA	chr1	6600001	6700000	0.0	335	0	477312	447288
gpC	gpA	chr1	6700001	6800000	0.0091759888864517	943	15562	1695948	906732
gpC	gpA	chr1	6800001	6900000	0.0034088773630999	356	1814	532140	450420
gpC	gpA	chr1	6900001	7000000	NA	0	NA	NA	NA
gpC	gpA	chr1	7000001	7100000	NA	0	NA	NA	NA
gpC	gpA	chr1	7100001	7200000	0.0012357002726184	118	194	156996	168684
gpC	gpA	chr1	7200001	7300000	NA	0	NA	NA	NA
gpC	gpA	chr1	7300001	7400000	0.0075112669003505	66	360	47928	134232
gpC	gpA	chr1	7400001	7500000	NA	0	NA	NA	NA
gpC	gpA	chr1	7500001	7600000	0.0	87	0	116544	123576
gpC	gpA	chr1	7600001	7700000	NA	0	NA	NA	NA
gpC	gpA	chr1	7700001	7800000	0.0018884906121727	543	1452	768868	729812
gpC	gpA	chr1	7800001	7900000	NA	0	NA	NA	NA
gpC	gpA	chr1	7900001	8000000	NA	0	NA	NA	NA
gpC	gpA	chr1	8000001	8100000	NA	0	NA	NA	NA
gpC	gpA	chr1	8100001	8200000	0.0223787759958893	104	3310	147908	139132
gpC	gpA	chr1	8200001	8300000	NA	0	NA	NA	NA
gpC	gpA	chr1	8300001	8400000	NA	0	NA	NA	NA
gpC	gpA	chr1	8400001	8500000	NA	0	NA	NA	NA
gpC	gpA	chr1	8500001	8600000	0.004272983443574	918	9256	2166168	367512
gpC	gpA	chr1	8600001	8700000	0.0013143024358741	433	1042	792816	402264
gpC	gpA	chr1	8700001	8800000	0.0026346486464743	580	2096	795552	805248
gpC	gpA	chr1	8800001	8900000	0.0055847945923025	1365	13434	2405460	1361940
gpC	gpA	chr1	8900001	9000000	NA	0	NA	NA	NA
gpC	gpA	chr1	9000001	9100000	NA	0	NA	NA	NA
gpC	gpA	chr1	9100001	9200000	NA	0	NA	NA	NA
gpC	gpA	chr1	9200001	9300000	0.0025657472738935	1692	7376	2874796	1795124
gpC	gpA	chr1	9300001	9400000	NA	0	NA	NA	NA
gpC	gpA	chr1	9400001	9500000	0.0	158	0	215124	220956
gpC	gpA	chr1	9500001	9600000	NA	0	NA	NA	NA
gpC	gpA	chr1	9600001	9700000	NA	0	NA	NA	NA
gpC	gpA	chr1	9700001	9800000	0.0030730835133725	528	3300	1073840	383440
gpC	gpA	chr1	9800001	9900000	NA	0	NA	NA	NA
gpC	gpA	chr1	9900001	10000000	0.0007778146519538	693	1350	1735632	177048
gpC	gpA	chr1	10000001	10100000	0.0116866931596397	116	1988	170108	150052
gpC	gpA	chr1	10100001	10200000	NA	0	NA	NA	NA
gpC	gpA	chr1	10200001	10300000	0.0040468164883797	482	3376	834236	496084
gpC	gpA	chr1	10300001	10400000	0.0022867171953486	1110	5024	2197036	866564
gpC	gpA	chr1	10400001	10500000	NA	0	NA	NA	NA
gpC	gpA	chr1	10500001	10600000	0.0035454751901896	336	2498	704560	222800
gpC	gpA	chr1	10600001	10700000	0.0046273082037977	229	1698	366952	265088
gpC	gpA	chr1	10700001	10800000	NA	0	NA	NA	NA
gpC	gpA	chr1	10800001	10900000	0.0025657718377819	84	268	104452	127388
gpC	gpA	chr1	10900001	11000000	NA	0	NA	NA	NA
gpC	gpA	chr1	11000001	11100000	NA	0	NA	NA	NA
gpC	gpA	chr1	11100001	11200000	0.0053675325739572	82	524	97624	128696
gpC	gpA	chr1	11200001	11300000	0.0072670234822475	578	6968	958852	636428
gpC	gpA	chr1	11300001	11400000	NA	0	NA	NA	NA
gpC	gpA	chr1	11400001	11500000	NA	0	NA	NA	NA
gpC	gpA	chr1	11500001	11600000	NA	0	NA	NA	NA
gpC	gpA	chr1	11600001	11700000	NA	0	NA	NA	NA
gpC	gpA	chr1	11700001	11800000	0.0053801447967658	682	6058	1125992	756328
gpC	gpA	chr1	11800001	11900000	NA	0	NA	NA	NA
gpC	gpA	chr1	11900001	12000000	0.0032567447656087	452	2070	635604	611916
gpC	gpA	chr1	12000001	12100000	0.0037523734093295	1095	8490	2262568	759632
gpC	gpA	chr1	12100001	12200000	0.0055957512616623	1723	22868	4086672	668808
gpC	gpA	chr1	12200001	12300000	0.0096268477875086	762	12694	1318604	784516
gpC	gpA	chr1	12300001	12400000	0.0	472	0	636424	666296
gpC	gpA	chr1	12400001	12500000	0.0	13	0	9780	26100
gpC	gpA	chr1	12500001	12600000	NA	0	NA	NA	NA
gpC	gpA	chr1	12600001	12700000	0.0028202370873487	1404	7102	2518228	1356812
gpC	gpA	chr1	12700001	12800000	NA	0	NA	NA	NA
gpC	gpA	chr1	12800001	12900000	0.0	585	0	1195660	418940
gpC	gpA	chr1	12900001	13000000	0.0141814365115335	132	2378	167684	196636
gpC	gpA	chr1	13000001	13100000	0.0035182543525583	564	3226	916932	639708
gpC	gpA	chr1	13100001	13200000	0.0013853281032887	792	1982	1430708	755212
gpC	gpA	chr1	13200001	13300000	0.0005124592388743	1647	1740	3395392	1150328
gpC	gpA	chr1	13300001	13400000	0.0	274	0	344404	411836
gpC	gpA	chr1	13400001	13500000	0.0068221469380663	1644	26074	3821964	715476
gpC	gpA	chr1	13500001	13600000	0.0042358354160559	487	3410	805036	539084
gpC	gpA	chr1	13600001	13700000	0.0028860569715142	80	154	53360	167440
gpC	gpA	chr1	13700001	13800000	NA	0	NA	NA	NA
gpC	gpA	chr1	13800001	13900000	NA	0	NA	NA	NA
gpC	gpA	chr1	13900001	14000000	NA	0	NA	NA	NA
gpC	gpA	chr1	14000001	14100000	NA	0	NA	NA	NA
gpC	gpA	chr1	14100001	14200000	NA	0	NA	NA	NA
gpC	gpA	chr1	14200001	14300000	0.0051914703583789	470	3534	680732	616468
gpC	gpA	chr1	14300001	14400000	NA	0	NA	NA	NA
gpC	gpA	chr1	14400001	14500000	0.014743301900913	352	9850	668100	303420
gpC	gpA	chr1	14500001	14600000	0.0067041960935699	582	9656	1440292	166028
gpC	gpA	chr1	14600001	14700000	0.0030403387806069	80	224	73676	147124
gpC	gpA	chr1	14700001	14800000	NA	0	NA	NA	NA
