chromosome	start	end	ID_genes
Super-Scaffold_100015	457634	458044	Pgl_GLEAN_10023151
Super-Scaffold_100015	575226	575796	Pgl_GLEAN_10027493
Super-Scaffold_100015	576322	576742	Pgl_GLEAN_10027494
Super-Scaffold_100015	827263	828037	Pgl_GLEAN_10004297
Super-Scaffold_100015	827363	828000	Pgl_GLEAN_10015489
Super-Scaffold_100015	830346	830851	Pgl_GLEAN_10016991
Super-Scaffold_100015	851512	851802	Pgl_GLEAN_10023153
Super-Scaffold_100015	1040128	1045144	Pgl_GLEAN_10023155
Super-Scaffold_100015	1058108	1058950	Pgl_GLEAN_10023156
Super-Scaffold_100015	1090482	1090844	Pgl_GLEAN_10011986
Super-Scaffold_100015	1206985	1207209	Pgl_GLEAN_10008463
Super-Scaffold_100015	1219840	1220336	Pgl_GLEAN_10023158
Super-Scaffold_100015	1674628	1675213	Pgl_GLEAN_10033724
Super-Scaffold_100015	1678849	1679160	Pgl_GLEAN_10033725
Super-Scaffold_100015	1729090	1729392	Pgl_GLEAN_10033727
Super-Scaffold_100015	1739987	1742300	Pgl_GLEAN_10033728
Super-Scaffold_100015	2011860	2012093	Pgl_GLEAN_10038152
Super-Scaffold_100015	2074688	2084914	Pgl_GLEAN_10009783
Super-Scaffold_100015	2098453	2101575	Pgl_GLEAN_10009782
Super-Scaffold_100015	2122566	2123423	Pgl_GLEAN_10020609
Super-Scaffold_100015	2224873	2225775	Pgl_GLEAN_10009781
Super-Scaffold_100015	2229795	2230180	Pgl_GLEAN_10009780
Super-Scaffold_100015	2304226	2304843	Pgl_GLEAN_10009779
Super-Scaffold_100015	2375810	2376044	Pgl_GLEAN_10001617
Super-Scaffold_100015	2386467	2386751	Pgl_GLEAN_10006906
Super-Scaffold_100015	2433734	2434447	Pgl_GLEAN_10025878
Super-Scaffold_100015	2443847	2448173	Pgl_GLEAN_10009778
Super-Scaffold_100015	2895751	2895984	Pgl_GLEAN_10018868
Super-Scaffold_100015	3072489	3073202	Pgl_GLEAN_10035064
Super-Scaffold_100015	3436967	3437680	Pgl_GLEAN_10025878
Super-Scaffold_100015	4112097	4115543	Pgl_GLEAN_10016335
Super-Scaffold_100015	4141985	4142764	Pgl_GLEAN_10029829
Super-Scaffold_100015	4144164	4144658	Pgl_GLEAN_10025767
Super-Scaffold_100015	4160482	4160874	Pgl_GLEAN_10019125
Super-Scaffold_100015	4166554	4170491	Pgl_GLEAN_10036819
Super-Scaffold_100015	4171371	4171832	Pgl_GLEAN_10036820
Super-Scaffold_100015	4285005	4285355	Pgl_GLEAN_10036821
Super-Scaffold_100015	4355755	4358619	Pgl_GLEAN_10036822
Super-Scaffold_100015	4562097	4562342	Pgl_GLEAN_10037128
Super-Scaffold_100015	4644898	4645707	Pgl_GLEAN_10013592
Super-Scaffold_100015	4689475	4690101	Pgl_GLEAN_10034637
Super-Scaffold_100015	4690395	4691784	Pgl_GLEAN_10016739
Super-Scaffold_100015	4744755	4746106	Pgl_GLEAN_10034638
Super-Scaffold_100015	4750513	4751022	Pgl_GLEAN_10034639
Super-Scaffold_100015	4962077	4962489	Pgl_GLEAN_10011383
Super-Scaffold_100015	5114491	5115315	Pgl_GLEAN_10036644
Super-Scaffold_100015	5387968	5388384	Pgl_GLEAN_10010106
Super-Scaffold_100015	5478198	5479148	Pgl_GLEAN_10031715
Super-Scaffold_100015	5539744	5539977	Pgl_GLEAN_10001330
Super-Scaffold_100015	5680634	5681042	Pgl_GLEAN_10008645
Super-Scaffold_100015	5823057	5823320	Pgl_GLEAN_10006231
Super-Scaffold_100015	6319235	6319507	Pgl_GLEAN_10030912
Super-Scaffold_100015	6351463	6353934	Pgl_GLEAN_10037458
Super-Scaffold_100015	6468169	6468868	Pgl_GLEAN_10030528
Super-Scaffold_100015	6538427	6538687	Pgl_GLEAN_10010410
Super-Scaffold_100015	6665263	6665829	Pgl_GLEAN_10006543
Super-Scaffold_100015	6721678	6722054	Pgl_GLEAN_10000282
Super-Scaffold_100015	6722459	6723058	Pgl_GLEAN_10008687
Super-Scaffold_100015	6735446	6736041	Pgl_GLEAN_10023286
Super-Scaffold_100015	6776463	6777596	Pgl_GLEAN_10024763
Super-Scaffold_100015	7398425	7400264	Pgl_GLEAN_10024766
Super-Scaffold_100015	7618686	7619028	Pgl_GLEAN_10001823
Super-Scaffold_100015	7786614	7787392	Pgl_GLEAN_10021136
Super-Scaffold_100015	7787802	7788935	Pgl_GLEAN_10020385
Super-Scaffold_100015	8100646	8101054	Pgl_GLEAN_10026069
Super-Scaffold_100015	8188988	8200098	Pgl_GLEAN_10013946
Super-Scaffold_100015	8275540	8276327	Pgl_GLEAN_10030455
Super-Scaffold_100015	8360406	8360831	Pgl_GLEAN_10008566
Super-Scaffold_100015	8360913	8361776	Pgl_GLEAN_10018441
Super-Scaffold_100015	8390068	8393339	Pgl_GLEAN_10013945
Super-Scaffold_100015	8395060	8403926	Pgl_GLEAN_10013944
Super-Scaffold_100015	8479168	8479865	Pgl_GLEAN_10022399
Super-Scaffold_100015	8803995	8804504	Pgl_GLEAN_10021436
Super-Scaffold_100015	9868519	9869507	Pgl_GLEAN_10016935
Super-Scaffold_100015	9975410	9975895	Pgl_GLEAN_10001222
Super-Scaffold_100015	10024824	10026504	Pgl_GLEAN_10033523
Super-Scaffold_100015	10056683	10057802	Pgl_GLEAN_10033522
Super-Scaffold_100015	10101969	10102232	Pgl_GLEAN_10033827
Super-Scaffold_100015	10105476	10110606	Pgl_GLEAN_10033521
Super-Scaffold_100015	10157230	10158012	Pgl_GLEAN_10019160
Super-Scaffold_100015	10165553	10165774	Pgl_GLEAN_10017630
Super-Scaffold_100015	10294925	10295535	Pgl_GLEAN_10037090
Super-Scaffold_100015	10296307	10296540	Pgl_GLEAN_10011412
Super-Scaffold_100015	10337946	10339150	Pgl_GLEAN_10033519
Super-Scaffold_100015	10357897	10358664	Pgl_GLEAN_10029991
Super-Scaffold_100015	10376511	10376951	Pgl_GLEAN_10034756
Super-Scaffold_100015	10397473	10397867	Pgl_GLEAN_10019125
Super-Scaffold_100015	10409561	10411041	Pgl_GLEAN_10017805
Super-Scaffold_100015	10433502	10434250	Pgl_GLEAN_10033518
Super-Scaffold_100015	10509620	10510042	Pgl_GLEAN_10000915
Super-Scaffold_100015	10570677	10571677	Pgl_GLEAN_10033517
Super-Scaffold_100015	10576372	10577337	Pgl_GLEAN_10033516
Super-Scaffold_100015	10597708	10597980	Pgl_GLEAN_10012955
Super-Scaffold_100015	10620019	10621529	Pgl_GLEAN_10033515
Super-Scaffold_100015	10632143	10635089	Pgl_GLEAN_10033514
Super-Scaffold_100015	10664900	10666842	Pgl_GLEAN_10033513
Super-Scaffold_100015	10753592	10759334	Pgl_GLEAN_10033512
Super-Scaffold_100015	10792299	10792730	Pgl_GLEAN_10033511
Super-Scaffold_100015	10809776	10810780	Pgl_GLEAN_10033510
Super-Scaffold_100015	10842952	10843383	Pgl_GLEAN_10023386
Super-Scaffold_100015	10844938	10845366	Pgl_GLEAN_10033511
Super-Scaffold_100015	10845919	10846345	Pgl_GLEAN_10034487
Super-Scaffold_100015	10948390	10949424	Pgl_GLEAN_10033509
Super-Scaffold_100015	11601384	11601958	Pgl_GLEAN_10035100
Super-Scaffold_100015	11611532	11612115	Pgl_GLEAN_10014117
Super-Scaffold_100015	11624222	11624815	Pgl_GLEAN_10033503
Super-Scaffold_100015	11628024	11629791	Pgl_GLEAN_10033502
Super-Scaffold_100015	11691809	11692589	Pgl_GLEAN_10021136
Super-Scaffold_100015	12536189	12537554	Pgl_GLEAN_10006299
Super-Scaffold_100015	12722222	12722935	Pgl_GLEAN_10025878
Super-Scaffold_100015	12728000	12729137	Pgl_GLEAN_10020385
Super-Scaffold_100015	12793345	12793994	Pgl_GLEAN_10034323
Super-Scaffold_100015	13025770	13027274	Pgl_GLEAN_10000774
Super-Scaffold_100015	13051375	13052743	Pgl_GLEAN_10001179
Super-Scaffold_100015	13183747	13184145	Pgl_GLEAN_10010025
Super-Scaffold_100015	13273776	13274570	Pgl_GLEAN_10012393
Super-Scaffold_100015	13294968	13295198	Pgl_GLEAN_10031230
Super-Scaffold_100015	13540745	13541503	Pgl_GLEAN_10012459
Super-Scaffold_100015	13542452	13542777	Pgl_GLEAN_10009064
Super-Scaffold_100015	13637053	13637286	Pgl_GLEAN_10018868
Super-Scaffold_100015	13743801	13744512	Pgl_GLEAN_10006651
Super-Scaffold_100015	13915763	13917131	Pgl_GLEAN_10001179
Super-Scaffold_100015	14195547	14195954	Pgl_GLEAN_10008645
Super-Scaffold_100015	14297121	14298325	Pgl_GLEAN_10017474
Super-Scaffold_100015	14561600	14562011	Pgl_GLEAN_10011383
