pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
gpE	gpC	chr1	1	100000	0.0029781339665578	339	602	202140	286020
gpE	gpC	chr1	100001	200000	0.0023375241487563	1467	2478	1060096	1052384
gpE	gpC	chr1	200001	300000	NA	0	NA	NA	NA
gpE	gpC	chr1	300001	400000	0.0020443148931849	1306	2738	1339324	541316
gpE	gpC	chr1	400001	500000	0.0036128642461156	1149	3540	979832	674728
gpE	gpC	chr1	500001	600000	0.0038792127364202	765	3152	812536	289064
gpE	gpC	chr1	600001	700000	0.002421720225384	864	1506	621872	622288
gpE	gpC	chr1	700001	800000	0.0060194520222986	830	4872	809376	385824
gpE	gpC	chr1	800001	900000	0.0053404196264276	501	2078	389108	332332
gpE	gpC	chr1	900001	1000000	NA	0	NA	NA	NA
gpE	gpC	chr1	1000001	1100000	0.0	55	0	31596	47604
gpE	gpC	chr1	1100001	1200000	0.0035388863029159	590	2220	627316	222284
gpE	gpC	chr1	1200001	1300000	NA	0	NA	NA	NA
gpE	gpC	chr1	1300001	1400000	0.0	12	0	7012	10268
gpE	gpC	chr1	1400001	1500000	0.0066915665259283	1986	12362	1847400	1012440
gpE	gpC	chr1	1500001	1600000	NA	0	NA	NA	NA
gpE	gpC	chr1	1600001	1700000	NA	0	NA	NA	NA
gpE	gpC	chr1	1700001	1800000	0.0067260796564288	1382	9422	1400816	589264
gpE	gpC	chr1	1800001	1900000	0.0068276690238834	1256	7164	1049260	759380
gpE	gpC	chr1	1900001	2000000	0.0037308752180053	967	3688	988508	403972
gpE	gpC	chr1	2000001	2100000	NA	0	NA	NA	NA
gpE	gpC	chr1	2100001	2200000	0.0047041803688234	1018	5762	1224868	241052
gpE	gpC	chr1	2200001	2300000	NA	0	NA	NA	NA
gpE	gpC	chr1	2300001	2400000	0.0027780481302657	939	2626	945268	406892
gpE	gpC	chr1	2400001	2500000	0.0092528660760812	578	5682	614080	218240
gpE	gpC	chr1	2500001	2600000	0.0033578251285819	526	1828	544400	213040
gpE	gpC	chr1	2600001	2700000	0.001169064351478	766	1060	906708	196332
gpE	gpC	chr1	2700001	2800000	NA	0	NA	NA	NA
gpE	gpC	chr1	2800001	2900000	NA	0	NA	NA	NA
gpE	gpC	chr1	2900001	3000000	0.005992229824646	1301	8446	1409492	463948
gpE	gpC	chr1	3000001	3100000	0.0036038130667286	1033	2294	636548	850972
gpE	gpC	chr1	3100001	3200000	0.0007214299722634	526	412	571088	186352
gpE	gpC	chr1	3200001	3300000	0.0063318907181843	852	3406	537912	688968
gpE	gpC	chr1	3300001	3400000	0.004750593824228	525	1856	390688	365312
gpE	gpC	chr1	3400001	3500000	0.0029426363185137	127	166	56412	126468
gpE	gpC	chr1	3500001	3600000	0.0	159	0	43004	185956
gpE	gpC	chr1	3600001	3700000	0.0160044559970293	87	862	53860	71420
gpE	gpC	chr1	3700001	3800000	NA	0	NA	NA	NA
gpE	gpC	chr1	3800001	3900000	0.0014741878059635	344	212	143808	351552
gpE	gpC	chr1	3900001	4000000	0.0066231929604022	429	1686	254560	363200
gpE	gpC	chr1	4000001	4100000	NA	0	NA	NA	NA
gpE	gpC	chr1	4100001	4200000	NA	0	NA	NA	NA
gpE	gpC	chr1	4200001	4300000	0.0	17	0	7368	17112
gpE	gpC	chr1	4300001	4400000	0.0083657328946931	278	2014	240744	159576
gpE	gpC	chr1	4400001	4500000	0.0134733320944062	252	2030	150668	212212
gpE	gpC	chr1	4500001	4600000	0.0101834604435384	370	2318	227624	305176
gpE	gpC	chr1	4600001	4700000	0.0	64	0	39140	53020
