chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'chr1'	0	16931000	852	1.0731013638672164e-08	8.44305105261604e-09	1.1782600189842821e-08
b'chr1'	16931000	33862000	747	9.812844368643871e-09	7.524881782587747e-09	1.0864430919814528e-08
b'chr1'	33862000	50793000	916	1.0090728986639818e-08	7.802766400583694e-09	1.1142315537810475e-08
b'chr1'	50793000	67724000	786	1.0017943717989168e-08	7.729981131933042e-09	1.1069530269159825e-08
b'chr1'	67724000	84655000	594	5.604198521224604e-09	2.401268833084871e-09	7.612300072933876e-09
b'chr1'	84655000	101586000	510	6.833470835266274e-10	0	2.1101575533000686e-09
b'chr1'	101586000	118517000	163	0	0	1.452431369619589e-09
b'chr1'	118517000	135448000	201	3.384818831170283e-09	1.1508206669341988e-09	6.328703278496467e-09
b'chr1'	135448000	152379000	234	4.9735010491102276e-11	0	1.5021663801106912e-09
b'chr1'	152379000	169310000	210	3.973661554149802e-09	1.537652526321213e-09	6.507060433717075e-09
b'chr1'	169310000	186241000	701	3.6994537906107982e-09	1.153362752608169e-09	6.506894759199335e-09
b'chr1'	186241000	203172000	485	4.624501514337607e-09	1.8438673580745448e-09	7.049892868759043e-09
b'chr1'	203172000	220103000	416	9.195107154780982e-09	6.55577808836925e-09	1.0302986209943168e-08
b'chr1'	220103000	237034000	439	9.442625058448003e-10	7.506253828783414e-11	2.977775291782019e-09
b'chr1'	237034000	253965000	589	7.0533135113019244e-09	4.138168752382627e-09	8.494299064404715e-09
b'chr1'	253965000	270896000	1130	8.497329516778749e-09	5.7045187119373545e-09	9.724481163744046e-09
b'chr1'	270896000	287827000	1753	9.604712519855569e-09	6.926717371996078e-09	1.071301969922051e-08
b'chr1'	287827000	291295799	684	9.688312904295318e-09	7.6259695415433e-09	1.0789328716150495e-08
b'chr2'	0	15752000	1750	1.1046415666653921e-08	8.758453080597796e-09	1.2098002217824578e-08
b'chr2'	15752000	31504000	1045	4.430499192155334e-09	1.6326180320671672e-09	6.9142034122240505e-09
b'chr2'	31504000	47256000	1644	9.92841687414359e-09	7.640454288087466e-09	1.0980003425314247e-08
b'chr2'	47256000	63008000	911	1.0301999979001976e-08	8.01403739294585e-09	1.1353586530172633e-08
b'chr2'	63008000	78760000	864	7.37138227392301e-09	4.487707241828153e-09	8.819300237227244e-09
b'chr2'	78760000	94512000	821	4.628162504924809e-09	1.688989838564019e-09	6.937686588013185e-09
b'chr2'	94512000	110264000	773	4.64381809119852e-09	1.8631839349354584e-09	7.069209445619956e-09
b'chr2'	110264000	126016000	377	4.066833707756318e-09	1.3405012590681776e-09	6.760203657047797e-09
b'chr2'	126016000	141768000	310	3.4524350501727246e-09	1.1001669865071058e-09	6.423480959467369e-09
b'chr2'	141768000	157520000	260	2.900581774119058e-10	0	1.7953962649270896e-09
b'chr2'	157520000	173272000	139	0	0	1.452431369619589e-09
b'chr2'	173272000	189024000	359	2.1630190041721823e-09	4.4914301859603025e-10	5.086529959715843e-09
b'chr2'	189024000	204776000	548	3.661102561959883e-09	1.1150115239572536e-09	6.468543530548419e-09
b'chr2'	204776000	220528000	432	4.429395142673464e-09	1.7810043193613229e-09	7.00504370377184e-09
b'chr2'	220528000	236280000	701	6.6898228178723295e-09	3.6721846562991407e-09	8.365222481320092e-09
b'chr2'	236280000	252032000	1188	1.0238657802429027e-08	7.950695216372904e-09	1.1290244353599685e-08
b'chr2'	252032000	258385429	637	1.0004268524160481e-08	7.716305938104357e-09	1.1055855075331138e-08
b'chr3'	0	17227000	1681	1.1103984293033253e-08	8.816021706977129e-09	1.215557084420391e-08
b'chr3'	17227000	34454000	700	7.796147881394741e-09	5.033343640453633e-09	9.111989095161785e-09
b'chr3'	34454000	51681000	541	5.185854892579722e-09	2.2742000864316434e-09	7.422331984989649e-09
b'chr3'	51681000	68908000	961	7.062340618744103e-09	4.147195859824806e-09	8.503326171846894e-09
b'chr3'	68908000	86135000	457	6.929380435513224e-09	3.981761564305799e-09	8.486836111051445e-09
b'chr3'	86135000	103362000	273	2.8449657637915073e-10	0	1.7898346638943346e-09
b'chr3'	103362000	120589000	195	1.06179733308547e-09	9.006692583451102e-11	2.9370878615046405e-09
b'chr3'	120589000	137816000	165	3.3239951057145965e-09	1.0463480625228192e-09	6.324055561330334e-09
b'chr3'	137816000	155043000	197	3.3495940069658644e-10	0	1.8402974882117703e-09
b'chr3'	155043000	172270000	164	8.124830534752758e-10	7.2158116984010965e-12	2.433247626027167e-09
b'chr3'	172270000	189497000	284	2.777055035394499e-09	7.038718325058701e-10	5.85426989609728e-09
b'chr3'	189497000	206724000	756	5.515240167620463e-09	2.4860846245543097e-09	7.621549117099293e-09
b'chr3'	206724000	223951000	601	5.012457363789099e-09	2.196544666326591e-09	7.394738025417143e-09
b'chr3'	223951000	241178000	717	3.2964069633978812e-09	1.018759920206104e-09	6.296467419013619e-09
b'chr3'	241178000	258405000	674	6.2055233637709985e-09	3.0742830467373974e-09	7.97241473032128e-09
b'chr3'	258405000	275632000	807	2.6126751403051064e-09	7.374635265385257e-10	5.618631024510597e-09
b'chr3'	275632000	292859000	612	4.428896928754612e-09	1.6310157686664446e-09	6.912601148823328e-09
b'chr3'	292859000	310086000	1751	1.0319269018585866e-08	8.03130643252974e-09	1.1370855569756523e-08
b'chr3'	310086000	310695138	95	5.702355242918839e-10	0	2.000999242904721e-09
b'chr4'	0	19459000	1749	1.1518661794040311e-08	9.230699207984187e-09	1.2570248345210968e-08
b'chr4'	19459000	38918000	1319	1.0751861384785481e-08	8.463898798729358e-09	1.1803447935956139e-08
b'chr4'	38918000	58377000	1353	1.0437350162611309e-08	8.149387576555184e-09	1.1488936713781966e-08
b'chr4'	58377000	77836000	1116	1.0916989737349337e-08	8.629027151293213e-09	1.1968576288519994e-08
b'chr4'	77836000	97295000	941	1.0122597400971348e-08	7.834634814915224e-09	1.1174183952142005e-08
b'chr4'	97295000	116754000	689	9.932621450029525e-09	7.644658863973401e-09	1.0984208001200182e-08
b'chr4'	116754000	136213000	385	4.427729875085781e-09	1.6298487149976135e-09	6.911434095154497e-09
b'chr4'	136213000	155672000	260	1.7362131819115367e-09	4.063734879916714e-10	4.430107744888842e-09
b'chr4'	155672000	175131000	318	5.091114305820921e-09	2.1794594996728427e-09	7.327591398230848e-09
b'chr4'	175131000	194590000	620	8.809606434866842e-09	6.34726366074357e-09	1.0018370124009086e-08
b'chr4'	194590000	214049000	738	9.69804673832258e-09	7.635703375570562e-09	1.0799062550177757e-08
b'chr4'	214049000	220176344	588	1.0429407918325298e-08	8.141445332269174e-09	1.1480994469495955e-08
b'chr5'	0	16041000	546	4.565112069663885e-09	1.7672309095757176e-09	7.048816289732601e-09
b'chr5'	16041000	32082000	146	3.260253390719227e-09	1.1401494760702198e-09	6.293476885316563e-09
b'chr5'	32082000	48123000	137	1.1765796396873213e-09	1.2122485834432259e-10	3.2752981053690915e-09
b'chr5'	48123000	64164000	478	5.123448079308403e-09	2.2117932731603248e-09	7.3599251717183304e-09
b'chr5'	64164000	80205000	1013	1.0108794555943507e-08	7.820831969887384e-09	1.1160381107114165e-08
b'chr5'	80205000	96246000	1060	1.0441839631200484e-08	8.15387704514436e-09	1.1493426182371141e-08
b'chr5'	96246000	112287000	1039	1.0349676841703338e-08	8.061714255647214e-09	1.1401263392873995e-08
b'chr5'	112287000	128328000	1058	8.697758616989263e-09	6.202052663979744e-09	1.0020144861939999e-08
b'chr5'	128328000	144369000	1517	1.0046170116301661e-08	7.758207530245536e-09	1.1097756667472318e-08
b'chr5'	144369000	160410000	1746	1.0347500922071368e-08	8.059538336015243e-09	1.1399087473242026e-08
b'chr5'	160410000	170209838	1283	1.0642382073587241e-08	8.354419487531115e-09	1.1693968624757898e-08
b'chr6'	0	17438000	1749	1.1216380313706541e-08	8.928417727650416e-09	1.2267966864877199e-08
b'chr6'	17438000	34876000	1005	4.5697661343242065e-09	1.7718849742360394e-09	7.053470354392923e-09
b'chr6'	34876000	52314000	734	2.645374147614432e-09	7.701625338478511e-10	5.651330031819922e-09
b'chr6'	52314000	69752000	740	8.88915665765921e-09	6.537268062672293e-09	1.0105375916296562e-08
b'chr6'	69752000	87190000	584	1.8414703879193874e-09	4.484811084387709e-10	4.501036088921395e-09
b'chr6'	87190000	104628000	290	3.731753685650901e-09	1.4547313038928141e-09	6.687064737084441e-09
b'chr6'	104628000	122066000	457	2.1902518907931338e-09	4.763759052169817e-10	5.113762846336794e-09
b'chr6'	122066000	139504000	297	9.981471739356328e-10	8.486798063740432e-12	2.773998140214713e-09
b'chr6'	139504000	156942000	278	3.692156285209746e-10	0	1.8089436264526577e-09
b'chr6'	156942000	174380000	173	3.7086029895753606e-10	0	1.8105882968892191e-09
b'chr6'	174380000	191818000	164	0	0	1.452431369619589e-09
b'chr6'	191818000	209256000	369	2.602091273157861e-09	7.268796593912803e-10	5.6080471573633515e-09
b'chr6'	209256000	226694000	634	4.443696640188797e-09	1.6458154801006296e-09	6.927400860257513e-09
b'chr6'	226694000	244132000	916	1.0471299188267084e-08	8.18333660221096e-09	1.1522885739437742e-08
b'chr6'	244132000	261570000	1035	8.694507984363863e-09	6.1988020313543435e-09	1.0016894229314598e-08
b'chr6'	261570000	268171085	604	1.0093620922836323e-08	7.805658336780198e-09	1.114520747400698e-08
b'chr7'	0	14840000	1743	1.132432505792841e-08	9.036362471872286e-09	1.2375911609099067e-08
b'chr7'	14840000	29680000	686	8.30240390506071e-09	5.574524871290345e-09	9.590756263191561e-09
b'chr7'	29680000	44520000	893	1.0059510526796711e-08	7.771547940740586e-09	1.1111097077967368e-08
b'chr7'	44520000	59360000	641	6.794231368900877e-09	3.925264138449275e-09	8.465471470764578e-09
b'chr7'	59360000	74200000	641	6.06327956277812e-09	2.974820463202007e-09	7.808043385087045e-09
b'chr7'	74200000	89040000	349	1.1032598876791484e-09	1.3152948042818944e-10	2.978550416098319e-09
b'chr7'	89040000	103880000	518	7.373961839863801e-10	0	2.1642066537598213e-09
b'chr7'	103880000	118720000	500	2.636769046090756e-09	7.615574323241752e-10	5.6427249302962464e-09
b'chr7'	118720000	133560000	337	2.210943771695624e-09	4.970677861194721e-10	5.134454727239285e-09
b'chr7'	133560000	148400000	98	2.1774308602172605e-10	0	1.5492093565927387e-09
b'chr7'	148400000	163240000	142	1.439054870090151e-09	3.606308533363082e-10	3.536154486273024e-09
b'chr7'	163240000	178080000	157	9.065895747214742e-10	3.7389607164508025e-11	2.9401023606586926e-09
b'chr7'	178080000	192920000	200	0	0	1.452431369619589e-09
b'chr7'	192920000	207760000	772	7.3790086589076075e-09	4.4953336268127505e-09	8.826926622211841e-09
b'chr7'	207760000	222600000	466	5.2292718202592544e-09	2.2031442495104278e-09	7.299562736737511e-09
b'chr7'	222600000	237440000	747	9.900966701637589e-09	7.696718617578643e-09	1.1009108102500495e-08
b'chr7'	237440000	252280000	702	1.0379799083970947e-08	8.091836497914823e-09	1.1431385635141604e-08
b'chr7'	252280000	259248249	498	9.406251191325912e-09	6.9571605277226966e-09	1.055271169563469e-08
