pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
gpE	gpB	chr1	1	100000	0.0032573845419196	339	1146	351816	510600
gpE	gpB	chr1	100001	200000	0.0025219549749848	1467	4442	1761332	1970716
gpE	gpB	chr1	200001	300000	NA	0	NA	NA	NA
gpE	gpB	chr1	300001	400000	0.0021555430214402	1306	5014	2326096	996368
gpE	gpB	chr1	400001	500000	0.0038916015509766	1149	6596	1694932	1228124
gpE	gpB	chr1	500001	600000	0.004369250890488	765	6040	1382388	563772
gpE	gpB	chr1	600001	700000	0.0023754233378936	864	2410	1014556	1183460
gpE	gpB	chr1	700001	800000	0.0055554608332907	830	7820	1407624	703896
gpE	gpB	chr1	800001	900000	0.0050084391282013	501	3276	654096	620448
gpE	gpB	chr1	900001	1000000	NA	0	NA	NA	NA
gpE	gpB	chr1	1000001	1100000	0.0	55	0	58736	81184
gpE	gpB	chr1	1100001	1200000	0.0035703180525941	590	3858	1080576	420384
gpE	gpB	chr1	1200001	1300000	NA	0	NA	NA	NA
gpE	gpB	chr1	1300001	1400000	0.0	12	0	8540	21988
gpE	gpB	chr1	1400001	1500000	0.0070558234630216	1986	22556	3196792	1855592
gpE	gpB	chr1	1500001	1600000	NA	0	NA	NA	NA
gpE	gpB	chr1	1600001	1700000	NA	0	NA	NA	NA
gpE	gpB	chr1	1700001	1800000	0.0066191679347216	1382	16756	2531436	984372
gpE	gpB	chr1	1800001	1900000	0.0068633243943457	1256	12080	1760080	1435184
gpE	gpB	chr1	1900001	2000000	0.0038430839270405	967	6760	1759004	701044
gpE	gpB	chr1	2000001	2100000	NA	0	NA	NA	NA
gpE	gpB	chr1	2100001	2200000	0.0047922172840964	1018	10386	2167264	422528
gpE	gpB	chr1	2200001	2300000	NA	0	NA	NA	NA
gpE	gpB	chr1	2300001	2400000	0.0029813182194672	939	4852	1627468	761348
gpE	gpB	chr1	2400001	2500000	0.009359363831308	578	10056	1074432	396000
gpE	gpB	chr1	2500001	2600000	0.0037376478418923	526	3504	937488	400656
gpE	gpB	chr1	2600001	2700000	0.0013113975353812	766	2076	1583044	365660
gpE	gpB	chr1	2700001	2800000	NA	0	NA	NA	NA
gpE	gpB	chr1	2800001	2900000	NA	0	NA	NA	NA
gpE	gpB	chr1	2900001	3000000	0.0060220762005397	1301	15228	2528696	781048
gpE	gpB	chr1	3000001	3100000	0.0036433494732924	1033	3994	1096244	1531708
gpE	gpB	chr1	3100001	3200000	0.0007297542503254	526	740	1014040	324104
gpE	gpB	chr1	3200001	3300000	0.0062695647950691	852	5680	905964	1261524
gpE	gpB	chr1	3300001	3400000	0.0043785548413152	525	2602	594260	741340
gpE	gpB	chr1	3400001	3500000	0.0036274128773157	127	448	123504	199584
gpE	gpB	chr1	3500001	3600000	0.0	159	0	99800	304696
gpE	gpB	chr1	3600001	3700000	0.0192826975005192	87	2228	115544	105784
gpE	gpB	chr1	3700001	3800000	NA	0	NA	NA	NA
gpE	gpB	chr1	3800001	3900000	0.0013258316193843	344	312	235324	639812
gpE	gpB	chr1	3900001	4000000	0.0061839960309022	429	2792	451488	639888
gpE	gpB	chr1	4000001	4100000	NA	0	NA	NA	NA
gpE	gpB	chr1	4100001	4200000	NA	0	NA	NA	NA
gpE	gpB	chr1	4200001	4300000	0.0	17	0	13608	29640
gpE	gpB	chr1	4300001	4400000	0.0086214349525941	278	3590	416404	290828
gpE	gpB	chr1	4400001	4500000	0.0125023392402147	252	3474	277868	363220
gpE	gpB	chr1	4500001	4600000	0.009819794453048	370	3906	397768	543512
gpE	gpB	chr1	4600001	4700000	0.0	64	0	58336	104480
gpE	gpB	chr1	4700001	4800000	0.0058772649648473	183	1060	180356	285196
gpE	gpB	chr1	4800001	4900000	0.0051189118588289	1380	10378	2027384	1483336
gpE	gpB	chr1	4900001	5000000	0.0055270445610705	504	5708	1032740	249436
gpE	gpB	chr1	5000001	5100000	NA	0	NA	NA	NA
gpE	gpB	chr1	5100001	5200000	0.00352900799809	249	946	268064	365392
gpE	gpB	chr1	5200001	5300000	0.0010285042609462	140	112	108896	247264
gpE	gpB	chr1	5300001	5400000	NA	0	NA	NA	NA
gpE	gpB	chr1	5400001	5500000	0.005425392217845	118	628	115752	184440
gpE	gpB	chr1	5500001	5600000	0.0044156874848438	604	4006	907220	629356
gpE	gpB	chr1	5600001	5700000	NA	0	NA	NA	NA
gpE	gpB	chr1	5700001	5800000	0.0005539552404165	345	190	342988	534692
gpE	gpB	chr1	5800001	5900000	0.0	221	0	270940	291284
gpE	gpB	chr1	5900001	6000000	0.0042610286498345	585	4770	1119448	368792
gpE	gpB	chr1	6000001	6100000	0.0003924989097252	92	36	91720	142328
gpE	gpB	chr1	6100001	6200000	0.0	21	0	13472	39952
gpE	gpB	chr1	6200001	6300000	NA	0	NA	NA	NA
gpE	gpB	chr1	6300001	6400000	0.0019609229953142	624	2218	1131100	456356
gpE	gpB	chr1	6400001	6500000	0.0061223314874584	1277	13612	2223336	1025352
gpE	gpB	chr1	6500001	6600000	NA	0	NA	NA	NA
gpE	gpB	chr1	6600001	6700000	0.0	335	0	372080	480160
gpE	gpB	chr1	6700001	6800000	0.0084453235070987	943	12468	1476320	922672
gpE	gpB	chr1	6800001	6900000	0.0041994004548273	356	1950	464352	441312
gpE	gpB	chr1	6900001	7000000	NA	0	NA	NA	NA
gpE	gpB	chr1	7000001	7100000	NA	0	NA	NA	NA
gpE	gpB	chr1	7100001	7200000	0.0010168414362885	118	128	125880	174312
gpE	gpB	chr1	7200001	7300000	NA	0	NA	NA	NA
gpE	gpB	chr1	7300001	7400000	0.0054738817641538	66	210	38364	129540
gpE	gpB	chr1	7400001	7500000	NA	0	NA	NA	NA
gpE	gpB	chr1	7500001	7600000	0.0	87	0	89392	131936
gpE	gpB	chr1	7600001	7700000	NA	0	NA	NA	NA
gpE	gpB	chr1	7700001	7800000	0.0019823006719969	543	1318	664884	716508
gpE	gpB	chr1	7800001	7900000	NA	0	NA	NA	NA
gpE	gpB	chr1	7900001	8000000	NA	0	NA	NA	NA
gpE	gpB	chr1	8000001	8100000	NA	0	NA	NA	NA
gpE	gpB	chr1	8100001	8200000	0.0227872631895485	104	2728	119716	144860
gpE	gpB	chr1	8200001	8300000	NA	0	NA	NA	NA
gpE	gpB	chr1	8300001	8400000	NA	0	NA	NA	NA
gpE	gpB	chr1	8400001	8500000	NA	0	NA	NA	NA
gpE	gpB	chr1	8500001	8600000	0.0044350328477879	918	8390	1891756	443636
gpE	gpB	chr1	8600001	8700000	0.0012384218966688	433	868	700892	400660
gpE	gpB	chr1	8700001	8800000	0.0022134792565372	580	1330	600864	874656
gpE	gpB	chr1	8800001	8900000	0.0065848221004408	1365	13126	1993372	1479188
gpE	gpB	chr1	8900001	9000000	NA	0	NA	NA	NA
gpE	gpB	chr1	9000001	9100000	NA	0	NA	NA	NA
gpE	gpB	chr1	9100001	9200000	NA	0	NA	NA	NA
gpE	gpB	chr1	9200001	9300000	0.0035571224891613	1692	8802	2474472	1829976
gpE	gpB	chr1	9300001	9400000	NA	0	NA	NA	NA
gpE	gpB	chr1	9400001	9500000	0.0	158	0	237112	164840
gpE	gpB	chr1	9500001	9600000	NA	0	NA	NA	NA
gpE	gpB	chr1	9600001	9700000	NA	0	NA	NA	NA
gpE	gpB	chr1	9700001	9800000	0.0033518000039713	528	3376	1007220	336012
gpE	gpB	chr1	9800001	9900000	NA	0	NA	NA	NA
gpE	gpB	chr1	9900001	10000000	0.0007948603244647	693	1258	1582668	180324
gpE	gpB	chr1	10000001	10100000	0.0121693535764595	116	1866	153336	141768
gpE	gpB	chr1	10100001	10200000	NA	0	NA	NA	NA
gpE	gpB	chr1	10200001	10300000	0.0033570399762373	482	2396	713724	512484
gpE	gpB	chr1	10300001	10400000	0.0024284478754584	1110	4852	1997984	825856
gpE	gpB	chr1	10400001	10500000	NA	0	NA	NA	NA
gpE	gpB	chr1	10500001	10600000	0.0043388358548437	336	2518	580340	274444
gpE	gpB	chr1	10600001	10700000	0.0058506948904359	229	1822	311416	271160
gpE	gpB	chr1	10700001	10800000	NA	0	NA	NA	NA
gpE	gpB	chr1	10800001	10900000	0.0054808319014042	84	370	67508	146188
gpE	gpB	chr1	10900001	11000000	NA	0	NA	NA	NA
gpE	gpB	chr1	11000001	11100000	NA	0	NA	NA	NA
gpE	gpB	chr1	11100001	11200000	0.0050997977666402	82	232	45492	163116
gpE	gpB	chr1	11200001	11300000	0.0061533589879831	578	4586	745284	725148
gpE	gpB	chr1	11300001	11400000	NA	0	NA	NA	NA
gpE	gpB	chr1	11400001	11500000	NA	0	NA	NA	NA
gpE	gpB	chr1	11500001	11600000	NA	0	NA	NA	NA
gpE	gpB	chr1	11600001	11700000	NA	0	NA	NA	NA
gpE	gpB	chr1	11700001	11800000	0.0048967863007271	682	5010	1023120	711888
gpE	gpB	chr1	11800001	11900000	NA	0	NA	NA	NA
gpE	gpB	chr1	11900001	12000000	0.0030376330930725	452	1738	572156	577732
gpE	gpB	chr1	12000001	12100000	0.0041298725506186	1095	8508	2060112	725568
gpE	gpB	chr1	12100001	12200000	0.0061030548306738	1723	21432	3511684	871628
gpE	gpB	chr1	12200001	12300000	0.0089611531576798	762	11414	1273720	664808
gpE	gpB	chr1	12300001	12400000	0.0	472	0	626184	574584
gpE	gpB	chr1	12400001	12500000	0.0	13	0	8428	24644
gpE	gpB	chr1	12500001	12600000	NA	0	NA	NA	NA
gpE	gpB	chr1	12600001	12700000	0.0024663447593373	1404	5782	2344360	1227416
gpE	gpB	chr1	12700001	12800000	NA	0	NA	NA	NA
gpE	gpB	chr1	12800001	12900000	0.0	585	0	1099592	388648
gpE	gpB	chr1	12900001	13000000	0.013625627398878	132	1846	135480	200328
gpE	gpB	chr1	13000001	13100000	0.0039034731120088	564	3668	939676	495140
gpE	gpB	chr1	13100001	13200000	0.0011660340370104	792	1418	1216088	798760
gpE	gpB	chr1	13200001	13300000	0.0005145594359416	1647	1546	3004512	1185456
gpE	gpB	chr1	13300001	13400000	0.0	274	0	250180	446876
gpE	gpB	chr1	13400001	13500000	0.0075599225740271	1644	25824	3415908	766428
gpE	gpB	chr1	13500001	13600000	0.0042995684998734	487	2786	647972	590956
gpE	gpB	chr1	13600001	13700000	0.0040258963059681	80	296	73524	129996
gpE	gpB	chr1	13700001	13800000	NA	0	NA	NA	NA
gpE	gpB	chr1	13800001	13900000	NA	0	NA	NA	NA
gpE	gpB	chr1	13900001	14000000	NA	0	NA	NA	NA
gpE	gpB	chr1	14000001	14100000	NA	0	NA	NA	NA
gpE	gpB	chr1	14100001	14200000	NA	0	NA	NA	NA
gpE	gpB	chr1	14200001	14300000	0.0038083484255418	470	2086	547744	647936
gpE	gpB	chr1	14300001	14400000	NA	0	NA	NA	NA
gpE	gpB	chr1	14400001	14500000	0.015460816555707	352	9252	598416	297072
gpE	gpB	chr1	14500001	14600000	0.0066893209993077	582	8504	1271280	209328
gpE	gpB	chr1	14600001	14700000	0.0034699453551912	80	254	73200	130320
gpE	gpB	chr1	14700001	14800000	NA	0	NA	NA	NA
gpE	gpB	chr1	14800001	14900000	NA	0	NA	NA	NA
gpE	gpB	chr1	14900001	15000000	0.0149225980608197	197	4334	290432	210736
gpE	gpB	chr1	15000001	15100000	NA	0	NA	NA	NA
gpE	gpB	chr1	15100001	15200000	NA	0	NA	NA	NA
gpE	gpB	chr1	15200001	15300000	NA	0	NA	NA	NA
gpE	gpB	chr1	15300001	15400000	0.0087605336302855	555	7930	905196	506724
gpE	gpB	chr1	15400001	15500000	0.0041599570585077	125	372	89424	228576
gpE	gpB	chr1	15500001	15600000	0.0025032101041102	464	2238	894052	286364
gpE	gpB	chr1	15600001	15700000	0.0074347359556666	1415	17516	2355968	1243792
gpE	gpB	chr1	15700001	15800000	NA	0	NA	NA	NA
gpE	gpB	chr1	15800001	15900000	NA	0	NA	NA	NA
gpE	gpB	chr1	15900001	16000000	NA	0	NA	NA	NA
gpE	gpB	chr1	16000001	16100000	NA	0	NA	NA	NA
gpE	gpB	chr1	16100001	16200000	0.0061291524161051	113	724	118124	169348
gpE	gpB	chr1	16200001	16300000	NA	0	NA	NA	NA
gpE	gpB	chr1	16300001	16400000	NA	0	NA	NA	NA
gpE	gpB	chr1	16400001	16500000	NA	0	NA	NA	NA
gpE	gpB	chr1	16500001	16600000	NA	0	NA	NA	NA
gpE	gpB	chr1	16600001	16700000	0.0092907673171025	324	6782	729972	94284
gpE	gpB	chr1	16700001	16800000	NA	0	NA	NA	NA
gpE	gpB	chr1	16800001	16900000	NA	0	NA	NA	NA
gpE	gpB	chr1	16900001	17000000	0.0077056407551151	138	818	106156	244916
gpE	gpB	chr1	17000001	17100000	0.0025037621296248	244	386	154168	466568
gpE	gpB	chr1	17100001	17200000	NA	0	NA	NA	NA
gpE	gpB	chr1	17200001	17300000	NA	0	NA	NA	NA
gpE	gpB	chr1	17300001	17400000	0.0	108	0	65384	209368
gpE	gpB	chr1	17400001	17500000	NA	0	NA	NA	NA
gpE	gpB	chr1	17500001	17600000	NA	0	NA	NA	NA
gpE	gpB	chr1	17600001	17700000	0.0	55	0	69080	70840
gpE	gpB	chr1	17700001	17800000	0.0082439947819093	422	6724	815624	257944
gpE	gpB	chr1	17800001	17900000	0.003770682754913	306	1010	267856	510608
gpE	gpB	chr1	17900001	18000000	NA	0	NA	NA	NA
gpE	gpB	chr1	18000001	18100000	0.0077235219678509	241	2954	382468	230636
gpE	gpB	chr1	18100001	18200000	0.0030246055750837	249	592	195728	437728
gpE	gpB	chr1	18200001	18300000	NA	0	NA	NA	NA
gpE	gpB	chr1	18300001	18400000	0.0072906224368905	143	1280	175568	188224
gpE	gpB	chr1	18400001	18500000	0.0	620	0	1421572	155708
gpE	gpB	chr1	18500001	18600000	NA	0	NA	NA	NA
gpE	gpB	chr1	18600001	18700000	NA	0	NA	NA	NA
gpE	gpB	chr1	18700001	18800000	0.0042297642592138	555	3516	831252	580668
gpE	gpB	chr1	18800001	18900000	0.0009894698620188	397	654	660960	349008
gpE	gpB	chr1	18900001	19000000	0.0050465714595795	519	3162	626564	693772
gpE	gpB	chr1	19000001	19100000	0.0057744384856369	1240	12180	2109296	1045264
gpE	gpB	chr1	19100001	19200000	0.0047875748058563	997	6128	1279980	1256388
gpE	gpB	chr1	19200001	19300000	0.0042971702128208	829	6664	1550788	558188
gpE	gpB	chr1	19300001	19400000	0.0035418521216044	474	2626	741420	464436
gpE	gpB	chr1	19400001	19500000	0.0044469937496127	968	9474	2130428	332164
gpE	gpB	chr1	19500001	19600000	0.0149497590066171	365	8784	587568	340992
gpE	gpB	chr1	19600001	19700000	0.0050424313408936	982	7646	1516332	981876
gpE	gpB	chr1	19700001	19800000	NA	0	NA	NA	NA
gpE	gpB	chr1	19800001	19900000	0.0037036151110685	290	1858	501672	236088
gpE	gpB	chr1	19900001	20000000	NA	0	NA	NA	NA
gpE	gpB	chr1	20000001	20100000	0.0076931873046527	632	9688	1259296	348512
gpE	gpB	chr1	20100001	20200000	0.0019622792741277	887	3212	1636872	619656
gpE	gpB	chr1	20200001	20300000	0.0	12	0	10592	19936
gpE	gpB	chr1	20300001	20400000	NA	0	NA	NA	NA
gpE	gpB	chr1	20400001	20500000	0.0050129425061066	128	550	109716	215916
gpE	gpB	chr1	20500001	20600000	NA	0	NA	NA	NA
gpE	gpB	chr1	20600001	20700000	NA	0	NA	NA	NA
gpE	gpB	chr1	20700001	20800000	NA	0	NA	NA	NA
gpE	gpB	chr1	20800001	20900000	NA	0	NA	NA	NA
gpE	gpB	chr1	20900001	21000000	NA	0	NA	NA	NA
gpE	gpB	chr1	21000001	21100000	0.0059380817641596	961	10896	1834936	609848
gpE	gpB	chr1	21100001	21200000	NA	0	NA	NA	NA
gpE	gpB	chr1	21200001	21300000	NA	0	NA	NA	NA
gpE	gpB	chr1	21300001	21400000	0.0108256388511496	292	5004	462236	280612
gpE	gpB	chr1	21400001	21500000	0.0044429102732556	155	798	179612	214708
gpE	gpB	chr1	21500001	21600000	NA	0	NA	NA	NA
gpE	gpB	chr1	21600001	21700000	0.0016375418763177	654	2532	1546220	117556
gpE	gpB	chr1	21700001	21800000	NA	0	NA	NA	NA
gpE	gpB	chr1	21800001	21900000	NA	0	NA	NA	NA
gpE	gpB	chr1	21900001	22000000	0.0030162699333864	729	4106	1361284	493292
gpE	gpB	chr1	22000001	22100000	0.0052768201607985	1314	13880	2630372	712444
gpE	gpB	chr1	22100001	22200000	0.0004444993209038	485	360	809900	423940
gpE	gpB	chr1	22200001	22300000	NA	0	NA	NA	NA
gpE	gpB	chr1	22300001	22400000	0.0	79	0	71956	129020
gpE	gpB	chr1	22400001	22500000	NA	0	NA	NA	NA
gpE	gpB	chr1	22500001	22600000	0.0085578582065563	367	5218	609732	323916
gpE	gpB	chr1	22600001	22700000	0.010126418988648	77	628	62016	133872
