pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
gpC	gpA	chr1	1	100000	-0.0427562021571266	3
gpC	gpA	chr1	100001	200000	0.0241241356128422	12
gpC	gpA	chr1	300001	400000	-0.0161946946159327	10
gpC	gpA	chr1	400001	500000	-0.0153846470518703	9
gpC	gpA	chr1	500001	600000	0.0249851091459565	10
gpC	gpA	chr1	600001	700000	0.002067934270274	10
gpC	gpA	chr1	700001	800000	-0.0128640722390343	14
gpC	gpA	chr1	800001	900000	0.0157549368511153	9
gpC	gpA	chr1	1100001	1200000	-0.0085787752872579	11
gpC	gpA	chr1	1400001	1500000	-0.0065629897364543	38
gpC	gpA	chr1	1700001	1800000	-0.0118781873903791	21
gpC	gpA	chr1	1800001	1900000	-0.0138319411052002	25
gpC	gpA	chr1	1900001	2000000	-0.0057327149197571	12
gpC	gpA	chr1	2100001	2200000	-0.0102640468573527	19
gpC	gpA	chr1	2300001	2400000	-0.0142584273907123	13
gpC	gpA	chr1	2400001	2500000	0.0040053724290791	17
gpC	gpA	chr1	2500001	2600000	0.0283937291232291	11
gpC	gpA	chr1	2600001	2700000	-0.021869330120348	3
gpC	gpA	chr1	2900001	3000000	-0.0043462884508035	24
gpC	gpA	chr1	3000001	3100000	-0.0115664704228816	10
gpC	gpA	chr1	3100001	3200000	-0.0023115883829509	3
gpC	gpA	chr1	3200001	3300000	-0.0176865386268277	12
gpC	gpA	chr1	3300001	3400000	-0.0017340499971604	9
gpC	gpA	chr1	3400001	3500000	-0.0410013914115221	3
gpC	gpA	chr1	3600001	3700000	-0.0289665950673149	6
gpC	gpA	chr1	3800001	3900000	-0.0257321226509639	2
gpC	gpA	chr1	3900001	4000000	0.018631734923795	9
gpC	gpA	chr1	4300001	4400000	0.0270246906982942	6
gpC	gpA	chr1	4400001	4500000	0.0346306554690449	7
gpC	gpA	chr1	4500001	4600000	-0.0077928724544968	13
gpC	gpA	chr1	4700001	4800000	-0.0266130400724399	2
gpC	gpA	chr1	4800001	4900000	0.1044077239450884	20
gpC	gpA	chr1	4900001	5000000	0.0076307588202977	7
gpC	gpA	chr1	5100001	5200000	-0.0356171126977331	2
gpC	gpA	chr1	5200001	5300000	0.0468041586072894	1
gpC	gpA	chr1	5400001	5500000	-0.0161234130123157	1
gpC	gpA	chr1	5500001	5600000	-0.0109465878768683	10
gpC	gpA	chr1	5700001	5800000	0.0200269684693399	1
gpC	gpA	chr1	5900001	6000000	-0.0037459205352341	11
gpC	gpA	chr1	6000001	6100000	0.0037798932056373	1
gpC	gpA	chr1	6300001	6400000	-0.0285125974016303	3
gpC	gpA	chr1	6400001	6500000	-0.0048673024242113	30
gpC	gpA	chr1	6700001	6800000	0.0024765009699677	24
gpC	gpA	chr1	6800001	6900000	0.0181058890961577	4
gpC	gpA	chr1	7100001	7200000	-0.0221708242724366	1
gpC	gpA	chr1	7300001	7400000	0.0055459934978007	1
gpC	gpA	chr1	7700001	7800000	-0.0014348283825288	3
gpC	gpA	chr1	8100001	8200000	-0.0049216778862151	6
gpC	gpA	chr1	8500001	8600000	-0.0038754270411592	13
gpC	gpA	chr1	8600001	8700000	-0.0150165507870363	3
gpC	gpA	chr1	8700001	8800000	0.0102259808077618	4
gpC	gpA	chr1	8800001	8900000	-0.0110789886745326	26
gpC	gpA	chr1	9200001	9300000	0.0032371227660031	19
gpC	gpA	chr1	9700001	9800000	-0.0066762152074979	5
gpC	gpA	chr1	9900001	10000000	-0.0060893625215205	1
gpC	gpA	chr1	10000001	10100000	-0.0028556146641547	3
gpC	gpA	chr1	10200001	10300000	0.0099997373024653	9
gpC	gpA	chr1	10300001	10400000	0.002057930700644	10
gpC	gpA	chr1	10500001	10600000	0.0099427077513489	5
gpC	gpA	chr1	10600001	10700000	-0.0025012827112619	4
gpC	gpA	chr1	10800001	10900000	-0.0234928782181963	1
gpC	gpA	chr1	11100001	11200000	-0.0145392824348821	1
gpC	gpA	chr1	11200001	11300000	0.0057648849124306	12
gpC	gpA	chr1	11700001	11800000	-0.0113363178723598	11
gpC	gpA	chr1	11900001	12000000	0.0460062799576322	4
gpC	gpA	chr1	12000001	12100000	0.0581864867093311	16
gpC	gpA	chr1	12100001	12200000	0.021020062057697	29
gpC	gpA	chr1	12200001	12300000	-0.0098359226430689	19
gpC	gpA	chr1	12600001	12700000	0.0937321168791348	15
gpC	gpA	chr1	12900001	13000000	0.0805581481291567	5
gpC	gpA	chr1	13000001	13100000	-0.0034681386175417	5
gpC	gpA	chr1	13100001	13200000	0.0002295944288243	4
gpC	gpA	chr1	13200001	13300000	0.0647526198716735	3
gpC	gpA	chr1	13400001	13500000	0.0119456750952468	43
gpC	gpA	chr1	13500001	13600000	-0.0128158154948771	9
gpC	gpA	chr1	13600001	13700000	0.0062864363645814	2
gpC	gpA	chr1	14200001	14300000	0.0056833458274708	4
gpC	gpA	chr1	14400001	14500000	-0.0028769996711571	10
gpC	gpA	chr1	14500001	14600000	-0.0006210271348991	12
gpC	gpA	chr1	14600001	14700000	-0.0311660626006557	2
gpC	gpA	chr1	14900001	15000000	-0.0034599377602385	7
gpC	gpA	chr1	15300001	15400000	0.0142787689871343	11
gpC	gpA	chr1	15400001	15500000	0.0235964198535394	1
gpC	gpA	chr1	15500001	15600000	-0.0016337902899532	4
