pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
gpD	gpB	chr1	1	100000	0.0032170840981309	339	652	202668	372276
gpD	gpB	chr1	100001	200000	0.0030999415627301	1467	3586	1156796	1331236
gpD	gpB	chr1	200001	300000	NA	0	NA	NA	NA
gpD	gpB	chr1	300001	400000	0.0022313390152451	1306	3792	1699428	515548
gpD	gpB	chr1	400001	500000	0.003354486625862	1149	4288	1278288	670416
gpD	gpB	chr1	500001	600000	0.0032849196792083	765	3208	976584	320856
gpD	gpB	chr1	600001	700000	0.001967438487102	864	1454	739032	726312
gpD	gpB	chr1	700001	800000	0.0057101255688347	830	5506	964252	443428
gpD	gpB	chr1	800001	900000	0.0054467782128871	501	2448	449440	400256
gpD	gpB	chr1	900001	1000000	NA	0	NA	NA	NA
gpD	gpB	chr1	1000001	1100000	0.0	55	0	38940	54340
gpD	gpB	chr1	1100001	1200000	0.0032988556226937	590	2614	792396	208244
gpD	gpB	chr1	1200001	1300000	NA	0	NA	NA	NA
gpD	gpB	chr1	1300001	1400000	0.0	12	0	4560	15792
gpD	gpB	chr1	1400001	1500000	0.0068005811815435	1986	15090	2218928	1149328
gpD	gpB	chr1	1500001	1600000	NA	0	NA	NA	NA
gpD	gpB	chr1	1600001	1700000	NA	0	NA	NA	NA
gpD	gpB	chr1	1700001	1800000	0.0059516451309114	1382	10592	1779676	564196
gpD	gpB	chr1	1800001	1900000	0.0062430903297132	1256	7680	1230160	900016
gpD	gpB	chr1	1900001	2000000	0.0038621581082855	967	4470	1157384	482648
gpD	gpB	chr1	2000001	2100000	NA	0	NA	NA	NA
gpD	gpB	chr1	2100001	2200000	0.0044997202876577	1018	6660	1480092	246436
gpD	gpB	chr1	2200001	2300000	NA	0	NA	NA	NA
gpD	gpB	chr1	2300001	2400000	0.0030180122636688	939	3402	1127232	465312
gpD	gpB	chr1	2400001	2500000	0.0110346636310878	578	7910	716832	263456
gpD	gpB	chr1	2500001	2600000	0.0050936942296252	526	3288	645504	246592
gpD	gpB	chr1	2600001	2700000	0.0011620797359813	766	1262	1085984	213152
gpD	gpB	chr1	2700001	2800000	NA	0	NA	NA	NA
gpD	gpB	chr1	2800001	2900000	NA	0	NA	NA	NA
gpD	gpB	chr1	2900001	3000000	0.0060778759470335	1301	10814	1779240	427256
gpD	gpB	chr1	3000001	3100000	0.0032299518102063	1033	2614	809300	942668
gpD	gpB	chr1	3100001	3200000	0.0008443509615384	526	562	665600	226496
gpD	gpB	chr1	3200001	3300000	0.0064355313845456	852	3408	529560	915432
gpD	gpB	chr1	3300001	3400000	0.0042370888338402	525	2162	510256	380144
gpD	gpB	chr1	3400001	3500000	0.0036203394272983	127	442	122088	93304
gpD	gpB	chr1	3500001	3600000	0.0	159	0	109788	159876
gpD	gpB	chr1	3600001	3700000	0.0176451030683005	87	1486	84216	63336
gpD	gpB	chr1	3700001	3800000	NA	0	NA	NA	NA
gpD	gpB	chr1	3800001	3900000	0.0014002568426915	344	362	258524	324900
gpD	gpB	chr1	3900001	4000000	0.005366027007818	429	1812	337680	389904
gpD	gpB	chr1	4000001	4100000	NA	0	NA	NA	NA
gpD	gpB	chr1	4100001	4200000	NA	0	NA	NA	NA
gpD	gpB	chr1	4200001	4300000	0.0	17	0	7280	21552
gpD	gpB	chr1	4300001	4400000	0.0077399582681272	278	2374	306720	164768
gpD	gpB	chr1	4400001	4500000	0.0139472434328303	252	3054	218968	208424
gpD	gpB	chr1	4500001	4600000	0.0101342754067931	370	2708	267212	360308
gpD	gpB	chr1	4600001	4700000	0.0	64	0	40620	67924
gpD	gpB	chr1	4700001	4800000	0.0056499109710998	183	660	116816	193552
gpD	gpB	chr1	4800001	4900000	0.0046951250982033	1380	6550	1395064	945416
gpD	gpB	chr1	4900001	5000000	0.0057138620875228	504	4162	728404	126380
gpD	gpB	chr1	5000001	5100000	NA	0	NA	NA	NA
gpD	gpB	chr1	5100001	5200000	0.0030852432458188	249	518	167896	254408
gpD	gpB	chr1	5200001	5300000	0.0009173785906771	140	128	139528	97912
gpD	gpB	chr1	5300001	5400000	NA	0	NA	NA	NA
gpD	gpB	chr1	5400001	5500000	0.0054178101637172	118	458	84536	115592
gpD	gpB	chr1	5500001	5600000	0.003617293457201	604	2330	644128	380256
gpD	gpB	chr1	5600001	5700000	NA	0	NA	NA	NA
gpD	gpB	chr1	5700001	5800000	0.000982749849697	345	170	172984	412136
gpD	gpB	chr1	5800001	5900000	0.0	221	0	177960	196856
gpD	gpB	chr1	5900001	6000000	0.0047410104869361	585	3812	804048	188112
gpD	gpB	chr1	6000001	6100000	0.002059284181217	92	142	68956	87076
gpD	gpB	chr1	6100001	6200000	0.0	21	0	9648	25968
gpD	gpB	chr1	6200001	6300000	NA	0	NA	NA	NA
gpD	gpB	chr1	6300001	6400000	0.0019901051768054	624	1572	789908	268396
gpD	gpB	chr1	6400001	6500000	0.0059217175938666	1277	9210	1555292	610500
gpD	gpB	chr1	6500001	6600000	NA	0	NA	NA	NA
gpD	gpB	chr1	6600001	6700000	0.0	335	0	305200	262960
gpD	gpB	chr1	6700001	6800000	0.0085087042852725	943	9136	1073724	525604
gpD	gpB	chr1	6800001	6900000	0.0042258408307928	356	1364	322776	281000
gpD	gpB	chr1	6900001	7000000	NA	0	NA	NA	NA
gpD	gpB	chr1	7000001	7100000	NA	0	NA	NA	NA
gpD	gpB	chr1	7100001	7200000	0.0011054304269725	118	96	86844	113284
gpD	gpB	chr1	7200001	7300000	NA	0	NA	NA	NA
gpD	gpB	chr1	7300001	7400000	0.0056418793932667	66	244	43248	68688
gpD	gpB	chr1	7400001	7500000	NA	0	NA	NA	NA
gpD	gpB	chr1	7500001	7600000	0.0	87	0	71956	75596
gpD	gpB	chr1	7600001	7700000	NA	0	NA	NA	NA
gpD	gpB	chr1	7700001	7800000	0.001596661989945	543	874	547392	373536
gpD	gpB	chr1	7800001	7900000	NA	0	NA	NA	NA
gpD	gpB	chr1	7900001	8000000	NA	0	NA	NA	NA
gpD	gpB	chr1	8000001	8100000	NA	0	NA	NA	NA
gpD	gpB	chr1	8100001	8200000	0.0208779199490005	104	1834	87844	88540
gpD	gpB	chr1	8200001	8300000	NA	0	NA	NA	NA
gpD	gpB	chr1	8300001	8400000	NA	0	NA	NA	NA
gpD	gpB	chr1	8400001	8500000	NA	0	NA	NA	NA
gpD	gpB	chr1	8500001	8600000	0.0041531418306976	918	5512	1327188	229740
gpD	gpB	chr1	8600001	8700000	0.0014359469476922	433	702	488876	245492
gpD	gpB	chr1	8700001	8800000	0.0024976444371326	580	1336	534904	448776
gpD	gpB	chr1	8800001	8900000	0.0062891372412593	1365	9256	1471744	843296
gpD	gpB	chr1	8900001	9000000	NA	0	NA	NA	NA
gpD	gpB	chr1	9000001	9100000	NA	0	NA	NA	NA
gpD	gpB	chr1	9100001	9200000	NA	0	NA	NA	NA
gpD	gpB	chr1	9200001	9300000	0.0033790789194974	1692	6062	1793980	1075652
gpD	gpB	chr1	9300001	9400000	NA	0	NA	NA	NA
gpD	gpB	chr1	9400001	9500000	0.0	158	0	135264	132704
gpD	gpB	chr1	9500001	9600000	NA	0	NA	NA	NA
gpD	gpB	chr1	9600001	9700000	NA	0	NA	NA	NA
gpD	gpB	chr1	9700001	9800000	0.0038208797905103	528	2784	728628	166860
gpD	gpB	chr1	9800001	9900000	NA	0	NA	NA	NA
gpD	gpB	chr1	9900001	10000000	0.0008246093487365	693	834	1011388	163940
gpD	gpB	chr1	10000001	10100000	0.010193386976807	116	1206	118312	78424
gpD	gpB	chr1	10100001	10200000	NA	0	NA	NA	NA
gpD	gpB	chr1	10200001	10300000	0.0036562320269493	482	2314	632892	184580
gpD	gpB	chr1	10300001	10400000	0.0023070913320331	1110	3142	1361888	520672
gpD	gpB	chr1	10400001	10500000	NA	0	NA	NA	NA
gpD	gpB	chr1	10500001	10600000	0.0045755327487832	336	2008	438856	131000
gpD	gpB	chr1	10600001	10700000	0.00391311658336	229	1024	261684	126700
gpD	gpB	chr1	10700001	10800000	NA	0	NA	NA	NA
gpD	gpB	chr1	10800001	10900000	0.0045756797682533	84	278	60756	81708
gpD	gpB	chr1	10900001	11000000	NA	0	NA	NA	NA
gpD	gpB	chr1	11000001	11100000	NA	0	NA	NA	NA
gpD	gpB	chr1	11100001	11200000	0.0049892278036058	82	352	70552	68520
gpD	gpB	chr1	11200001	11300000	0.006906637418154	578	4156	601740	378548
gpD	gpB	chr1	11300001	11400000	NA	0	NA	NA	NA
gpD	gpB	chr1	11400001	11500000	NA	0	NA	NA	NA
gpD	gpB	chr1	11500001	11600000	NA	0	NA	NA	NA
gpD	gpB	chr1	11600001	11700000	NA	0	NA	NA	NA
gpD	gpB	chr1	11700001	11800000	0.0050175307807895	682	3446	686792	469880
gpD	gpB	chr1	11800001	11900000	NA	0	NA	NA	NA
gpD	gpB	chr1	11900001	12000000	0.003242711020335	452	1594	491564	275028
gpD	gpB	chr1	12000001	12100000	0.0048754311789703	1095	7214	1479664	377456
gpD	gpB	chr1	12100001	12200000	0.0057249673076768	1723	14272	2492940	429268
gpD	gpB	chr1	12200001	12300000	0.0082620181062711	762	7206	872184	420168
gpD	gpB	chr1	12300001	12400000	0.0	472	0	375148	425364
gpD	gpB	chr1	12400001	12500000	0.0	13	0	7044	15004
gpD	gpB	chr1	12500001	12600000	NA	0	NA	NA	NA
gpD	gpB	chr1	12600001	12700000	0.0022228064441254	1404	3754	1688856	692328
gpD	gpB	chr1	12700001	12800000	NA	0	NA	NA	NA
gpD	gpB	chr1	12800001	12900000	0.0	585	0	757372	234788
gpD	gpB	chr1	12900001	13000000	0.0124635720233139	132	958	76864	147008
gpD	gpB	chr1	13000001	13100000	0.0039623105860844	564	2254	568860	387684
gpD	gpB	chr1	13100001	13200000	0.0009403342095698	792	890	946472	396760
gpD	gpB	chr1	13200001	13300000	0.000617774821542	1647	1330	2152888	640424
gpD	gpB	chr1	13300001	13400000	0.0	274	0	190136	274568
gpD	gpB	chr1	13400001	13500000	0.0077983787512935	1644	18086	2319200	469024
gpD	gpB	chr1	13500001	13600000	0.0041970351619895	487	2308	549912	276040
gpD	gpB	chr1	13600001	13700000	0.0038573508005822	80	212	54960	80720
gpD	gpB	chr1	13700001	13800000	NA	0	NA	NA	NA
gpD	gpB	chr1	13800001	13900000	NA	0	NA	NA	NA
gpD	gpB	chr1	13900001	14000000	NA	0	NA	NA	NA
gpD	gpB	chr1	14000001	14100000	NA	0	NA	NA	NA
gpD	gpB	chr1	14100001	14200000	NA	0	NA	NA	NA
gpD	gpB	chr1	14200001	14300000	0.0040426529177408	470	1518	375496	421624
gpD	gpB	chr1	14300001	14400000	NA	0	NA	NA	NA
gpD	gpB	chr1	14400001	14500000	0.0155405923144707	352	6490	417616	179376
gpD	gpB	chr1	14500001	14600000	0.0070968502282777	582	5540	780628	206444
gpD	gpB	chr1	14600001	14700000	0.0032676597789524	80	136	41620	94060
gpD	gpB	chr1	14700001	14800000	NA	0	NA	NA	NA
gpD	gpB	chr1	14800001	14900000	NA	0	NA	NA	NA
gpD	gpB	chr1	14900001	15000000	0.0163804071246819	197	3296	201216	132896
gpD	gpB	chr1	15000001	15100000	NA	0	NA	NA	NA
gpD	gpB	chr1	15100001	15200000	NA	0	NA	NA	NA
gpD	gpB	chr1	15200001	15300000	NA	0	NA	NA	NA
gpD	gpB	chr1	15300001	15400000	0.007838449412189	555	5390	687636	253644
gpD	gpB	chr1	15400001	15500000	0.0024182224764678	125	186	76916	135084
gpD	gpB	chr1	15500001	15600000	0.0027460675080635	464	1604	584108	202836
gpD	gpB	chr1	15600001	15700000	0.0063487426665692	1415	10432	1643160	756680
gpD	gpB	chr1	15700001	15800000	NA	0	NA	NA	NA
gpD	gpB	chr1	15800001	15900000	NA	0	NA	NA	NA
gpD	gpB	chr1	15900001	16000000	NA	0	NA	NA	NA
gpD	gpB	chr1	16000001	16100000	NA	0	NA	NA	NA
gpD	gpB	chr1	16100001	16200000	0.004777250113071	113	338	70752	120896
gpD	gpB	chr1	16200001	16300000	NA	0	NA	NA	NA
gpD	gpB	chr1	16300001	16400000	NA	0	NA	NA	NA
gpD	gpB	chr1	16400001	16500000	NA	0	NA	NA	NA
gpD	gpB	chr1	16500001	16600000	NA	0	NA	NA	NA
gpD	gpB	chr1	16600001	16700000	0.0087040455184325	324	4112	472424	77080
gpD	gpB	chr1	16700001	16800000	NA	0	NA	NA	NA
gpD	gpB	chr1	16800001	16900000	NA	0	NA	NA	NA
gpD	gpB	chr1	16900001	17000000	0.0073220266514644	138	822	112264	121784
gpD	gpB	chr1	17000001	17100000	0.0022725185933339	244	396	174256	239568
gpD	gpB	chr1	17100001	17200000	NA	0	NA	NA	NA
gpD	gpB	chr1	17200001	17300000	NA	0	NA	NA	NA
gpD	gpB	chr1	17300001	17400000	0.0	108	0	75240	107928
gpD	gpB	chr1	17400001	17500000	NA	0	NA	NA	NA
gpD	gpB	chr1	17500001	17600000	NA	0	NA	NA	NA
gpD	gpB	chr1	17600001	17700000	0.0	55	0	39532	53748
gpD	gpB	chr1	17700001	17800000	0.0071605866867243	422	3808	531800	183912
gpD	gpB	chr1	17800001	17900000	0.0030218618648494	297	486	160828	358148
gpD	gpB	chr1	17900001	18000000	NA	0	NA	NA	NA
gpD	gpB	chr1	18000001	18100000	0.0076177611635541	241	1940	254668	154068
gpD	gpB	chr1	18100001	18200000	0.002413256824154	249	360	149176	273128
gpD	gpB	chr1	18200001	18300000	NA	0	NA	NA	NA
gpD	gpB	chr1	18300001	18400000	0.0106156304695228	143	1116	105128	137400
gpD	gpB	chr1	18400001	18500000	0.0	620	0	942428	109092
gpD	gpB	chr1	18500001	18600000	NA	0	NA	NA	NA
gpD	gpB	chr1	18600001	18700000	NA	0	NA	NA	NA
gpD	gpB	chr1	18700001	18800000	0.0047449910174302	555	2768	583352	357928
gpD	gpB	chr1	18800001	18900000	0.00098192233809	397	458	466432	206880
gpD	gpB	chr1	18900001	19000000	0.0048230015301269	519	1866	386896	493328
gpD	gpB	chr1	19000001	19100000	0.0066753242419523	1240	9602	1438432	664608
gpD	gpB	chr1	19100001	19200000	0.0058179563472091	997	5780	993476	697436
gpD	gpB	chr1	19200001	19300000	0.0045586245354609	829	4676	1025748	380236
gpD	gpB	chr1	19300001	19400000	0.0026191061081167	474	1450	553624	250280
gpD	gpB	chr1	19400001	19500000	0.0048160149141107	968	6944	1441856	199872
